Index;Region, development group, country or area of destination;Coverage;Data type;Location code of destination;Region, development group, country or area of origin;Location code of origin;1990;1995;2000;2005;2010;2015;2020;2024
46;World;;;900;Zambia;894; 36870; 60486; 64716; 68512; 69352; 65726; 61621; 61367
47;World;;;900;Zimbabwe;716; 107017; 133191; 155839; 255959; 434884; 563239; 656896; 736104
48;World;;;900;Middle Africa;911; 890348; 844502;1133542;1239575;1391009;1758228;2109839;2406551
49;World;;;900;Angola;24; 408463; 328987; 436115; 334567; 291881; 261293; 274746; 307875
50;World;;;900;Cameroon;120; 43114; 51903; 64594; 85631; 111399; 140821; 180557; 208702
51;World;;;900;Central African Republic;140; 17651; 19331; 22638; 61732; 116696; 327561; 395526; 451004
52;World;;;900;Chad;148; 165082; 107829; 97573; 93058; 85943; 81800; 96651; 138477
53;World;;;900;Congo;178; 30654; 42513; 57333; 79176; 83220; 100092; 109866; 119286
54;World;;;900;Democratic Republic of the Congo;180; 197029; 255121; 402653; 512906; 623531; 751708; 944087;1061726
55;World;;;900;Equatorial Guinea;226; 14139; 20633; 29821; 37568; 43628; 53545; 59078; 63971
56;World;;;900;Gabon;266; 7152; 8304; 9965; 19924; 18868; 23388; 29585; 33879
57;World;;;900;Sao Tome and Principe;678; 7064; 9881; 12850; 15013; 15843; 18020; 19743; 21631
58;World;;;900;Northern Africa;912;2230250;2441684;2659501;3215685;3743091;4627900;5095823;6160831
59;World;;;900;Algeria;12; 690190; 684358; 691389; 753071; 786194; 827164; 866740; 899710
60;World;;;900;Egypt;818; 458550; 493535; 550420; 659032; 902107;1191473;1292700;1426140
61;World;;;900;Libya;434; 39337; 40311; 40101; 40480; 48642; 57187; 67562; 75111
62;World;;;900;Morocco;504; 587447; 684137; 792912;1008975;1239802;1369150;1566995;1724816
63;World;;;900;Sudan;729; 175906; 253712; 292313; 462430; 437372; 825658; 911358;1617727
64;World;;;900;Tunisia;788; 203302; 210417; 217448; 232470; 248736; 270077; 298952; 321886
65;World;;;900;Western Sahara;732; 75518; 75214; 74918; 59227; 80238; 87191; 91516; 95441
66;World;;;900;Southern Africa;913; 212143; 241151; 344647; 422209; 490299; 543173; 613369; 677785
67;World;;;900;Botswana;72; 6405; 4997; 8457; 9875; 9471; 8798; 8459; 8181
68;World;;;900;Eswatini;748; 9559; 8079; 9214; 12711; 16999; 14115; 10000; 6213
69;World;;;900;Lesotho;426; 23916; 29484; 51138; 67818; 82801; 102467; 125786; 142810
70;World;;;900;Namibia;516; 22333; 18789; 23035; 24102; 22238; 21460; 21327; 20862
71;World;;;900;South Africa;710; 149930; 179802; 252803; 307703; 358790; 396333; 447797; 499719
72;World;;;900;Western Africa;914;2108954;2624169;2678600;3096942;3440507;4067575;4566907;5025002
73;World;;;900;Benin;204; 101879; 120695; 148177; 218344; 237992; 288912; 312969; 336089
74;World;;;900;Burkina Faso;854; 408662; 460862; 520325; 577854; 643205; 706887; 771095; 824418
75;World;;;900;Cabo Verde;132; 25595; 32157; 39011; 48674; 53190; 63814; 72227; 79894
76;World;;;900;Côte d'Ivoire;384; 172729; 212437; 261612; 355156; 459734; 520303; 567095; 608044
77;World;;;900;Gambia;270; 6713; 7634; 8636; 9144; 10262; 11325; 12554; 13610
78;World;;;900;Ghana;288; 183129; 187893; 223950; 290832; 349167; 415008; 462958; 510566
79;World;;;900;Guinea;324; 140070; 143124; 145477; 147956; 164980; 182515; 199622; 212416
80;World;;;900;Guinea-Bissau;624; 24108; 29329; 31017; 34979; 38658; 42559; 46452; 49444
81;World;;;900;Liberia;430; 269781; 288282; 140999; 181938; 95621; 75819; 73421; 72436
82;World;;;900;Mali;466; 244654; 317298; 295871; 338614; 370189; 463684; 489482; 522896
83;World;;;900;Mauritania;478; 53172; 59889; 34845; 30413; 31558; 31154; 36801; 39148
84;World;;;900;Niger;562; 52598; 62629; 75221; 116000; 129743; 148600; 158332; 167142
85;World;;;900;Nigeria;566; 177539; 205500; 243965; 337122; 441869; 636943; 821174; 994949
86;World;;;900;Saint Helena;654;  71;  75;  120;  123;  180;  194;  228;  266
87;World;;;900;Senegal;686; 132929; 130237; 146783; 163926; 184317; 208682; 244304; 273342
88;World;;;900;Sierra Leone;694; 21341; 212521; 232708; 46174; 28611; 27891; 29894; 29467
89;World;;;900;Togo;768; 93984; 153607; 129883; 199693; 201231; 243285; 268299; 290875
90;World;;;900;ASIA;935;25294680;26204997;29460539;32469107;39125000;45162001;49517274;53875350
91;World;;;900;Central Asia;5500;3143996;3274402;3413766;3663626;3807745;3536543;3398764;3281198
92;World;;;900;Kazakhstan;398;1652378;1711482;1796686;1935548;2002839;1789531;1620387;1499206
93;World;;;900;Kyrgyzstan;417; 316771; 312352; 305953; 343042; 370731; 337279; 315884; 297568
94;World;;;900;Tajikistan;762; 280096; 270397; 241702; 251159; 233107; 227175; 219485; 219120
95;World;;;900;Turkmenistan;795; 138003; 136585; 166712; 196202; 218013; 207265; 236126; 234594
96;World;;;900;Uzbekistan;860; 756748; 843586; 902713; 937675; 983055; 975293;1006882;1030710
97;World;;;900;Eastern Asia;906;3750417;4376639;5239347;6097258;7468407;8563762;9117800;9592504
98;World;;;900;China;156;1890424;2283631;2920810;3684471;4838378;5760394;6283457;6611096
99;World;;;900;China, Hong Kong SAR;344; 261448; 310965; 391911; 407738; 439352; 500573; 569574; 632303
100;World;;;900;China, Macao SAR;446; 35286; 38467; 42171; 47733; 53634; 62591; 76276; 82774
101;World;;;900;China, Taiwan Province of China;158; 193368; 215651; 303783; 326985; 362351; 428461; 429168; 447788
102;World;;;900;Dem. People's Republic of Korea;408; 15075; 15449; 15759; 16905; 20318; 25084; 23426; 22343
103;World;;;900;Japan;392; 393835; 497008; 491784; 480141; 500690; 530741; 524935; 572946
104;World;;;900;Mongolia;496; 38822; 43463; 47214; 49302; 57958; 64054; 80652; 92104
105;World;;;900;Republic of Korea;410; 922159; 972005;1025915;1083983;1195726;1191864;1130312;1131150
106;World;;;900;Southern Asia;5501;10336575;8934967;9565382;9914488;12046541;13734791;14932871;17407095
107;World;;;900;Afghanistan;4;3480708;1888242;2070609;1769485;2351542;2428980;2599061;3605520
108;World;;;900;Bangladesh;50;2095726;2130274;2091137;1962384;2009440;2175601;2233139;2386620
109;World;;;900;Bhutan;64; 14018; 57784; 58609; 57420; 43234; 23518; 26189; 33582
110;World;;;900;India;356;2570867;2741426;3066254;3547134;4509033;5299065;5861144;6631602
111;World;;;900;Iran (Islamic Republic of);364; 265727; 300430; 370296; 403917; 473766; 542610; 678419; 828101
112;World;;;900;Maldives;462;  367;  346;  349;  795; 1439; 1559; 1578; 1635
113;World;;;900;Nepal;524; 288598; 320433; 359820; 499103; 683439; 869081;1011371;1174141
114;World;;;900;Pakistan;586;1189760;1140275;1173472;1247478;1457665;1820658;1880250;2053253
115;World;;;900;Sri Lanka;144; 430804; 355757; 374836; 426772; 516983; 573719; 641720; 692641
116;World;;;900;South-Eastern Asia;920;3645255;4513068;5821098;6980098;8744686;10230158;11179550;12139697
117;World;;;900;Brunei Darussalam;96; 15287; 21946; 22658; 23402; 24436; 25388; 26267; 27167
118;World;;;900;Cambodia;116; 133391; 131309; 165071; 227303; 301261; 328531; 357559; 389044
119;World;;;900;Indonesia;360; 696676; 867764;1146195;1332690;1632034;1859789;1615378;1461895
120;World;;;900;Lao People's Democratic Republic;418; 153712; 182215; 178305; 245561; 298628; 319336; 349704; 384719
121;World;;;900;Malaysia;458; 347018; 473679; 628513; 691364; 893387;1045059;1194847;1378530
122;World;;;900;Myanmar;104; 262396; 265866; 329529; 568063; 955047;1126209;1390698;1653717
123;World;;;900;Philippines;608;1229596;1547919;1955618;2294899;2853226;3416422;3683767;3978789
124;World;;;900;Singapore;702; 84171; 90398; 97565; 107497; 119943; 130394; 137843; 138750
125;World;;;900;Thailand;764; 168903; 245134; 312184; 357212; 428536; 543923; 664274; 741299
126;World;;;900;Timor-Leste;626; 13114; 16779; 72471; 20816; 21908; 30833; 45693; 51588
127;World;;;900;Viet Nam;704; 540991; 670059; 912989;1111291;1216280;1404274;1713520;1934199
128;World;;;900;Western Asia;922;4418437;5105921;5420946;5813637;7057621;9096747;10888289;11454856
129;World;;;900;Armenia;51; 411341; 471493; 427201; 352649; 363172; 340431; 317228; 297594
130;World;;;900;Azerbaijan;31; 688434; 749004; 683063; 633142; 483646; 399834; 378106; 404065
131;World;;;900;Bahrain;48; 5930; 10601; 15369; 17424; 19974; 21518; 28468; 36517
132;World;;;900;Cyprus;196; 41796; 37165; 33386; 34574; 35981; 37238; 39469; 42196
133;World;;;900;Georgia;268; 549088; 515165; 469042; 428790; 390865; 329956; 283947; 269564
134;World;;;900;Iraq;368; 278825; 295008; 357933; 539847;1261348; 745451;1047589;1084103
135;World;;;900;Israel;376; 135096; 165469; 143828; 145238; 141679; 144023; 144668; 149789
136;World;;;900;Jordan;400; 121565; 131430; 146845; 165614; 209691; 248702; 262235; 283410
137;World;;;900;Kuwait;414; 28090; 28817; 31060; 33410; 45661; 52280; 58191; 65597
138;World;;;900;Lebanon;422; 174946; 177670; 205120; 215715; 237535; 259051; 278577; 301345
139;World;;;900;Oman;512; 5366; 5235; 5191; 6365; 6642; 7609; 7860; 8113
140;World;;;900;Qatar;634; 5745; 5699; 5714; 6551; 7742; 8596; 9415; 10286
141;World;;;900;Saudi Arabia;682; 32397; 37690; 44406; 42672; 56735; 65475; 90095; 100548
142;World;;;900;State of Palestine;275; 822783;1059335;1255960;1490668;1534792;1748088;1875369;1947313
143;World;;;900;Syrian Arab Republic;760; 124278; 142775; 159873; 232977; 582229;2726698;4013171;4186695
144;World;;;900;Türkiye;792; 845437;1093074;1233500;1232141;1281379;1296917;1343922;1476403
145;World;;;900;United Arab Emirates;784; 28667; 32657; 39182; 39574; 51721; 58613; 69474; 81128
146;World;;;900;Yemen;887; 118653; 147634; 164273; 196286; 346829; 606267; 640505; 710190
147;World;;;900;EUROPE;908;26205501;26421753;25377696;25675192;27072199;27626579;28308483;32573131
148;World;;;900;Eastern Europe;923;14014959;13151085;12468475;12969441;13959047;14208689;14579455;18369995
149;World;;;900;Belarus;112; 959003; 930250; 904804; 838542; 766396; 636454; 541500; 467457
150;World;;;900;Bulgaria;100; 306512; 344540; 374490; 427602; 494420; 555219; 626613; 664328
151;World;;;900;Czechia;203; 303973; 336975; 357150; 378663; 384669; 362160; 341364; 341370
152;World;;;900;Hungary;348; 166046; 161480; 167419; 175993; 196889; 230635; 257358; 284216
153;World;;;900;Poland;616;1289207;1426882;1414127;1565137;2024156;2255122;2315723;2401046
154;World;;;900;Republic of Moldova*;498; 339888; 314848; 282769; 325092; 385983; 412542; 451461; 479835
155;World;;;900;Romania;642; 522868; 618081; 650666;1034448;1584390;1906524;2203645;2374975
156;World;;;900;Russian Federation;643;7110543;5932374;5187858;5055674;4989592;4995065;5141892;5383227
157;World;;;900;Slovakia;703; 172666; 181145; 191818; 201403; 218310; 220447; 217793; 217250
158;World;;;900;Ukraine*;804;2844253;2904510;2937374;2966887;2914242;2634521;2482106;5756291
159;World;;;900;Northern Europe;924;3198923;3214015;3147490;3212188;3360492;3359917;3372807;3414647
160;World;;;900;Channel Islands*;830;  143;  135;  153;  148;  199;  157;  167;  186
161;World;;;900;Denmark*;208; 58903; 56082; 54802; 57163; 58558; 58517; 57431; 59285
162;World;;;900;Estonia;233; 56509; 57386; 59139; 62276; 63558; 68658; 65121; 65200
163;World;;;900;Faroe Islands*;234; 4809; 6815; 6729; 6452; 7044; 7430; 6860; 6970
164;World;;;900;Finland*;246; 150962; 146575; 144268; 138751; 131538; 125210; 117490; 109964
165;World;;;900;Iceland;352; 3476; 4477; 5896; 6840; 8199; 9699; 10566; 12040
166;World;;;900;Ireland;372; 503309; 492614; 443286; 416319; 403973; 384143; 346733; 324573
167;World;;;900;Isle of Man*;833;  350;  357;  353;  367;  420;  372;  431;  411
168;World;;;900;Latvia;428; 95682; 98620; 98317; 98631; 101223; 96917; 90978; 87350
169;World;;;900;Lithuania;440; 194347; 176518; 161674; 157414; 198537; 224459; 234246; 240513
170;World;;;900;Norway*;578; 50515; 47524; 48757; 51928; 53899; 55180; 61826; 67848
171;World;;;900;Sweden;752; 61968; 65226; 73439; 80552; 92952; 99236; 103168; 115105
172;World;;;900;United Kingdom*;826;2017950;2061686;2050677;2135347;2240392;2229939;2277790;2325202
173;World;;;900;Southern Europe;925;5130202;5526867;5576133;5319213;5373556;5609309;5836961;6128231
174;World;;;900;Albania;8; 78750; 171986; 276110; 357759; 464464; 488986; 534438; 591934
175;World;;;900;Andorra;20;  74;  146;  225;  232;  596;  730;  859;  977
176;World;;;900;Bosnia and Herzegovina;70; 576745; 889151; 844403; 777673; 763522; 764179; 789529; 820059
177;World;;;900;Croatia;191; 451026; 569515; 639469; 531655; 457449; 430133; 432008; 431465
178;World;;;900;Gibraltar*;292;  256;  259;  276;  263;  251;  260;  247;  235
179;World;;;900;Greece;300; 421732; 411285; 411099; 368128; 340905; 363410; 374356; 375401
180;World;;;900;Holy See*;336;  10;  15;  22;  28;  39;  63;  139;  258
181;World;;;900;Italy;380;1593226;1517819;1419222;1288941;1249003;1277896;1321362;1344764
182;World;;;900;Malta;470; 31511; 32357; 30971; 30356; 29099; 27224; 24790; 22358
183;World;;;900;Montenegro;499; 57124; 57470; 55610; 53536; 54822; 55702; 52566; 50414
184;World;;;900;North Macedonia;807; 202461; 206508; 208998; 211605; 212971; 217176; 238248; 260737
185;World;;;900;Portugal;620; 751598; 733588; 760005; 786865; 831724; 868216; 836734; 877848
186;World;;;900;San Marino;674; 1624; 1558; 1463; 1334; 1238; 1147; 1390; 1145
187;World;;;900;Serbia*;688; 187152; 219118; 241728; 257951; 313040; 391013; 433456; 486734
188;World;;;900;Slovenia;705; 68171; 73900; 63705; 55834; 53742; 53150; 46107; 44678
189;World;;;900;Spain*;724; 708742; 642192; 622827; 597053; 600691; 670024; 750732; 819224
190;World;;;900;Western Europe;926;3861417;4529786;4185598;4174350;4379104;4448664;4519260;4660258
191;World;;;900;Austria;40; 234716; 226507; 223375; 221254; 220328; 221192; 226583; 229135
192;World;;;900;Belgium;56; 176027; 170656; 173023; 202729; 216372; 231626; 252209; 272703
193;World;;;900;France*;250; 766011; 873309; 910361; 972649;1057021;1152833;1213227;1275137
194;World;;;900;Germany;276;2212649;2765859;2367098;2227689;2301789;2253314;2227633;2251676
195;World;;;900;Liechtenstein;438;  8;  11;  25;  29;  47;  46;  42;  41
196;World;;;900;Luxembourg;442; 16213; 16549; 17202; 18582; 19769; 21768; 22723; 31922
197;World;;;900;Monaco;492; 7960; 7942; 8248; 9853; 13468; 14558; 17155; 18698
198;World;;;900;Netherlands*;528; 239611; 249236; 255920; 277573; 294902; 293438; 295726; 311792
199;World;;;900;Switzerland;756; 208222; 219717; 230346; 243992; 255408; 259889; 263962; 269154
200;World;;;900;LATIN AMERICA AND THE CARIBBEAN;904;7111037;9441217;11507758;14000073;16616154;17828593;21546133;24766311
201;World;;;900;Caribbean;915;1954938;2402700;2775585;3070462;3607947;4091439;4545151;4964018
202;World;;;900;Anguilla*;660; 1096; 1066; 1044;  860;  825;  748;  736;  764
203;World;;;900;Antigua and Barbuda;28; 4071; 4305; 4577; 4360; 4432; 6486; 6554; 6705
204;World;;;900;Aruba*;533; 2585; 2730; 3014; 2991; 3864; 4797; 8750; 15698
205;World;;;900;Bahamas;44; 1057; 1058; 1098; 1027;  952;  990; 1019; 1088
206;World;;;900;Barbados;52; 11032; 10901; 10556; 10863; 10940; 10731; 10077; 10083
207;World;;;900;Bonaire, Sint Eustatius and Saba*;535; 1631; 1676; 1730; 1706; 1631; 1755; 1965; 2657
208;World;;;900;British Virgin Islands*;92; 2192; 2241; 2302; 2074; 2527; 2720; 3105; 3510
209;World;;;900;Cayman Islands*;136;  60;  62;  70;  85;  117;  184;  268;  391
210;World;;;900;Cuba;192; 429244; 473439; 541085; 567187; 678179; 783788; 872273; 947814
211;World;;;900;Curaçao*;531; 1529; 1895; 2342; 2137; 2617; 2864; 3791; 5071
212;World;;;900;Dominica;212; 10537; 11357; 12287; 11730; 11677; 11928; 11829; 12152
213;World;;;900;Dominican Republic;214; 273427; 392955; 478737; 554218; 694975; 828458; 953957;1068621
214;World;;;900;Grenada;308; 13286; 13415; 12757; 13436; 12317; 12595; 11959; 13984
215;World;;;900;Guadeloupe*;312; 4142; 4727; 5317; 5051; 6155; 7018; 7256; 7488
216;World;;;900;Haiti;332; 231253; 325984; 396887; 458636; 578661; 694805; 797183; 933054
217;World;;;900;Jamaica;388; 339896; 460978; 476836; 499602; 566040; 611681; 657994; 698318
218;World;;;900;Martinique*;474; 5330; 6363; 7408; 7523; 7670; 6833; 7051; 7235
219;World;;;900;Montserrat*;500; 1054; 1178; 1318; 1417; 1515; 1584; 1627; 1678
220;World;;;900;Puerto Rico*;630; 492915; 554627; 624248; 727654; 811698; 882374; 973000;1000076
221;World;;;900;Saint Kitts and Nevis;659; 5300; 5814; 6344; 6355; 6177; 6507; 6894; 7150
222;World;;;900;Saint Lucia;662; 7747; 8732; 9735; 9687; 10285; 11217; 11549; 12368
223;World;;;900;Saint Vincent and the Grenadines;670; 12934; 13678; 14199; 15018; 15560; 16875; 17067; 19617
224;World;;;900;Sint Maarten (Dutch part)*;534;  595;  702;  830;  857;  873;  919;  992; 1257
225;World;;;900;Trinidad and Tobago;780; 99561; 100635; 158950; 163904; 175533; 180591; 175111; 183901
226;World;;;900;Turks and Caicos Islands*;796; 1275;  802;  319;  596; 1171; 1316; 1442; 1554
227;World;;;900;United States Virgin Islands*;850; 1189; 1380; 1595; 1488; 1556; 1675; 1702; 1784
228;World;;;900;Central America;916;3024044;4450814;5419737;6525372;7451304;7923590;8048351;8531041
229;World;;;900;Belize;84; 1958; 1977; 2039; 2276; 2670; 3010; 3365; 3774
230;World;;;900;Costa Rica;188; 12558; 12489; 14254; 15974; 17646; 20088; 22149; 26155
231;World;;;900;El Salvador;222; 491101; 536958; 440385; 533142; 677683; 762776; 845555; 904040
232;World;;;900;Guatemala;320; 142812; 195300; 252314; 318858; 385903; 462465; 559167; 629627
233;World;;;900;Honduras;340; 82127; 129534; 160376; 227109; 295992; 381022; 555858; 713243
234;World;;;900;Mexico;484;1973414;3231673;4196160;5043952;5647673;5842657;5562762;5665313
235;World;;;900;Nicaragua;558; 228917; 258493; 253997; 285012; 322439; 350807; 398261; 482297
236;World;;;900;Panama;591; 91157; 84390; 100212; 99049; 101298; 100765; 101234; 106592
237;World;;;900;South America;931;2132055;2587703;3312436;4404239;5556903;5813564;8952631;11271252
238;World;;;900;Argentina;32; 205649; 228854; 291511; 407086; 435013; 447735; 505260; 592218
239;World;;;900;Bolivia (Plurinational State of);68; 94501; 116005; 139540; 235003; 343708; 345567; 403828; 429551
240;World;;;900;Brazil;76; 230327; 325079; 470562; 627745; 742689; 774473;1023063;1219973
241;World;;;900;Chile;152; 191533; 197050; 200343; 214340; 223873; 216629; 221574; 231691
242;World;;;900;Colombia;170; 539538; 625909; 811629; 994988;1387713;1489260;1734076;2009557
243;World;;;900;Ecuador;218; 102477; 164640; 255736; 469466; 574362; 556429; 577456; 642713
244;World;;;900;Falkland Islands (Malvinas)*;238;  149;  316;  456;  465;  220;  110;  58;  54
245;World;;;900;French Guiana*;254; 1662; 1826; 2046; 2135; 2216; 2459; 2452; 2582
246;World;;;900;Guyana;328; 115269; 139706; 184809; 204518; 222474; 235107; 230460; 255403
247;World;;;900;Paraguay;600; 186467; 199280; 209332; 270181; 388173; 380171; 403510; 424889
248;World;;;900;Peru;604; 157780; 255400; 339878; 479725; 669684; 701776; 777552; 891056
249;World;;;900;Suriname;740; 105873; 113544; 119205; 129567; 133015; 130863; 138700; 144650
250;World;;;900;Uruguay;858; 88335; 94395; 103113; 129454; 137966; 130384; 133407; 136307
251;World;;;900;Venezuela (Bolivarian Republic of);862; 112495; 125699; 184276; 239566; 295797; 402601;2801235;4290608
252;World;;;900;NORTHERN AMERICA;905;1508556;1672619;1692960;1845680;2046532;2153323;2214638;2282596
253;World;;;900;Bermuda*;60;  212;  230;  263;  318;  372;  423;  525;  645
254;World;;;900;Canada;124; 631436; 734410; 676604; 685564; 668726; 686431; 684372; 690801
255;World;;;900;Greenland*;304; 6191; 6886; 7681; 8100; 8914; 9672; 10086; 10517
256;World;;;900;Saint Pierre and Miquelon*;666;  28;  29;  32;  38;  48;  49;  52;  68
257;World;;;900;United States of America*;840; 870689; 931064;1008380;1151660;1368472;1456748;1519603;1580565
258;World;;;900;OCEANIA;909; 415395; 470735; 542940; 601449; 674966; 739347; 760956; 784641
259;World;;;900;Australia/New Zealand;927; 291514; 332220; 385092; 425515; 483688; 526552; 532010; 536882
260;World;;;900;Australia*;36; 129528; 144982; 161716; 172340; 182973; 198013; 201605; 206311
261;World;;;900;New Zealand*;554; 161986; 187238; 223376; 253175; 300715; 328539; 330405; 330571
262;World;;;900;Melanesia;928; 53674; 61919; 71231; 84156; 96877; 109143; 116111; 126008
263;World;;;900;Fiji;242; 34026; 40909; 50178; 61951; 72847; 83117; 88921; 95059
264;World;;;900;New Caledonia*;540; 2115; 2311; 2530; 2614; 2562; 2622; 2594; 2583
265;World;;;900;Papua New Guinea;598; 13818; 14576; 14355; 15093; 16683; 18740; 18998; 19384
266;World;;;900;Solomon Islands;90; 1198; 1268; 1199; 1368; 1543; 1756; 2017; 3544
267;World;;;900;Vanuatu;548; 2517; 2855; 2969; 3130; 3242; 2908; 3581; 5438
268;World;;;900;Micronesia;954; 8997; 10137; 11449; 12322; 12308; 12588; 13643; 14668
269;World;;;900;Guam*;316;  869;  956; 1010;  868;  653;  599;  615;  621
270;World;;;900;Kiribati;296; 2113; 2080; 2034; 2026; 1770; 2130; 2636; 3227
271;World;;;900;Marshall Islands;584;  151;  176;  227;  218;  191;  191;  192;  198
272;World;;;900;Micronesia (Fed. States of);583; 2357; 3447; 4597; 5573; 6190; 6136; 6462; 6723
273;World;;;900;Nauru;520;  743;  777;  810;  912; 1027; 1100; 1195; 1258
274;World;;;900;Northern Mariana Islands*;580; 1178; 1231; 1289; 1292; 1250; 1236; 1310; 1367
275;World;;;900;Palau;585; 1586; 1470; 1482; 1433; 1227; 1196; 1233; 1274
276;World;;;900;Polynesia*;957; 61210; 66459; 75168; 79456; 82093; 91064; 99192; 107083
277;World;;;900;American Samoa*;16;  502;  758; 1030; 1022; 1129; 1187; 1412; 1579
278;World;;;900;Cook Islands*;184; 9232; 8886; 10202; 10515; 10545; 10611; 10452; 10479
279;World;;;900;French Polynesia*;258; 1505; 1762; 2059; 1271;  614;  734;  847;  975
280;World;;;900;Niue*;570; 2913; 2971; 3079; 2920; 2774; 2699; 2647; 2639
281;World;;;900;Samoa;882; 33263; 35807; 40162; 43369; 45259; 49689; 54746; 59451
282;World;;;900;Tokelau*;772;  142;  170;  214;  279;  326;  370;  338;  323
283;World;;;900;Tonga;776; 10202; 12239; 14114; 15679; 17032; 19305; 21855; 24398
284;World;;;900;Tuvalu;798;  571;  591;  615;  591;  479;  487;  521;  552
