iso3;role;other_qid;other_label;from_year;to_year;detail_item_qid;detail_item_label;other_label_en;detail_item_label_en
IND;as_colonizer;Q2088458;Bankura district;0694;1947;Q6744020;Mallabhum;Bankura district;Mallabhum
IND;as_colonizer;Q1948389;Dhenkanal district;1100;1947;Q7126114;Pal Lahara State;Dhenkanal district;Pal Lahara State
IND;as_colonizer;Q1061;Gujarate;;;Q11909369;Bilbari State;Gujarat;Bilbari State
IND;as_colonizer;Q2449785;Chhatarpur district;1807;1950;Q11923882;Gaurihar State;Chhatarpur district;Gaurihar State
IRN;as_colony;Q18234383;Império Safávida;1501;1736;Q18234383;Império Safávida;Safavid Iran;Safavid Iran
IRN;as_colonizer;Q4168823;Shush;-439;1218;Q180773;Susa;Shush;Susa
IRN;as_colonizer;Q4168823;Shush;-399;1218;Q180773;Susa;Shush;Susa
IRN;as_colonizer;Q1004666;Fars;;;Q5963338;Gor;Fars Province;Gor
IRN;as_colonizer;Q168949;Semnan;;;Q6392382;Comisena;Semnan Province;Qumis
IRN;as_colonizer;Q2610777;Joveyn County;;;Q16568201;Juwayn;Joveyn County;Juwayn
IRN;as_colonizer;Q2610787;Joghatai County;;;Q16568201;Juwayn;Joghatai County;Juwayn
IRN;as_colonizer;Q174010;Kermanshah;;;Q69499804;Q69499804;Kermanshah Province;
IRN;as_colonizer;Q590866;Teerão;;;Q89192179;Rhagiana (Ray);Tehran Province;Rhagiana (Ray)
IRQ;as_colony;Q83891;Império Sassânida;;;Q3627700;Assuristão;Sasanian Empire;Asuristan
IRQ;as_colony;Q1986139;Império Parta;;;Q3627700;Assuristão;Parthian Empire;Asuristan
IRQ;as_colony;Q83891;Império Sassânida;;;Q7447929;Seleucia;Sasanian Empire;Seleucia
IRQ;as_colony;Q93180;Império Selêucida;;;Q7447929;Seleucia;Seleucid Empire;Seleucia
IRQ;as_colony;Q1986139;Império Parta;;;Q7447929;Seleucia;Parthian Empire;Seleucia
IRQ;as_colonizer;Q191075;Bagdad;-012;0637;Q192541;Ctesifonte;Baghdad Governorate;Ctesiphon
IRQ;as_colonizer;Q7405416;Salman Pak;-012;0637;Q192541;Ctesifonte;Salman Pak;Ctesiphon
ISR;as_colony;Q2277;Império Romano;0006;0135;Q1003997;Judeia;Roman Empire;Judaea
ISR;as_colony;Q1747689;Roma Antiga;0135;0390;Q1669578;Síria-Palestina;Ancient Rome;Syria Palaestina
ISR;as_colony;Q193714;Mandato Britânico da Palestina;1920;1948;Q5283448;Jaffa Subdistrict;Mandatory Palestine;Jaffa Subdistrict
ISR;as_colony;Q70802;Terceira República Francesa;1918;1920;Q7075820;Administração do Território do Inimigo Ocupado;French Third Republic;Occupied Enemy Territory Administration
ISR;as_colony;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1918;1920;Q7075820;Administração do Território do Inimigo Ocupado;United Kingdom of Great Britain and Ireland;Occupied Enemy Territory Administration
ITA;as_colony;Q838931;Reino Itálico;1530;1797;Q766501;Ducado de Mântua;Kingdom of Italy;Duchy of Mantua
ITA;as_colony;Q12548;Sacro Império Romano-Germânico;1530;1797;Q766501;Ducado de Mântua;Holy Roman Empire;Duchy of Mantua
ITA;as_colonizer;Q16245;Pistoia;;;Q102661;Pescia;Province of Pistoia;Pescia
ITA;as_colonizer;Q490;Milão;1914;;Q1274953;EICMA;Milan;EICMA
ITA;as_colonizer;Q490;Milão;;;Q3266546;Q3266546;Milan;
ITA;as_colonizer;Q1891;Bolonha;-018;;Q9177368;Bononia;Bologna;Bononia
ITA;as_colonizer;Q243467;Subiaco;;;Q19716908;Sublaqueum;Subiaco;Sublaqueum
ITA;as_colonizer;Q1210;Lombardia;1893;;Q28727449;Museo del Violino;Lombardy;Museo del Violino
JOR;as_colony;Q1747689;Roma Antiga;0106;;Q221353;Arábia Pétrea;Ancient Rome;Arabia Petraea
JOR;as_colony;Q70802;Terceira República Francesa;1918;1920;Q7075820;Administração do Território do Inimigo Ocupado;French Third Republic;Occupied Enemy Territory Administration
