entity_qid;iso3;source
Q123722274;DEU;p19_path
Q123722377;DEU;p19_path
Q123722510;DEU;p19_path
Q123722644;DEU;p19_path
Q123722801;DEU;p19_path
Q123723086;DEU;p19_path
Q123723206;DEU;p19_path
Q123723509;DEU;p19_path
Q123723651;DEU;p19_path
Q123723787;DEU;p19_path
Q123724034;DEU;p19_path
Q123724293;DEU;p19_path
Q123724428;DEU;p19_path
Q123724560;DEU;p19_path
Q123724659;DEU;p19_path
Q123739654;DEU;p19_path
Q123739663;DEU;p19_path
Q123739671;DEU;p19_path
Q123739684;DEU;p19_path
Q123739711;DEU;p19_path
Q123739727;DEU;p19_path
Q123739733;DEU;p19_path
Q123739744;DEU;p19_path
Q123739756;DEU;p19_path
Q123739769;DEU;p19_path
Q123739785;DEU;p19_path
Q123739791;DEU;p19_path
Q123739811;UKR;p19_path
Q123739854;SVK;p19_path
Q123739861;AUT;p19_path
Q123739876;POL;p19_path
Q123739930;POL;p19_path
Q123746719;DEU;p19_path
Q124163381;TWN;p27
Q12422583;IND;p27
Q124617;SUN;p27
Q124731275;ARG;p27
Q124739756;ARG;p27
Q124815556;YEM;p27
Q12525579;MLI;p159_to_p131_to_p17
Q125764349;PRK;p27
Q12586875;PRK;p27
Q12587515;PRK;p27
Q12588822;PRK;p27
Q12589992;PRK;p27
Q12601432;PRK;p27
Q12611398;PRK;p27
Q12612404;PRK;p27
Q126285947;PHL;p27
Q127318;GBR;p27
Q127417;USA;p27
Q12755460;SRB;p19_path
Q127835460;FRA;p27
Q128781;POL;p17
Q128956;GBR;p27
Q1291679;USA;p27
Q12940;FRA;p27
Q129910;USA;p27
Q13026319;THA;p27
Q13031411;UKR;p27
Q130499533;UKR;p17
Q130499974;UKR;p17
Q130639983;DEU;p27
Q130798;USA;p27
Q130900;ITA;p159_to_p131_to_p17
Q1316;IRQ;p27
Q13164393;BRA;p27
Q131741876;SYR;p17
Q131981;GBR;p27
Q132786;ITA;p19_path
Q1334803;SYR;p27
Q1340141;FRA;p27
Q1340618;WSM;p27
Q13415393;NLD;p17
Q134817;TUR;p27
Q1356274;FRA;p27
Q135972600;JPN;p17
Q1359972;JPN;p27
Q1360256;AFG;p17
Q1363372;USA;p27
Q136466812;USA;p159_to_p131_to_p17
Q1365972;ESP;p27
Q1372062;DNK;p27
Q1378053;JPN;p17
Q1386727;ITA;p27
Q1392229;USA;p27
Q1394;SUN|RUS;p27
Q140085;BGD|PAK;p27
Q1405556;FRA;p17
Q14060;POL;p27
Q1411349;FRA;p17
Q141317;SAU;p19_path
Q142417;ESP;p17
Q14304;PRK;p27
Q14342;KOR;p27
Q14356;KOR;p27
Q1441142;ITA;p27
Q14415227;SYR;p159_to_p131_to_p17
Q1452839;GBR;p27
Q14672728;PRK;p27
Q146906;JOR;p27
Q1470765;IRN;p27
Q1473221;UKR;p17
Q14809607;SYR;p159_to_p131_to_p17
Q14880810;USA;p27
Q1501987;COD;p159_to_p131_to_p17
Q150494;AUT|DEU;p27
Q150894;SUN|RUS;p27
Q151087;FRA;p27
Q151120;FRA;p27
Q152025;GBR;p27
Q152335;HUN;p27
Q153113;DEU;p17
Q153559;POL;p17
Q1541787;AND;p131_to_p17
Q15500319;GBR;p27
Q15558442;ARG;p27
Q155654;AFG;p159_to_p131_to_p17
Q155887;NLD;p27
Q1559352;TUR;p17
Q1566667;USA;p27
Q1566700;USA;p27
Q156916;FRA;p27
Q157;FRA;p27
Q157070;FRA;p17
Q1580097;DEU;p27
Q15899237;TWN;p27
Q15933607;TWN;p27
Q159397;ZAF;p27
Q159470;XKX;p159_to_p131_to_p17
Q16024887;FRA;p27
Q16027719;FRA;p27
Q160614;TUR;p27
Q160931;ITA;p19_path
Q160935;ITA;p19_path
Q161149;PRT;p27
Q161205;IRN;p17
Q16124016;IRQ;p27
Q16172160;JPN;p17
Q16176319;PRK;p27
Q16181085;PRK;p27
Q16203881;GBR;p19_path
Q16207825;ARG;p27
Q16235273;USA;p27
Q16298122;ARG;p27
Q163084;POL;p17
Q1634420;USA;p27
Q16354783;NOR;p27
Q1645415;IND;p19_path
Q1652895;FRA;p19_path
Q165544;POL|UKR;p27
Q16730015;EGY;p27
Q1679856;IDN;p17
Q16827062;USA;p27
Q16848199;AUT;p17
Q16865241;PRK;p27
Q16905504;TWN;p27
Q16908364;TWN;p27
Q169319;DEU;p19_path
Q1694779;DEU;p19_path
Q170245;HRV;p159_to_p131_to_p17
Q170604;FRA;p17
Q17106697;NOR;p27
Q17112977;NOR;p27
Q1712478;DEU;p27
Q171684;PRK|KOR;p27
Q173337;ITA;p159_to_p131_to_p17
Q174029;ITA;p19_path
Q17410;CHN|TWN;p27
Q175346;POL;p17
Q175535;USA;p27
Q17626819;GBR;p27
Q1768107;CZE;p19_path
Q1770033;NOR;p27
Q177511;SVN|YUG;p27
Q1779776;IRQ;p159_to_p131_to_p17
Q179997;GBR;p17
Q18066232;BEL;p19_path
Q18118184;TWN|USA;p27
Q181451;IRN;p27
Q18164278;GBR;p27
Q18193736;IRQ;p27
Q18205329;ARG;p27
Q182897;PRT;p27
Q182921;IRN;p27
Q18354945;ARG;p27
Q185316;RUS;p27
Q185974;ESP;p27
Q186138;ESP;p27
Q186492;USA;p27
Q186851;ESP;p17
Q187261;TUR;p27
Q1881666;ETH;p27
Q1884736;THA;p27
Q188783;ISR;p27
Q189271;AFG;p19_path
Q1892853;BEL;p27
Q19006319;YEM;p27
