conflict_qid;conflict_label;checked_via
Q11401900;Incidente da Academia Militar Frunze;both
Q10907189;南坡之变;both
Q9108134;Xinyou Coup;both
Q10332838;Movimento de 11 de Novembro;both
Q21515053;Golpe de Estado no Sudão em 1969;both
Q18214240;Operação Caban;both
Q16951829;Movimento Corretivo (Iêmen do Sul);both
Q20744392;Golpe de Estado no Azerbaijão em 1993;both
Q11570422;Makishi-Onga Incident;both
Q16674517;Expulsion of Otto of Greece;both
Q12354199;1996 Burundi coup d'état;both
Q10863956;January Storm;both
Q11576921;田村庄司の乱;both
Q13534264;Golpe de Estado na Grécia em 1967;both
Q17512048;Golpe de Estado na República Centro-Africana em 2003;both
Q10290439;Golpe da Maioridade;both
Q16205928;Golpe de Estado na Nigéria em 1966;both
Q11547378;Hiki Yoshikazu's Rebellion;both
Q18692196;révolte de la marine de guerre hellénique;both
Q10923036;Tanglong Coup;both
Q15278872;Batalha de Bangui (março de 2013);both
Q13019382;1971 Thai coup d'état;both
Q15234126;Tentativa de contragolpe no Mali em 2012;both
Q11457470;寛和の変;both
Q11398434;Kōzan-ji revolt;both
Q13019386;1976 Thai coup d'état;both
Q13019387;Siamese coup d'état of 1948;both
Q16266489;Golpe de Estado no Níger em 1999;both
Q8676049;Golpe de Estado na Tunísia em 1987;both
Q15896142;苗劉兵變;both
Q17462627;1827 Honduran coup d'état;both
Q11380664;伊賀氏事件;both
Q16908992;Contragolpe na Nigéria em 1966;both
Q16822144;Golpe de Estado na Serra Leoa em 1992;both
Q18604542;Golpe de Estado em Alto Volta em 1982;both
Q20977839;Golpe de Estado em Guiné Equatorial em 1979;both
Q13019383;1958 Thai coup d'état;both
Q20067674;Golpe de Kolomak;both
Q10945632;孫立人兵變案;both
Q23540878;Golpe de Estado na Nigéria em 1983;both
Q12291320;coup d'État du 27 avril 1881;both
Q14466700;Golpe de Estado no Suriname em 1990;both
Q19601700;Golpe de Estado no Paraguai em 1989;both
Q16827760;Crise de Mindanau de 1990;both
Q18604615;Golpe de Estado em Alto Volta em 1980;both
Q19869957;1929 Tuvan coup d'état;both
Q11145439;Jingyuan Mutiny;both
Q282009;Juanillo Rebellion;both
Q11570455;Makishi Incident;both
Q16351635;Апрельский путч;both
Q8964620;Golpe de Estado na República Centro-Africana em 2013;both
Q23038154;1976 Burundian coup d'état;both
Q15224558;Euromaidan;both
Q21002917;Golpe de Estado na Costa Rica em 1917;both
Q16085425;coup d'État du 2 octobre 1918;both
Q12873749;Greek coup of 13 December 1967;both
Q16329696;Golpe de Estado en Grecia del 10 de octubre de 1935;both
Q19870163;Golpe de Estado na Síria em 1961;both
Q11538828;梶原景時之變;both
Q10931943;Overthrow of the Hawaiian Kingdom;both
Q20982123;Golpe de Estado da República Centro-Africana em 1981;both
Q15935579;Mawei incident;both
Q19398047;1940 Norwegian coup d'état;both
Q18400440;coup d'État de la Garde blanche au Primorié;both
Q19955933;Golpe de Estado no Mali em 1991;both
Q16329599;Pyjamas coup;both
Q1957205;Donia War;both
Q196742;Burning of Louvain;both
Q200032;Batalha de Manziquerta;both
Q233416;Second Battle of St Albans;both
Q225562;Battle of Shizugatake;both
Q200716;Batalha de Queroneia;both
Q233426;Segunda Batalha de Zurique;both
Q233399;Batalha de Mantineia;both
Q204636;Batalha de Plateias;both
Q1968718;Grande Revolta Síria;both
Q243640;Second Battle of Sabine Pass;both
Q210423;Battle of Xiaoyao Ford;both
Q233414;Battle of Panipat;both
Q221703;Batalha das Ardenas (1914);both
Q219230;Incidente da Ponte Marco Polo;both
Q233343;Segunda Batalha de Bull Run;both
Q2071183;First Münster War;both
Q233366;Second Battle of Drepana;both
Q1536533;Guerra Colômbia-Peru;both
Q233278;Operação Iskra;both
Q183249;Batalha do Rio Sit;both
Q200056;Batalha de Zama;both
Q183286;Battle of Cēsis;both
Q223220;Battle of Megalopolis;both
Q590605;Conflito no Baluchistão;both
Q207250;Batalha do Lago Trasimeno;both
Q245773;Battle of Alba de Tormes;both
Q220882;Operation Junction City;both
Q194329;Battle of Five Forks;both
Q211211;Battle of Kelja;both
Q203366;Schlacht am Gubel;both
Q208816;Battle of Gerona;both
Q184320;Batalha de Borodino;both
