iso3;qid_country;lang_qid;lang_label;country_label_pt;country_label_en;lang_label_pt;lang_label_en
AUS;Q408;Q34207;Yankunytjatjara;Austrália;Australia;Yankunytjatjara;Yankunytjatjara
AUS;Q408;Q34241;Língua yaniuwa;Austrália;Australia;Língua yaniuwa;Yanyuwa
AUS;Q408;Q35465;Dyirbal;Austrália;Australia;Dyirbal;Dyirbal
AUS;Q408;Q35671;Crioulo australiano;Austrália;Australia;Crioulo australiano;Kriol
AUS;Q408;Q35677;Gaagudju;Austrália;Australia;Gaagudju;Gaagudju
AUS;Q408;Q36236;língua malaiala;Austrália;Australia;língua malaiala;Malayalam
AUS;Q408;Q36648;Língua crioula do Estreito de Torres;Austrália;Australia;Língua crioula do Estreito de Torres;Torres Strait Creole
AUS;Q408;Q56543;Guguyimidjir;Austrália;Australia;Guguyimidjir;Guugu Yimithirr
AUS;Q408;Q58635;Língua panjabi;Austrália;Australia;Língua panjabi;Punjabi
AUS;Q408;Q580923;Bunuba;Austrália;Australia;Bunuba;Bunuba
AUS;Q408;Q788174;Meriam;Austrália;Australia;Meriam;Meriam
AUS;Q408;Q921304;Antakarinya;Austrália;Australia;Antakarinya;Antakarinya
AUS;Q408;Q954916;Pakanha;Austrália;Australia;Pakanha;Pakanha
AUS;Q408;Q955216;Línguas de sinais de aborígenes australianos;Austrália;Australia;Línguas de sinais de aborígenes australianos;Australian Aboriginal sign languages
AUS;Q408;Q975399;Martuthunira;Austrália;Australia;Martuthunira;Martuthunira
AUS;Q408;Q1166814;Dharug;Austrália;Australia;Dharug;Dharug
AUS;Q408;Q1284877;Língua gija;Austrália;Australia;Língua gija;Kija
AUS;Q408;Q1284885;Ngarinyin;Austrália;Australia;Ngarinyin;Ngarinyin
AUS;Q408;Q1285318;Língua dhurga;Austrália;Australia;Língua dhurga;Dhurga
AUS;Q408;Q1406574;Língua kunwinjku;Austrália;Australia;Língua kunwinjku;Gunwinggu
AUS;Q408;Q1639998;Língua warlpiri;Austrália;Australia;Língua warlpiri;Warlpiri
AUS;Q408;Q1656014;Língua tiwi;Austrália;Australia;Língua tiwi;Tiwi
AUS;Q408;Q1747811;Língua nunggubuyu;Austrália;Australia;Língua nunggubuyu;Nunggubuyu
AUS;Q408;Q1764544;Warumungu;Austrália;Australia;Warumungu;Warumungu
AUS;Q408;Q1977429;Iwaidja;Austrália;Australia;Iwaidja;Iwaidja
AUS;Q408;Q2083197;Língua wambaya;Austrália;Australia;Língua wambaya;Wambaya
AUS;Q408;Q2092246;Wik-Mungkan;Austrália;Australia;Wik-Mungkan;Wik-Mungkan
AUS;Q408;Q2092286;Wirangu;Austrália;Australia;Wirangu;Wirangu
AUS;Q408;Q2147917;Alawa;Austrália;Australia;Alawa;Alawa
AUS;Q408;Q2225391;Adnyamathanha;Austrália;Australia;Adnyamathanha;Adnyamathanha
AUS;Q408;Q2232696;Walmajarri;Austrália;Australia;Walmajarri;Walmajarri
AUS;Q408;Q2524022;Língua garawa;Austrália;Australia;Língua garawa;Garawa
AUS;Q408;Q2567916;Barrow Point;Austrália;Australia;Barrow Point;Barrow Point
AUS;Q408;Q2591175;Pintupi;Austrália;Australia;Pintupi;Pintupi
AUS;Q408;Q2591193;Laragiya;Austrália;Australia;Laragiya;Laragiya
AUS;Q408;Q2591251;Ngurmbur;Austrália;Australia;Ngurmbur;Ngurmbur
AUS;Q408;Q2591262;Kalau Lagau Ya;Austrália;Australia;Kalau Lagau Ya;Kalau Lagau Ya
AUS;Q408;Q2591320;Djabugay;Austrália;Australia;Djabugay;Djabugay
AUS;Q408;Q2669219;Língua guniyandi;Austrália;Australia;Língua guniyandi;Guniyandi
AUS;Q408;Q2669569;Jiwarli;Austrália;Australia;Jiwarli;Jiwarli
AUS;Q408;Q2714654;Língua enindhilyagwa;Austrália;Australia;Língua enindhilyagwa;Anindilyakwa
AUS;Q408;Q2980386;Língua bundjalung;Austrália;Australia;Língua bundjalung;Bandjalang
AUS;Q408;Q2980392;Umbugarla;Austrália;Australia;Umbugarla;Umbugarla
AUS;Q408;Q2980398;Murrinh-patha;Austrália;Australia;Murrinh-patha;Murrinh-patha
AUS;Q408;Q2982063;Pitjantjatjara;Austrália;Australia;Pitjantjatjara;Pitjantjatjara
AUS;Q408;Q3053283;Yidiny;Austrália;Australia;Yidiny;Yidiny
AUS;Q408;Q3111818;Língua gamilaraay;Austrália;Australia;Língua gamilaraay;Gamilaraay
AUS;Q408;Q3111847;Miriwung;Austrália;Australia;Miriwung;Miriwoong
AUS;Q408;Q3121073;Yinjibarndi;Austrália;Australia;Yinjibarndi;Yinjibarndi
AUS;Q408;Q3162806;Djaru;Austrália;Australia;Djaru;Djaru
AUS;Q408;Q3200468;Língua kunjen;Austrália;Australia;Língua kunjen;Kunjen
AUS;Q408;Q3279409;Alngith;Austrália;Australia;Alngith;Alngith
AUS;Q408;Q3295916;martu wangka;Austrália;Australia;martu wangka;Martu Wangka
AUS;Q408;Q3298041;Língua ngangikurrunggurr;Austrália;Australia;Língua ngangikurrunggurr;Ngan’gityemerri
AUS;Q408;Q3303475;Mbabaram;Austrália;Australia;Mbabaram;Mbabaram
AUS;Q408;Q3327389;Alyawarr;Austrália;Australia;Alyawarr;Alyawarr
AUS;Q408;Q3339380;Nhanda;Austrália;Australia;Nhanda;Nhanda
AUS;Q408;Q3360016;Amurdag;Austrália;Australia;Amurdag;Amurdag
AUS;Q408;Q3436736;Língua mayi-kutuna;Austrália;Australia;Língua mayi-kutuna;Mayi-Kutuna
AUS;Q408;Q3436843;Wagiman;Austrália;Australia;Wagiman;Wagiman
AUS;Q408;Q3439071;Barngarla;Austrália;Australia;Barngarla;Barngarla
AUS;Q408;Q3441699;Cocos Malay;Austrália;Australia;Cocos Malay;Cocos Malay
AUS;Q408;Q3442732;Nyulnyul;Austrália;Australia;Nyulnyul;Nyulnyul
AUS;Q408;Q3442745;Badimaya;Austrália;Australia;Badimaya;Badimaya
AUS;Q408;Q3446651;Atampaya;Austrália;Australia;Atampaya;Atampaya
AUS;Q408;Q3446663;Língua yugambal;Austrália;Australia;Língua yugambal;Yugambal
AUS;Q408;Q3449138;Awabakal;Austrália;Australia;Awabakal;Awabakal
AUS;Q408;Q3504106;Língua worrorra;Austrália;Australia;Língua worrorra;Worora
AUS;Q408;Q3507959;Arabana;Austrália;Australia;Arabana;Arabana
AUS;Q408;Q3508123;Andegerebinha;Austrália;Australia;Andegerebinha;Andegerebinha
AUS;Q408;Q3509129;Areba;Austrália;Australia;Areba;Areba
AUS;Q408;Q3509164;Ayabadhu;Austrália;Australia;Ayabadhu;Ayabadhu
AUS;Q408;Q3537135;Tharawal;Austrália;Australia;Tharawal;Tharawal
AUS;Q408;Q3913761;Warluwara;Austrália;Australia;Warluwara;Warluwara
AUS;Q408;Q3913765;Yukulta;Austrália;Australia;Yukulta;Yukulta
AUS;Q408;Q3913767;Warndarang;Austrália;Australia;Warndarang;Warndarang
AUS;Q408;Q3913770;Kayardild;Austrália;Australia;Kayardild;Kayardild
AUS;Q408;Q3913777;Yinggarda;Austrália;Australia;Yinggarda;Yinggarda
AUS;Q408;Q3913780;Nyigina;Austrália;Australia;Nyigina;Nyigina
AUS;Q408;Q3913785;Dialeto djugun;Austrália;Australia;Dialeto djugun;Djugun
AUS;Q408;Q3913790;Naboo;Austrália;Australia;Naboo;Naboo
AUS;Q408;Q3913796;Ngalakgan;Austrália;Australia;Ngalakgan;Ngalakgan
AUS;Q408;Q3913800;Anewan;Austrália;Australia;Anewan;Anewan
AUS;Q408;Q3913805;Wunambal;Austrália;Australia;Wunambal;Wunambal
AUS;Q408;Q3913817;Gajirrabeng;Austrália;Australia;Gajirrabeng;Gajirrabeng
AUS;Q408;Q3913820;Dyangadi;Austrália;Australia;Dyangadi;Dyangadi
AUS;Q408;Q3913823;Warlmanpa;Austrália;Australia;Warlmanpa;Warlmanpa
AUS;Q408;Q3913825;Ngiyambaa;Austrália;Australia;Ngiyambaa;Ngiyambaa
AUS;Q408;Q3913830;Panyjima;Austrália;Australia;Panyjima;Panyjima
AUS;Q408;Q3913834;Jurruru;Austrália;Australia;Jurruru;Jurruru
AUS;Q408;Q3913837;Garadjari;Austrália;Australia;Garadjari;Garadjari
AUS;Q408;Q3913840;Wiradjuri;Austrália;Australia;Wiradjuri;Wiradjuri
AUS;Q408;Q3913842;Língua wardaman;Austrália;Australia;Língua wardaman;Wardaman
AUS;Q408;Q3913844;Djawi;Austrália;Australia;Djawi;Djawi
AUS;Q408;Q3913852;Língua bardi;Austrália;Australia;Língua bardi;Bardi
AUS;Q408;Q3913856;Wajarri;Austrália;Australia;Wajarri;Wajarri
AUS;Q408;Q3914057;Língua kalkatungu;Austrália;Australia;Língua kalkatungu;Kalkatungu
AUS;Q408;Q3914062;Worimi;Austrália;Australia;Worimi;Worimi
AUS;Q408;Q3915409;Língua ngaanyatjarra;Austrália;Australia;Língua ngaanyatjarra;Ngaanyatjarra
AUS;Q408;Q3915412;Kumbainggar;Austrália;Australia;Kumbainggar;Kumbainggar
AUS;Q408;Q3915442;Muruwari;Austrália;Australia;Muruwari;Muruwari
AUS;Q408;Q3915672;Mbariman-Gudhinma;Austrália;Australia;Mbariman-Gudhinma;Mbariman-Gudhinma
AUS;Q408;Q3915677;Umbuygamu;Austrália;Australia;Umbuygamu;Umbuygamu
AUS;Q408;Q3915679;Djambarrpuyngu;Austrália;Australia;Djambarrpuyngu;Djambarrpuyngu
AUS;Q408;Q3915684;Kurrama;Austrália;Australia;Kurrama;Kurrama
AUS;Q408;Q3915686;Yalarnnga;Austrália;Australia;Yalarnnga;Yalarnnga
AUS;Q408;Q3915687;Kuku-Uwanh;Austrália;Australia;Kuku-Uwanh;Kuku-Uwanh
AUS;Q408;Q3915688;Lardil;Austrália;Australia;Lardil;Lardil
AUS;Q408;Q3915693;Gugu Thaypan;Austrália;Australia;Gugu Thaypan;Gugu Thaypan
AUS;Q408;Q3915694;Linngithigh;Austrália;Australia;Linngithigh;Linngithigh
AUS;Q408;Q3915695;Wik-Ngathan;Austrália;Australia;Wik-Ngathan;Wik-Ngathan
AUS;Q408;Q3915702;Flinders Island language;Austrália;Australia;Flinders Island language;Flinders Island language
AUS;Q408;Q3915711;Língua ngawun;Austrália;Australia;Língua ngawun;Ngawun
AUS;Q408;Q3915783;Nyawaygi;Austrália;Australia;Nyawaygi;Nyawaygi
AUS;Q408;Q3915942;Warrgamay;Austrália;Australia;Warrgamay;Warrgamay
AUS;Q408;Q4087011;Biri;Austrália;Australia;Biri;Biri
AUS;Q408;Q4683034;Adithinngithigh;Austrália;Australia;Adithinngithigh;Adithinngithigh
AUS;Q408;Q4764288;Anguthimri;Austrália;Australia;Anguthimri;Anguthimri
AUS;Q408;Q4830109;Awngthim;Austrália;Australia;Awngthim;Awngthim
AUS;Q408;Q4840986;Badjiri;Austrália;Australia;Badjiri;Badjiri
AUS;Q408;Q4858065;Barababaraba;Austrália;Australia;Barababaraba;Barababaraba
AUS;Q408;Q4874263;Bayali;Austrália;Australia;Bayali;Bayali
AUS;Q408;Q4913975;Bindal;Austrália;Australia;Bindal;Bindal
AUS;Q408;Q4916329;Gangulu;Austrália;Australia;Gangulu;Gangulu
AUS;Q408;Q4975277;Broome Pearling Lugger Pidgin;Austrália;Australia;Broome Pearling Lugger Pidgin;Broome Pearling Lugger Pidgin
AUS;Q408;Q4997615;Bungandidj;Austrália;Australia;Bungandidj;Bungandidj
AUS;Q408;Q4998124;Burarra;Austrália;Australia;Burarra;Burarra
AUS;Q408;Q4998313;Burduna;Austrália;Australia;Burduna;Burduna
AUS;Q408;Q5223660;Darkinjung;Austrália;Australia;Darkinjung;Darkinjung
AUS;Q408;Q5223941;Língua darling;Austrália;Australia;Língua darling;Darling
AUS;Q408;Q5228050;Daungwurrung;Austrália;Australia;Daungwurrung;Daungwurrung
AUS;Q408;Q5268787;Dhalandji;Austrália;Australia;Dhalandji;Dhalandji
AUS;Q408;Q5268960;Dhangu;Austrália;Australia;Dhangu;Dhangu
AUS;Q408;Q5285033;Língua diyari;Austrália;Australia;Língua diyari;Dhirari
AUS;Q408;Q5285185;Djabirr-Djabirr;Austrália;Australia;Djabirr-Djabirr;Djabirr-Djabirr
AUS;Q408;Q5285187;Djabwurrung;Austrália;Australia;Djabwurrung;Djabwurrung
AUS;Q408;Q5285190;Djadjawurrung;Austrália;Australia;Djadjawurrung;Djadjawurrung
AUS;Q408;Q5285274;Djeebbana;Austrália;Australia;Djeebbana;Djeebbana
AUS;Q408;Q5285350;Língua djinang;Austrália;Australia;Língua djinang;Djinang
AUS;Q408;Q5285351;Língua djimba;Austrália;Australia;Língua djimba;Djinba
AUS;Q408;Q5515391;Gubbi Gubbi;Austrália;Australia;Gubbi Gubbi;Gubbi Gubbi
AUS;Q408;Q5517764;Galaagu;Austrália;Australia;Galaagu;Galaagu
AUS;Q408;Q5523396;Garlali;Austrália;Australia;Garlali;Garlali
AUS;Q408;Q5565906;Língua Giyug;Austrália;Australia;Língua Giyug;Giyug
AUS;Q408;Q5614528;Gudang;Austrália;Australia;Gudang;Gudang
AUS;Q408;Q5615186;Gugadj;Austrália;Australia;Gugadj;Gugadj
AUS;Q408;Q5615286;Gugu Warra;Austrália;Australia;Gugu Warra;Gugu Warra
AUS;Q408;Q5618523;Gunbarlang;Austrália;Australia;Gunbarlang;Gunbarlang
AUS;Q408;Q5619801;Guragone;Austrália;Australia;Guragone;Guragone
AUS;Q408;Q5619931;Gurdjar;Austrália;Australia;Gurdjar;Gurdjar
AUS;Q408;Q5619998;Gureng Gureng;Austrália;Australia;Gureng Gureng;Gureng Gureng
AUS;Q408;Q5620091;Gurindji Kriol;Austrália;Australia;Gurindji Kriol;Gurindji Kriol
AUS;Q408;Q5621973;Língua guugu yalandji;Austrália;Australia;Língua guugu yalandji;Guugu Yalandji
AUS;Q408;Q5621992;Guwa;Austrália;Australia;Guwa;Guwa
AUS;Q408;Q5995402;Ikarranggal;Austrália;Australia;Ikarranggal;Ikarranggal
AUS;Q408;Q5997810;Ilgar;Austrália;Australia;Ilgar;Ilgar
