iso3;country;neighbors_iso3;neighbors_count;border_km_total;timezones;timezones_count;capital_lat;capital_lon;seasons_estimate
MLT;Malta;ITA;1;;UTC+1,UTC+2;2;35.897777777;14.5125;4
MMR;Myanmar;BGD,CHN,IND,LAO,THA;5;;UTC+1,UTC+6,UTC+6:30,UTC+8;4;19.7475;96.115;4
MNE;Montenegro;ALB,BIH,HRV,SRB;4;;UTC+1,UTC+2;2;42.441388888;19.262777777;4
MNG;Mongólia;CHN,RUS;2;;UTC+6,UTC+7,UTC+8;3;47.921357;106.905515;4
MOZ;Moçambique;COM,MWI,SWZ,TZA,ZAF,ZMB,ZWE;7;;UTC+1,UTC+2;2;-25.915277777;32.576388888;4
MRT;Mauritânia;DZA,MLI,SEN;3;;UTC+0,UTC+1;2;18.08581;-15.9785;4
MUS;Maurícia;FRA,MDV,SYC;3;;UTC+4,UTC+6;2;-20.161944444;57.498888888;4
MWI;Malawi;MOZ,TZA,ZMB;3;;UTC+1,UTC+2;2;-13.983333333;33.783333333;4
MYS;Malásia;BRN,IDN,PHL,SGP,THA;5;;UTC+7,UTC+7:30,UTC+8;3;3.147777777;101.695277777;2
NAM;Namíbia;AGO,BWA,ZAF,ZMB;4;;UTC+1,UTC+2;2;-22.57;17.083611111;4
NER;Níger;BEN,BFA,DZA,LBY,MLI,NGA,TCD;7;;UTC+0,UTC+1;2;13.515;2.1175;4
NGA;Nigéria;BEN,CMR,NER,STP,TCD;5;;UTC+0,UTC+01:30,UTC+1,UTC+2,UTC+3,UTC+8;6;9.055555555;7.491388888;2
NIC;Nicarágua;COL,CRI,HND;3;;UTC+1,UTC−6;2;12.156383333;-86.272986111;4
NIU;Niue;;0;;UTC−11;1;-19.056;-169.921;4
NLD;Reino dos Países Baixos;BEL,DEU,FRA,VEN;4;;UTC+1,UTC+2,UTC−04:00;3;52.366666666;4.883333333;4
NOR;Noruega;FIN,RUS,SWE;3;;UTC+0,UTC+1,UTC+2;3;59.913333333;10.738888888;4
NPL;Nepal;CHN,IND;2;;UTC+5:30,UTC+5:40,UTC+5:45;3;27.71;85.32;4
NRU;Nauru;;0;;UTC+12;1;-0.5477;166.920867;2
NZL;Nova Zelândia;AUS;1;;UTC+1,UTC+10:30,UTC+11,UTC+12,UTC+12:45,UTC+13,UTC+13:45;7;-41.288888888;174.777222222;4
OMN;Omã;ARE,IRN,SAU,YEM;4;;UTC+1,UTC+2,UTC+3,UTC+3:30,UTC+4;5;23.613888888;58.592222222;4
PAK;Paquistão;AFG,CHN,IND,IRN;4;;UTC+1,UTC+5,UTC+5:30,UTC+6;4;33.698888888;73.036944444;4
PAN;Panamá;COL,CRI,USA;3;;UTC+1,UTC+5,UTC−5,UTC−6;4;8.971111111;-79.534722222;2
PER;Peru;BOL,BRA,CHL,COL,ECU;5;;UTC+1,UTC−5;2;-12.06;-77.0375;4
PHL;Filipinas;CHN,IDN,JPN,MYS,PLW,TWN;6;;UTC+1,UTC+8;2;14.595833333;120.977222222;4
PLW;Palau;FSM,IDN,PHL;3;;UTC+10,UTC+9;2;7.500556;134.624167;2
PNG;Papua-Nova Guiné;AUS,FSM,IDN,SLB;4;;UTC+1,UTC+10,UTC+11,UTC+8,UTC+9,UTC+9:30;6;-9.478888888;147.149444444;2
POL;Polónia;BLR,CZE,DEU,LTU,RUS,SVK,UKR;7;;UTC+1,UTC+2,UTC+3;3;52.23;21.011111111;4
PRK;Coreia do Norte;CHN,KOR,RUS;3;;UTC+8:30,UTC+9;2;39.016666666;125.7475;4
PRT;Portugal;ESP;1;;UTC+0,UTC+1,UTC+2,UTC−1;4;38.708042;-9.139016;4
PRY;Paraguai;ARG,BOL,BRA;3;;UTC+1,UTC−04:00,UTC−3;3;-25.28;-57.634444444;4
PSE;Estado da Palestina;EGY,ISR,JOR;3;;UTC+2,UTC+3,UTC+3:30;3;31.896944444;35.201666666;4
QAT;Catar;IRN,SAU;2;;UTC+2,UTC+3,UTC+3:30;3;25.286205555;51.529436111;4
ROU;Roménia;BGR,HUN,MDA,SRB,UKR;5;;UTC+1,UTC+12,UTC+2,UTC+3;4;44.413361111;26.097777777;4
RUS;Rússia;AZE,BLR,CHN,EST,FIN,GEO,JPN,KAZ,LTU,LVA,MNG,NOR,POL,PRK,SWE,UKR,USA;17;;UTC+1,UTC+10,UTC+11,UTC+12,UTC+2,UTC+3,UTC+4,UTC+5,UTC+6,UTC+7,UTC+8,UTC+9,UTC−9;13;55.750555555;37.6175;4
RWA;Ruanda;BDI,COD,TZA,UGA;4;;UTC+1,UTC+2;2;-1.953611111;30.060555555;2
SAU;Arábia Saudita;ARE,BHR,EGY,IRN,IRQ,JOR,KWT,OMN,QAT,YEM;10;;UTC+1,UTC+2,UTC+3,UTC+3:30;4;24.65;46.71;4
SDN;Sudão;CAF,COD,EGY,ERI,ETH,KEN,LBY,SSD,TCD,UGA;10;;UTC+1,UTC+2,UTC+3;3;15.60308;32.52654;4
SEN;Senegal;GIN,GMB,GNB,MLI,MRT;5;;UTC+0,UTC+1;2;14.672555555;-17.432;4
SGP;Singapura;IDN,MYS;2;;UTC+8;1;1.3;103.8;2
SLB;Ilhas Salomão;AUS,FJI,FRA,PNG,VUT;5;;UTC+10,UTC+11;2;-9.433333;159.95;2
SLE;Serra Leoa;GIN,LBR;2;;UTC+0,UTC+1;2;8.487222222;-13.235555555;2
SLV;El Salvador;GTM,HND;2;;UTC+1,UTC−5,UTC−6;3;13.697597222;-89.191155555;4
SMR;San Marino;ITA;1;;UTC+1;1;43.932011111;12.44845;4
SOM;Somália;DJI,ETH,KEN;3;;UTC+1,UTC+2,UTC+3;3;2.039166666;45.341944444;2
SRB;Sérvia;ALB,BGR,BIH,HRV,HUN,MKD,MNE,ROU;8;;UTC+1,UTC+2,UTC+3;3;44.817777777;20.456944444;4
SSD;Sudão do Sul;CAF,COD,ETH,KEN,SDN,UGA;6;;UTC+1,UTC+2,UTC+3;3;4.853888888;31.5825;2
STP;São Tomé e Príncipe;GAB,GNQ,NGA;3;;UTC+0;1;0.333333333;6.733333333;2
SUR;Suriname;BRA,FRA,GUY;3;;UTC−3;1;5.866666666;-55.166666666;2
SVK;Eslováquia;AUT,CZE,HUN,POL,UKR;5;;UTC+1,UTC+2;2;48.144722222;17.112777777;4
SVN;Eslovénia;AUT,HRV,HUN,ITA;4;;UTC+1,UTC+2;2;46.051388888;14.506111111;4
SWE;Suécia;DNK,FIN,NOR;3;;UTC+1,UTC+2;2;59.329444444;18.068611111;4
SWZ;Essuatíni;MOZ,ZAF;2;;UTC+1,UTC+2;2;-26.316666666;31.133333333;4
SXM;São Martinho;FRA;1;;;0;18.024166666;-63.043333333;4
SYC;Seychelles;COM,FRA,MDG,MUS,TZA;5;;UTC+4,UTC+6;2;-4.623611111;55.454444444;2
SYR;Síria;IRQ,ISR,JOR,LBN,TUR;5;;UTC+1,UTC+2,UTC+3,UTC+3:30;4;33.513055555;36.291944444;4
TCD;Chade;CAF,CMR,LBY,NER,NGA,SDN;6;;UTC+1,UTC+11;2;12.11;15.05;4
TGO;Togo;BEN,BFA,GHA;3;;UTC+0,UTC+1;2;6.13;1.215833333;2
THA;Tailândia;KHM,LAO,MMR,MYS;4;;UTC+1,UTC+7;2;13.75;100.516666666;4
TJK;Tajiquistão;AFG,CHN,KGZ,UZB;4;;UTC+5,UTC+6;2;38.573055555;68.786388888;4
TKM;Turquemenistão;AFG,IRN,KAZ,UZB;4;;UTC+5;1;37.95;58.383333333;4
TLS;Timor-Leste;AUS,IDN;2;;UTC+8,UTC+9;2;-8.553611111;125.578333333;2
TON;Tonga;USA;1;;UTC+13;1;-21.1343401;-175.201808;4
TTO;Trindade e Tobago;VEN;1;;UTC−04:00;1;10.666666666;-61.516666666;4
