iso3;qid;country_pt;country_en;ports_pt;ports_en;waters_pt;waters_en;has_ports;has_routes
JPN;Q17;Japão;Japan;Porto de Nagasaki, Porto de Nagoia, Porto de Yokohama, Porto de Kobe, Yokoseura, Arsenal Naval de Maizuru, Arsenal Naval de Kure, Arsenal Naval de Yokosuka;Kuki Fishing Port, Port of Shimonoseki, Port of Hakodate, Bōnotsu, Port of Otaru, Mitajiri Shipyard Ruins, Port of Sakurajima, New Port, Daitō Marina, Port of Hiroshima, Port of Inatori, Port of Toyohama, Port of Akasuka, Port of Akiya, Port of Yokkaichi, Tokyo Yumenoshima Marina, Port of Hakata, Utoro Fishing Port, Port of Nanao, Port of Shichirui, Port of Miike, Port of Mikawa, Port of Mitsu, Port of Mitajiri-Nakanoseki, Port of Misumi, Port of Kamiura, Port of Shimoda, Port of Ryōtsu, Hiruga Fishing Port, Nakahama Fishing Port, Kushikino Port, Port of Marugame, Port of Kuji, Otohama Gyoko, Port of Sendai, Senzaki, Port of Nakama, Port of Imari, Port of Irago, Port of Fushimi, JMSDF Sasebo Naval Base, Port of Sasebo, Port of Saganoseki, Moto-Hakone Port, Port of Yatsushiro, Hachinohe fishing port, Beppu Port, Port of Beppu, Port of Kamo, Port of Tokyo, Port of Katsuyama, Katsuura Fishing Port (Chiba), Katsuura Fishing Port, Port of Kitakyushu, Ishida Fishing Port, Tosaminato, Port of Tokachi, Port of Iida, Hakata Fishing Port, Port of Izuhara, Port of Itsukushima, Port of Kuchinotsu, JMSDF Kure Naval Base, Port of Kure, Port of Wakayamashimotsu, Shinagawa Minato, Kunnui Fishing Port, Port of Tonoshō, Port of Tsuchiura, Port of Habu, Innoshima, Port of Toi, Port of Sakaide, Port of Sakate, Tsubone, Port of Sakai-Senboku, Port of Shiogama, Port of Sakai, Tadotsu Port, Port of Taira, Port of Ōita, Ohara Fishing Port, Taisho Inner-Port, Port of Oarai, Otsu port, Shiga prefecture, Port of Ōfunato, Ōwada no Tomari, Port of Ōma, Hamanabuto fishing port, Okushiri Port, Port of Himeji, Port of Uno, Anotsu, Port of Akitsu, Port of Muroran, Port of Miyazaki, Port of Miyaura, Port of Miyanoura, Port of Onahama, Otaru Port Marina, Obama Fishing Port, Port of Koyō, Port of Koyō, Odawara fishing port, Koma Fishing Port, Port of Amagasaki-Nishinomiya-Ashiya, Port of Onomichi–Itozaki, Port of Owase, Port of Okayama, Port of Okamura, Port of Iwaya, Iwa Fishing Port, Port of Shimabara, Port of Kawasaki, Port of Morozaki, Port of Hitachinaka, Hiratsuka Fishing Port, Port of Hirado, Hiroshima Kanon Marina, Port of Shikinejima, Port of Omaezaki, Port of Mitarai, Port of Tokuyama-Kudamatsu, Port of Tokushima-Komatsushima, Port of Shibushi, Port of Tadanoumi, Port of Naryū, Port of Heda, Toga Port, Niihama Port, Port of Niigata, Port of Futami, Port of Hinase, Port of Hitachi, Port of Hidaka, Port of Akashi, Port of Kisarazu, Port of Motobu, Port of Kurii, Port of Higashiharima, Port of Matsuyama, Shiba Fishing Port, Port of Nemuro, Yokohama Port Museum, JMSDF Yokosuka Naval Base, Port of Hitakatsu, Kesennuma Fishing Port, Port of Mizushima, Himi Fishing Port, Enoshima Yacht Harbor, Port of Ikeda, Kutsugata Port, JMSDF Okinawa Naval Base, Port of Aburatsu, Port of Numazu, Port of Hashihama, Port of Habu, Port of Hateruma, Port of Tsumatsusaka, Sumoto Port, Asamogawa Fishing Port, Hamada Port, Port of Hamada, Hamada Fishing Port, Port of Shimizu, Watanabe no Tsu, Port of Shōnan, Port of Setoda, Port of Yaizu, Port of Kumamoto, Port of Mochimune, Port of Tagonoura, Port of Tabira, Port of Yura, Port of Yura, Rumoi Port, Port of Sakari, Port of Sōma, Port of Ishinomaki, Ishikari Bay New Port, Port of Kōzushima, Port of Fukui, Port of Fukuyama, Port of Fukue, Port of Fukura, Port of Fukuda, Port of Akita, Port of Wakkanai, Port of Takehara, Port of Taketazu, Hakonemachi Port, Komekami Fishing Harbor, Port of Mombetsu, Hososhima port, Kyōden Fishing Port, Port of Ajiro, Ajiro port, Port of Abashiri, Port of Noshiro, Koshigoe Fishing Port, Kyoto Maizuru Port, Port of Funagawa, Port of Funaura, Ashibe Fishing Port, Tomamae Fishing Port, Port of Tomakomai, Port of Chigasaki, Port of Kusakabe, Hishiura Port, Port of Kinuura, Port of Nishinoomote, Port of Saigō, Oyashirazu Fishing Port, Port of Naha, Port of Gonoura, Port of Sakata, Port of Shigei, Innoshima, Port of Nobushi, Port of Kanazawa, Port of Kaneda, Port of Kamaishi, Kamaishi fishing port, Port of Kushiro, Chōshi Fishing Port, Port of Nagasaki, Port of Nagasu, Port of Nagaura, Port of Taiza, Port of Kanmon, Port of Hannan, Hanshin Base, Port of Hanshin, Naniwa no Tsu, Port of Aomori, Iioka Fishing Port, Kasumi Fishing Port, Kafuka Port, Port of Karadomari, Takahama Quay, Port of Kochi, Port of Obe, Port of Tottori, Port of Toba, Oshidomari Port, Port of Kamoi, Port of Kagoshima, Port of Kashima, Kurobe Fishing Port, Izaki Basin, Hakozaki Basin, Meinohama Basin, Noko Basin, Nata Basin, Nata Fishing Port, Port of Oki, Port of Okishima, Port of Horikiri, Port of Nagoya, Port of Yokohama, Misumi West Port, Misumi East Port, Akabane fishing port, Nagahama Basin, Mizuhashi fishing port, Namerikawa fishing port, Kojima Sightseeing Port, Port of Ogi, Ishikari port, Port of Kan'onji, Port of Kobe, Port of Ashizuri, Saemangeum Port, Port of Minamata, Sekine Hama Port, Seppan Gohaku, Fushiki-Toyama Port, JMSDF Maizuru Naval Base, Port of Koniya, Shiraoi Port, Port of Sukumowan, Tomogaura, Port of Matsuzaki, Yokoseura, Port of Ogi, Marine Port Kagoshima, Maizuru Naval Arsenal, Kure Naval Arsenal, Sasebo Naval Arsenal, Yokosuka Naval Arsenal, Hakone Seikisho Ato Port, Kojiri Port, Fukuoka City Yacht Harbor and Beach, United States Fleet Activities Yokosuka, Port of Anbō, Kushikino Shin Port, Ibusuki Port, Matsue Port, Port of Tateyama, Port of Onagawa, Port of Sato, Nobeoka new Port, Port of Shimama, Port of Miyanoura, Port of Kitadaitō, Port of Minamidaitō, Port of Tomioka, Yobuko Port, Port of Oshima, Esashi Port, Port of Miyako, Hikone port, O-no-minato, Port of Hagi, Port of Itō, Port of Sakoshi, Port of Higashi-Hazu, Port of Misaki, Ebisu, Esandomari Fishing Port, Fukuoka Port, Fushiki-kō, Port of Kametoku, Koetoi Fishing Port, Teshio Port, Toyama Shinkō, Toyama Shinkō, Tsushima Port, Port of Wadomari, Wando Port, Port of Yoron, Suminoe no Tsu, Hiro Naval Arsenal, Port of Kodakarajima, Port of Yasurahama, Port of Kiriishi, Port of Motoura, Port of Nakanoshima, Port of Takarajima, Naha Port Facility, White Beach Area, United States Fleet Activities Sasebo, Akkeshi Fishing Port, Rausu Fishing Port, Haboro Port, Mashike Port, Yoichi Port, Iwanai Port, Suttu Fishing Port, Setana Port, Port of Unten, Port of Ishigaki, Port of Hirara, Port of Matsumae, Fukushima Fishing Port, Esashi Port, Todohokke Port, Usujiri Fishing Port, Mori Port, Urakawa Port, Erimo Port, Kiritappu Port, Port of Naze, Port of Sōya, Furubira Fishing Port, Port of Ushimado, Port of Funauki, Port of Kamichi, Port of Taketomi, Port of Kuroshima, Port of Kohama, Port of Sonai, Port of Motomachi, Port of Osaka, HMAS Commonwealth, Port of Kanazawa, Kenbutsu Fishing Port, Port of Hamakanaya, Port of Honmura, Yagishiri Port, Teuri Port, Ofunagura, Saikazaki Fishing Port, Port of Iwafune, Kamakuragashi, Port of Matoya, Spa Marina Atami, Port of Shiriyamisaki, Atama Marina, Port of Atami, Onmaya gashi, Port of Chiba, Port of Hachinohe, Port of Ibaraki, Port of Takamatsu, Port of Yokosuka, Port of Hisanohama, Port of Ena, Port of Nakanosaku, Port of Tsuruga, Tomonoura, Port of Konan, Port of Okinajima, Port of Misaki, Port of Mishima-Kawanoe, Port of Toyo, Port of Yawatahama, Port of Shinkawa, Port of Okata, Obama Fishing Port, Port of Taketoyo, Nihonbashi Uogashi;Oceano Pacífico;Pacific Ocean;Sim;Sim
GLP;Q17012;Guadalupe;Guadeloupe;;;;;Não;Não
SHN;Q170164;Helena de Constantinopla;Helena Augusta;;;;;Não;Não
MTQ;Q17054;Martinica;Martinique;;;;;Não;Não
MYT;Q17063;Mayotte;Mayotte;;;Oceano Índico;Indian Ocean;Não;Sim
REU;Q17070;Reunião;Réunion;;;Oceano Índico;Indian Ocean;Não;Sim
TCA;Q18221;Ilhas Turcas e Caicos;Turks and Caicos Islands;;;;;Não;Não
DEU;Q183;Alemanha;Germany;;;;;Não;Não
BLR;Q184;Bielorrússia;Belarus;;;;;Não;Não
ISL;Q189;Islândia;Iceland;;Straumsvik, Bolungavik, Dalvik, Grófin, Hvalfjörður whaling station, Iceland (C) station;;;Sim;Não
EST;Q191;Estónia;Estonia;Porto de Pärnu, Porto de Muuga;Port of Hara, Ketta Harbour, Süsta Harbour, Roograhu harbour, Old City Harbour, Mustvee harbour, Vanasadam, Port of Alliklepa, Kaavi harbour, Kaunispe harbour, Kuivastu harbour, Port of Kunda, Kuressaare harbour, Kurkse port, Lalli harbour, Lindi harbour, Lohusalu harbour, Port of Meeruse, Mõntu harbour, Naissaar harbour, Nasva harbour, Orissaare harbour, Paldiski South Harbour, Paldiski North Harbour, Patareisadam, Pirita Harbour, Rohuküla harbour, Roomassaare harbour, Suur-Holm harbour, Suursadam, Triigi harbour, Vene-Balti Port, Virtsu harbour, Tilgu harbour, Luunja river port, Manilaid harbour, Vikati harbour, Puise harbour, Port of Vergi, Port of Dirhami, Kallaste harbour, Kärsa harbour, Loksa harbour, Port of Miiduranna, Abruka harbour, Saaremaa Harbour, Kõrgessaare harbour, Kalana harbour, Leppneeme harbour, Kelnase harbour, Mölgi harbour, Salinõmme harbour, Noblessner Port, Suurpea Naval Base, Orjaku harbour, Paljassaare Harbour, Laaksaare harbour, Miinisadam, Kalasadam, Munalaid harbour, Sarve harbour, Tallinn harbour, River Port of Tartu, Old City Marina, Vahtrepa harbour, Port of Lahesuu, Soela harbour, Maasilinna harbour, Karepa harbour, Karlova harbour, Kaberneeme harbour, Sõru harbour, Port of Lehtma, Heltermaa harbour, Hundipea Port, Papissaare harbour, Port of Pärnu, Piirissaar harbour, Käsmu Lighthouse harbour, Eisma harbour, Narva harbour, Kärdla harbour, Kõiguste harbour, Kihnu harbour, Läätsa harbour, Sviby harbour, Veere harbour, Piirivalvesadam, Bekker Port, Ruhnu harbour, Port of Sillamäe, Port of Koguva, Viinistu harbour, Haven Kakumäe, Kalev Yacht Club harbour, Neeme port, Räpina harbour, Võsu harbour, Haldi harbour, Jaagarahu Harbour, Seaplane Harbour, Port of Aegna, Nurme harbour, Narva-Jõesuu harbour, Muuga Harbour;;;Sim;Não
NOR;Q20;Noruega;Norway;Fredriksvern;Gazzanjárga, Risavika Liquefaction Plant, Fredrikstad LNG terminal, Mosjøen LNG terminal, Drammen port, KNM Harald Haarfagre, Barentsburg Port, Port of Kirkenes, Ny-Ålesund Port, Sadelmakerhullet, Port of Haugesund, Kongshavn, Marvika, Port of Risavika, Vågen (Stavanger), Kong Øysteins havn, Stavangerregionen Havn, Oslo Maritime Kulturhavn, Flåm Port, Port of Oslo, Haakonsvern Naval Station, Port of Hammerfest, Port of Narvik, Karljohansvern, Helgelandsbase, Kittelsbukt, Kristiansand Port, Port of Moss, Pollen, Sjøområdet, Snohvit LNG, U-Boot-Bunker Bruno, Langesund Port, Larvik Port, Sandefjord Port, Stavanger Port, Bergen Port, Olavsvern, Ramsund Naval Station, Dora 1, Dora 2, Port of Longyearbyen, Fredriksvern, Røver Anchorage, Thamshavn, Storfjord Station, Port of Tromsø, Østre Kanalhavn, Vestre Kanalhavn, Skjebergkilen Marina, Olseng Marina;Oceano Atlântico;Atlantic Ocean;Sim;Sim
LVA;Q211;Letónia;Latvia;;Karosta, Lielupe, Salacgrīva Port, Port of Ventspils, Port of Liepāja, Port of Skulte, Freeport of Riga, Riga Passenger Terminal, Mērsrags Port, Pāvilosta Port, Roja Port, Skulte Port;;;Sim;Não
UKR;Q212;Ucrânia;Ukraine;Porto Krym;Bilhorod-Dnistrovsky, Dnipro-Buzkyy, Port Oktyabrsk, Ust-Dunaisk, Kyrylivka, Skadovs'k, Chornomors Ke, Yevpatoriia port, Balaklava, Yalta, Alushta, Sudak, Feodosiya, Ports of Mykolaiv, Orlivka River Port, Bessarabska Branch, Dnipropetrovsk River Port, Kerch Fishing Port, Southern Naval Base, Izmail Sea Commercial Port, Reni Commercial Seaport, Ust-Danube Commercial Seaport, Cherkasy River Station, Port of Kiliya, Sea Specialized Port Nika-Tera, Port of Skadovsk, Port Azovstali, Port of Berdiansk, Port of Yevpatoriya, Kerch Seaport Komysh-Burun, Port of Kerch, Port Krym, Port of Mariupol, Port of Mykolaiv, Port of Odesa, Pivdenny Port, Sevastopol Naval Base, Sevastopol Sea Fishing Port, Port of Sevastopol, Port of Feodosia, Port of Kherson, Kherson River Port, Chernihiv River Port, Port of Chornomorsk, Yalta port, Naval museum complex Balaklava, Bilhorod-Dnistrovsky Seaport, Kyiv River Port, Cherkasy River Port, Nova Kakhovka River Port, Dnipriany River Port, Port of Kamianske, Port of Nikopol, Ports of Henichesk, Port Ochakiv, Port of Alushta, Port of Chernomorskoye;;;Sim;Não
ABW;Q21203;Aruba;Aruba;;Barcadera, Aruba, Port of Oranjestad;;;Sim;Não
CZE;Q213;Chéquia;Czech Republic;;Former harbour Šunychl, port, Holešovický přístav, port Karlin, Libeňský přístav, Podolský přístav, Radotínský přístav, Smíchovský přístav, Petrov Marina, Veselí nad Moravou Marina;;;Sim;Não
SVK;Q214;Eslováquia;Slovakia;;Port of Bratislava;;;Sim;Não
SVN;Q215;Eslovénia;Slovenia;;Port of Koper;;;Sim;Não
MDA;Q217;Moldávia;Moldova;Porto de Giurgiulești;Molovata ferry, Port Raskayetsy, Port Korkmaz, Port Olaneshty, Port Speya, Port Sherpeny, Port Pugacheny, Port Vadul lui Vodă, Port Kriulyani, Port Krasnogorka, Port Karagash, Port Slobodzeya, Port Molovata, Port Tsybulevka, Port Zhura, Port Mikhaylovka, Port Popenki, Port Soloncheny, Port Belochi, Port Gidirim, Port of Giurgiulești;;;Sim;Não
ROU;Q218;Roménia;Romania;;Danube-Black Sea Canal, Port of Midia, Port of Timișoara, harbour of Constanța, Mangalia Marina, Port of Bechet, Port of Brăila, Port of Calafat, Port of Cernavodă, Port of Călărași, Port of Corabia, Port of Drobeta Turnu Severin, Port of Galați, Port of Giurgiu, Port of Luminița, Port of Medgidia, Port of Moldova Veche, Port of Murfatlar, Port of Oltenița, Port of Orșova, Port of Ovidiu, Port of Sulina, Port of Tulcea, Port of Mangalia, Port of Constanța;;;Sim;Não
BGR;Q219;Bulgária;Bulgaria;;Port of Vidin, Port of Rousse, Port of Burgas, Port of Varna, Pristanishten Kompleks Burgas, Port of Balchik, Nesebar port, Port of Sozopol, Port of Svishtov, Burgas Naval Base, Varna Naval Base, Port of Oryahovo;;;Sim;Não
MKD;Q221;Macedónia do Norte;North Macedonia;;;;;Não;Não
ALB;Q222;Albânia;Albania;;Harbour of Himara, Port of Shëngjin, Orikum Marina, Port of Durrës, Pasha Liman Base, Port of Sarandë, Port of Vlores, Porto Palermo Tunnel;;;Sim;Não
GRL;Q223;Gronelândia;Greenland;Porto de Nuuk;PITUFFIK (THULE AIR BASE), Qutdleq, Kusanartoq, Kajalleq Upernavik, NANORTALIK HAVN, Narsaq, Narsarssuaq, GRONNEDAL (KANGILINNGUIT), Maniitsoq, Sisimiut, Aasiaat, Qeqertarsuaq, QASIGIANNGUIT-CHRISTIANSHAB, Paamiut, ATTU, Illorsuit Havn, Port of Nuuk, Port of Ilulissat, Storfjord Station;;;Sim;Não
HRV;Q224;Croácia;Croatia;Marina Zadar;Marina Frapa, Rogoznica, Luka Pula, Lora (Split), LNG terminal, ACI Marina Dubrovnik, Port of Rijeka, Dubrovnik Port, Hvar Port, Marina Zadar, Marina Punat, Port of Ploče, Port of Split;;;Sim;Não
BIH;Q225;Bósnia e Herzegovina;Bosnia and Herzegovina;;Port of Neum, Port of Brčko, Port of Brčko;;;Sim;Não
AZE;Q227;Azerbaijão;Azerbaijan;;Port of Baku;;;Sim;Não
AND;Q228;Andorra;Andorra;;;;;Não;Não
CYP;Q229;Chipre;Cyprus;;Kyrenia, Latchi Harbour, Lemesos Marina, Limassol Marina, Port of Famagusta, Port of Gemikonagi, Lefke Cyprus, Limassol, Port of Ayia Napa, Port of Akrotiri, Port of Limassol;;;Sim;Não
GEO;Q230;Geórgia;Georgia;;Port of Sukhumi, Supsa Marine Terminal, Sokhumi, Poti Sea Port, Batumi seaport, Port of Batumi, Russian Military Naval Base, Anaklia port;;;Sim;Não
KAZ;Q232;Cazaquistão;Kazakhstan;;Aktau port;;;Sim;Não
MLT;Q233;Malta;Malta;;Blue Lagoon, Comino, Hay Wharf, Delimara LNG terminal, Malta Freeport, Port of Valletta;;;Sim;Não
BVT;Q23408;Ilha Bouvet;Bouvet Island;;;Oceano Atlântico;Atlantic Ocean;Não;Sim
MCO;Q235;Mónaco;Monaco;Porto Hércules;Port of Fontvieille, Port Hercules, Jules Soccal  Dock Finger;;;Sim;Não
MNE;Q236;Montenegro;Montenegro;;Tivat, Risan, Kotor, Porto Montenegro, Bar Port, Port of Bar;;;Sim;Não
BMU;Q23635;Bermudas;Bermuda;;Ireland Island Freeport, Royal Naval Dockyard, Bermuda;;;Sim;Não
VAT;Q237;Vaticano;Vatican City;;;;;Não;Não
SMR;Q238;San Marino;San Marino;;;;;Não;Não
CUB;Q241;Cuba;Cuba;Base Naval da Baía de Guantánamo;Cayo Moa Grande, Mariel, BAHAI DE LA HABANA, Isabela de Sagua, Cabanas, Nuevitas Bay, Felton, Nicaro, Nueva Gerona port, Manati, Guayabal, Cienfuegos, Santiago de Cuba, Puerto Padre, Puerto Guantanamo, Matanzas, Media Luna, Ceiba Hueca, Jucaro, Tunas de Zaza, Port of Casilda, Bahía de Sagua de Tánamo, Margarito Iglesias Marine Terminal, Manuel Díaz Marine Terminal, Dársena de Buenavista, Chicola, Guantanamo Bay Naval Base;;;Sim;Não
BLZ;Q242;Belize;Belize;;Belize City, Port of Belize, Big Creek;;;Sim;Não
BRB;Q244;Barbados;Barbados;;Port of Bridgetown;;;Sim;Não
IDN;Q252;Indonésia;Indonesia;;Tanah Ampo International Port, Benoa LNG terminal, Teluk Beo, Patani, Wahai, Miei, Gresik, Jayapura, Kupang, Ampenan, Stagen, Sampit, Luwuk, Probolinggo, North Pulau Laut Coal Terminal, Tanjung Sangata, Tanjung Balai Karimun, Sekupang, Tanjung Gerem, Sungaigerong, Blanglancang, Pulau Baai, Poleng Oil Field, Ramba, Amamapare, Merauke, Udang Oilfield, Widuri Marine Terminal, Wewak Harbor, Sibolga, Uleelheue, Sabang, Lhokseumawe, Pangkalansusu, Dumai, Bengkulu, Ardjuna Oil Field, Tanjunguban, Tanjungpinang, Kijang, Pulau Sambu, Dabo, Toboali, Muntok, Pangkalpinang, Cinta Oil Terminal, Panjang, Jabung Batanghari Marine Terminal, Kuala Kapus, Lalang Marine Terminal, Parepare, Belanak Field Terminal, Belida Marine Terminal, Tanjung Benete, Celukan Bawang, Blinyu, Tanjungpandan, Palembang, Cilacap, Benoa, Maumere, Labuhanhaji, Larantuka, Ende, Tarempah, Bengkalis, Tegal, Pekalongan, Semarang, Rembang, Surabaya, Panarukan, Tuban, Senipah Oil Terminal, Samarinda, Lawi Lawi Oil Terminal, Balikpapan, Kota Baru, Banjarmasin, Kumai, Gunung Batu Besar, Pontianak, Manado, Kolonodale, Anyer Lor, Sungaipakning, Tanjung Sekong, Banten, TANJUNG ARANG  (BUNYU), Tanjungredeb, Bontang LNG Terminal, Lingkas, Tanjung Santan, Manokwari Road, Mangkasa Oil Terminal, Saumlaki, Kasim Terminal, Namlea, Kendari, Serui, Donggala, Baubau, Raha Roadstead, Ternate, Pomalaa, Labuha, Sailolof, Ujung Pandang, Bula, Salawati, Ambon, Naval Base Merauke, Labuan Bajo Seaport, Pondokdadap Port, Arun LNG terminal, Tangguh LNG terminal, Port of Ketapang, Port of Nongsapura, Port of Tanjung Emas, Port of Tanjung Perak, Port of Trisakti, Sanur Port, Sunda Kelapa, Sibolga Old Port, Ferry Batulicin Port, Aceh-Nias LNG Terminal, Ferry Tanjung Serdang Port, Marine-Etablissement Soerabaja, Krui, Donggi Senoro LNG Terminal, Gilimanuk Harbour, Pelabuhan Gorontalo, Port of Depapre, Port of Kariangau, Bangsal, Pelabuhan Tahuna, Pelabuhan Poso, Pelabuhan Pehe, Port of Bitung, Belawan Naval Command, Port of Sorong, Teluk Bayur, Pelabuhan Kayangan, Pelabuhan Marapokot, Pelabuhan Waingap, Pelabuhan Wayame, Pelabuhan Batuampar, Pelabuhan Kalabahi, Pelabuhan Sirawarong, Patimban Deep Sea Port, Bontang LNG, Port of Makassar, Port of Kuala Tanjung, Kamal, Port of Belawan, Port of Cirebon, Port of Tanjung Priok, Port of Dili, Bakauheni, Port of Merak;Oceano Índico, Oceano Pacífico;Indian Ocean, Pacific Ocean;Sim;Sim
AIA;Q25228;Anguila;Anguilla;;;;;Não;Não
GGY;Q25230;Guernsey;Guernsey;;Saint Sampson, Alderney Ferry Port, Beaucette Marina, Saint Peter Port Harbour;;;Sim;Não
CUW;Q25279;Curaçau;Curaçao;;Caracasbaai, The Port of Willemstad, Bullen Baai, Sint Michelsbaai, Marinebasis Parera;;;Sim;Não
VGB;Q25305;Ilhas Virgens Britânicas;British Virgin Islands;;;;;Sim;Não
ZAF;Q258;África do Sul;South Africa;;Port of Port Elizabeth, Donkergat Whaling Station, Port of Cape Town, Port of Saldanha, Naval Station Durban, Richards Bay Coal Terminal, Richards Bay Coal Terminal, Port of Durban, Port of Ngqura;Oceano Índico;Indian Ocean;Sim;Sim
DZA;Q262;Argélia;Algeria;;Port Methanier, Jijel, Port of Béni Saf, Port of Annaba, Tenes, Collo, Port of Arzew, Arzew El Djedid, Mers El Kebir, Admiralty of Algiers, Port of Marsa Ben M'Hidi, Muslubium, Port of Bejaia, Siroco, Port of Mostaganem, Port of Skikda, Port of Ghazaouet, Port of Algiers, Port of Djen Djen, Port of Tamentfoust, Port of Azeffoun, Port of Tigzirt, Port of Dellys, Port of Djinet, Port of Zemmouri, Port of Tala Yilef, Port of Beni Ksila, Port of Ain Barbar, Skikda LNG, Arzew LNG, El Hamdania Port, Mers El Kebir Naval Base, Port of Oran;;;Sim;Não
SXM;Q26273;São Martinho;Sint Maarten;;Coles Bay Oil Terminal, Port St. Maarten;;;Sim;Não
SXM;Q26273;São Martinho;Sint Maarten;;Coles Bay Oil Terminal, Port St. Maarten;;;Sim;Não
UZB;Q265;Uzbequistão;Uzbekistan;;;;;Não;Não
COK;Q26988;Ilhas Cook;Cook Islands;;Avatiu;;;Sim;Não
IRL;Q27;República da Irlanda;Ireland;Porto de Dublin;Dublin Port, Rosslare Europort, Port Oriel, Portacarn, Porteeneeragh, Portnahilly, Scraggane, Carlingford Marina, Portland Harbour, Bray Harbour, Port of Cork, Port of Waterford, Shannon Foynes Port;;;Sim;Não
BES;Q27561;Países Baixos Caribenhos;Caribbean Netherlands;;;;;Não;Não
HUN;Q28;Hungria;Hungary;;;;;Não;Não
ESP;Q29;Espanha;Spain;;;Oceano Atlântico;Atlantic Ocean;Não;Sim
CHL;Q298;Chile;Chile;;;Oceano Pacífico;Pacific Ocean;Não;Sim
