iso3;river_name;length_km;source_label;source_qid;mouth_label;mouth_qid;basin_label;basin_qid;length_wd
GBR;Thames;275;;;;;;;
GBR;Trent;194;;;;;;;
CHN;Aksu;139;;;;;;;
CHN;Amur;676;;;;;;;
CHN;Argun;501;;;Sunzha;Q911339;;;148
CHN;Bei;383;;;;;;;
CHN;Black;411;;;;;;;
CHN;Brahmaputra;247;;;;;;;
CHN;Buh He;228;;;Qinghai Lake;Q201294;;;250
CHN;Chaor;347;;;;;;;
CHN;Chumar;428;;;;;;;
CHN;Dadu;886;;;;;;;
CHN;Dali;208;;;;;;;
CHN;Daling;366;;;;;;;
CHN;Dam;290;;;;;;;
CHN;Derung-Nmai;122;;;;;;;
CHN;Dong;423;;;;;;;
CHN;Duliu;246;;;;;;;
CHN;Erdao;171;;;;;;;
CHN;Fuchun;297;;;;;;;
CHN;Gan;770;;;;;;;
CHN;Ghaghara;75;;;;;;;
CHN;Gongnaisi He;298;;;;;;;
CHN;Hai;98;;;;;;;
CHN;Han;1283;;;;;;;
CHN;Hongshui;524;;;;;;;
CHN;Huai;377;;;;;;;
CHN;Huang;61;;;;;;;
CHN;Hudi;535;;;;;;;
CHN;Ili;131;;;;;;;
CHN;Irtysh;517;;;Ob;Q973;Russia;Q159;4248
CHN;Jialing;873;;;;;;;
CHN;Jing;342;;;;;;;
CHN;Jinsha;1876;;;;;;;
CHN;Konqi He;321;;;Tarim River;Q237901;;;550
CHN;Liao;499;;;;;;;
CHN;Liu;111;;;;;;;
CHN;Luan;576;;;;;;;
CHN;Manas;63;;;;;;;
CHN;Maquan;625;;;;;;;
CHN;Mekong;1632;;;;;;;
CHN;Min;525;;;;;;;
CHN;Nanpan;877;;;;;;;
CHN;Nanweng;155;;;;;;;
CHN;Nen;642;;;;;;;
CHN;Ou;217;;;;;;;
CHN;Qianjiang;108;;;;;;;
CHN;Qin He;307;;;Yellow River;Q7355;;;485
CHN;Red;572;;;;;;;
CHN;Rong;216;;;;;;;
CHN;Salween;1696;;;;;;;
CHN;Sanggan;296;;;;;;;
CHN;Sapt;324;;;;;;;
CHN;Sengge Zangbo;308;;;Indus River;Q7348;;;
CHN;Shandian;219;;;;;;;
CHN;Songacha;89;;;;;;;
CHN;Songhua;1752;;;;;;;
CHN;Sutlej;338;;;Panjnad River;Q2049556;;;1500
CHN;Taoer;508;;;;;;;
CHN;Tarim;798;;;;;;;
CHN;Tongtian;883;;;;;;;
CHN;Toxkan He;309;;;Aksu River;Q421658;;;300
CHN;Tuotuo He;225;;;;;;;
CHN;Ussuri;360;;;Amur River;Q6862;Russia;Q159;897
CHN;Wei;693;;;;;;;
CHN;Wu;918;;;;;;;
CHN;Wuding;157;;;;;;;
CHN;Wujia;691;;;;;;;
CHN;Xar Moron;344;;;;;;;
CHN;Xi;464;;;;;;;
CHN;Xiang;806;;;;;;;
CHN;Xiliao;271;;;;;;;
CHN;Xunjiang;159;;;Xi River;Q216941;;;199
CHN;Yalong;1496;;;;;;;
CHN;Yalu;506;;;;;;;
CHN;Yangtze;2434;;;East China Sea;Q45341;People's Republic of China;Q148;6300
CHN;Yarkand;1047;;;;;;;
CHN;Yarlung;726;;;;;;;
CHN;Yellow;4838;;;;;;;
CHN;Yong;132;;;;;;;
CHN;Yongding;234;;;;;;;
CHN;You;436;;;;;;;
CHN;Yu;227;;;;;;;
CHN;Yuan;1086;;;;;;;
CHN;Yurungkax He;433;;;Hotan River;Q625575;;;450
CHN;Za;383;;;;;;;
CHN;Zayü;152;;;;;;;
CHN;Za’gya;300;;;;;;;
CHN;Zhang;367;;;;;;;
CHN;Zuo;211;;;;;;;
CHN;nan;825;;;;;;;
BRA;Amapari;499;;;;;;;
BRA;Amazon;2464;;;Atlantic Ocean;Q97;Brazil;Q155;6400
BRA;Araguaia;1949;;;;;;;
BRA;Branco;1172;;;;;;;
BRA;Contas;444;;;;;;;
BRA;Corumbá;429;;;;;;;
BRA;Culuene;586;;;;;;;
BRA;Doce;680;;;;;;;
BRA;Grande;1123;;;Tyrrhenian Sea;Q38882;;;35
BRA;Guaporé;629;;;;;;;
BRA;Gurupí;638;;;;;;;
BRA;Ibicuí;333;;;;;;;
BRA;Indaiá;284;;;;;;;
BRA;Iriri;1066;;;;;;;
BRA;Itiquira;327;;;;;;;
BRA;Ituxi;506;;;;;;;
BRA;Ivinhema;431;;;;;;;
BRA;Jamanxim;1323;;;;;;;
BRA;Japurá;653;;;;;;;
BRA;Jari;701;;;;;;;
BRA;Javary;124;;;;;;;
BRA;Javaés;477;;;;;;;
BRA;Jequitinhonha;786;;;;;;;
BRA;Jiparaná;814;;;;;;;
BRA;Jurua;1592;;;;;;;
BRA;Juruena;474;;;;;;;
BRA;Madeira;1284;;;;;;;
BRA;Maicuru;510;;;;;;;
BRA;Mearim;603;;;;;;;
BRA;Negro;1187;;;;;;;
BRA;Nhamundá;474;;;;;;;
BRA;Paraiba;744;;;;;;;
BRA;Paranapanema;681;;;;;;;
BRA;Paranaíba;655;;;;;;;
BRA;Paraná;870;;;;;;;
BRA;Paraná River;1038;;;Río de la Plata;Q35827;Paraguay;Q733;4880
BRA;Parnaíba;1299;;;;;;;
BRA;Piauí;515;;;;;;;
BRA;Purus;2137;;;;;;;
BRA;Putumayo;281;;;;;;;
BRA;Ribeira;314;;;;;;;
BRA;São Francisco;2233;;;;;;;
BRA;Tapajós;1359;;;;;;;
BRA;Tietê;828;;;;;;;
BRA;Tocantins;2177;;;;;;;
BRA;Trombetas;692;;;;;;;
BRA;Una;213;;;Sava;Q14383;;;207
BRA;Uruguay;781;;;;;;;
BRA;Velhas;522;;;;;;;
BRA;Verde;320;;;Magra;Q692549;;;
BRA;Xingu;1618;;;;;;;
BRA;nan;536;;;;;;;
RUS;Adycha;825;;;;;;;
RUS;Alazeya;860;;;East Siberian Sea;Q163434;;;1590
RUS;Aldan;2351;;;Lena River;Q46841;;;2273
RUS;Amgun;657;;;;;;;
RUS;Amur;2168;;;;;;;
RUS;Anabar;313;;;Laptev Sea;Q7988;;;939
RUS;Anadyr;1031;;;Bering Sea;Q44725;;;1150
RUS;Angara;2144;;;Yenisey;Q78707;Russia;Q159;1779
RUS;Argun;549;;;Sunzha;Q911339;;;148
RUS;Bikin;452;;;;;;;
RUS;Biya;370;;;;;;;
RUS;Bolshoy Anyuy;802;;;Anyuy River;Q551561;;;654
RUS;Bolshoy Yenisei;502;;;Yenisey;Q78707;;;605
RUS;Bol’shaya Kuonamka;568;;;;;;;
RUS;Bykovskaya Protoka;94;;;;;;;
RUS;Chulym;1560;;;Ob;Q973;;;1799
RUS;Chulyshman;229;;;Teletskoe;Q217109;;;241
RUS;Chuna;1252;;;;;;;
RUS;Chusovaya;545;;;Bolshoy Takoy;Q4092873;;;15
RUS;Daugava;252;;;Gulf of Riga;Q174731;Estonia;Q191;1020
RUS;Desna;290;;;Nayba;Q4312375;;;17
RUS;Dnieper;355;;;Dnieper Estuary;Q2621029;Ukraine;Q212;2285
RUS;Don;1633;;;;;;;
RUS;Donets;301;;;Don;Q1229;Russia;Q159;1053
RUS;Dulgalakh;377;;;;;;;
RUS;Indigirka;1962;;;East Siberian Sea;Q163434;;;1726
RUS;Ingoda;566;;;;;;;
RUS;Irtysh;1855;;;Ob;Q973;Russia;Q159;4248
RUS;Ishim;384;;;Irtysh;Q128102;;;2450
RUS;Kama;1687;;;;;;;
RUS;Kamchatka;604;;;Chyornaya;Q2386106;;;11
RUS;Katun;624;;;Ob;Q973;Russia;Q159;688
RUS;Kem;387;;;Chirko-Kem;Q2140165;;;18
RUS;Khatanga;169;;;Khatanga Gulf;Q939905;;;227
RUS;Kheta;971;;;Khatanga;Q82175;;;604
RUS;Khopyor;712;;;Don;Q1229;;;979
RUS;Kolyma;2590;;;East Siberian Sea;Q163434;;;2129
RUS;Kondoma;300;;;Zhelvata;Q85857;;;27
RUS;Kotuy;1540;;;Khatanga;Q82175;;;1409
RUS;Kuban;685;;;Sea of Azov;Q35000;;;870
RUS;Kukhtuy;385;;;Sea of Okhotsk;Q41602;;;384
RUS;Kureyka;300;;;Yenisey;Q78707;;;888
RUS;Lena;4360;;;;;;;
RUS;Little Yenisei;322;;;;;;;
RUS;Lutto;219;;;Upper Tuloma Reservoir;Q3511413;;;235
RUS;Luza;460;;;Yug;Q845960;;;574
RUS;Malaya Ob';397;;;;;;;
RUS;Mana;486;;;;;;;
RUS;Maya;997;;;;;;;
RUS;Mezen;832;;;Mezen Bay;Q1415688;;;966
RUS;Moma;494;;;;;;;
RUS;Nadym;439;;;Kara Sea;Q33629;;;545
RUS;Narva;139;;;Narva Bay;Q393854;Russia;Q159;74
RUS;Neva;106;;;Centa;Q3664425;;;20
RUS;Nizhnyaya Taymyra;250;;;;;;;
RUS;Nizhnyaya Tunguska;3069;;;Tara;Q705896;;;55
RUS;Northern Dvina;736;;;Dvina Bay;Q548240;;;744
RUS;Ob;3753;;;Kara Sea;Q33629;;;3650
RUS;Oka;2136;;;Berriz;Q747628;;;
RUS;Olenekskaya Protoka;301;;;;;;;
RUS;Olenyok;2640;;;Olenyok Gulf;Q2996832;;;2270
RUS;Oloy;613;;;;;;;
RUS;Olyokma;1286;;;Lena River;Q46841;;;1436
RUS;Omolon;1066;;;Kolyma;Q78879;;;1114
RUS;Onega;246;;;Onega Bay;Q908701;;;416
RUS;Onon;444;;;;;;;
RUS;Palyavaam;555;;;Chaun;Q2045664;;;416
RUS;Pechora;1774;;;Pechora Sea;Q217501;Russia;Q159;1809
RUS;Podkamennaya Tunguska;1799;;;Yenisey;Q78707;;;1865
RUS;Popigay;640;;;;;;;
RUS;Poronay;212;;;Gulf of Patience;Q367304;;;350
RUS;Pur;730;;;Taz Estuary;Q155282;;;389
RUS;Pyasina;792;;;Pyasino Gulf;Q2628190;;;818
RUS;Sartang;786;;;;;;;
RUS;Selenga;387;;;;;;;
RUS;Severnaya Sosva;722;;;Ob;Q973;;;754
RUS;Shilka;495;;;;;;;
RUS;Suda;369;;;Lielā Jugla;Q5620656;Latvia;Q211;39.4
RUS;Sukhona;613;;;Northern Dvina;Q8187;;;558
RUS;Sura;599;;;;;;;
RUS;Svir;539;;;Lake Ladoga;Q15288;;;224
RUS;Taimura;629;;;;;;;
RUS;Taz;1260;;;;;;;
RUS;Tobol;676;;;Irtysh;Q128102;;;1591
RUS;Tom;849;;;Ob;Q973;;;827
RUS;Trofimovskaya Protoka;121;;;;;;;
RUS;Tuloma;83;;;Kola Bay;Q161591;;;64
RUS;Tumatskaya Protoka;117;;;;;;;
RUS;Tumnin;362;;;Strait of Tartary;Q110802;;;364
RUS;Tyung;1046;;;Vilyuy;Q26433;;;1092
RUS;Uda;384;;;Yaya;Q1637644;;;
RUS;Udzha;431;;;;;;;
RUS;Ural;988;;;;;;;
RUS;Ussuri;455;;;Amur River;Q6862;Russia;Q159;897
RUS;Vakh;748;;;;;;;
RUS;Velikaya;329;;;;;;;
RUS;Verkhniy Yenisey;280;;;;;;;
RUS;Verkhnyaya Taymyra;529;;;Taymyr;Q845868;;;567
RUS;Vilyuy;2691;;;;;;;
RUS;Vishera;386;;;Kama;Q79082;;;415
RUS;Vitim;1784;;;Lena River;Q46841;;;1837
RUS;Volga;3565;;;;;;;
RUS;Volga–Don Canal;106;;;;;;;
RUS;Vuoksa;235;;;Lake Ladoga;Q15288;;;143
RUS;Vychegda;945;;;Northern Dvina;Q8187;;;1130
RUS;Yana;677;;;;;;;
RUS;Yenisey;3077;;;;;;;
RUS;Zeya;1109;;;;;;;
RUS;nan;1955;;;;;;;
CAN;Albany;1130;;;;;;;
CAN;Alsek;329;;;;;;;
CAN;Anderson;769;;;;;;;
CAN;Arctic Red;454;;;;;;;
CAN;Arnaud;254;;;;;;;
CAN;Assiniboine;686;;;;;;;
CAN;Athabasca;1541;;;;;;;
CAN;Babine;90;;;;;;;
CAN;Back;1159;;;;;;;
CAN;Beaver;584;;;;;;;
CAN;Bell;473;;;;;;;
CAN;Burnside;303;;;;;;;
CAN;Caniapiscau;574;;;;;;;
CAN;Churchill;2013;;;;;;;
CAN;Columbia;660;;;;;;;
CAN;Coppermine;686;;;;;;;
CAN;Cree;226;;;;;;;
CAN;Donjek;223;;;;;;;
CAN;Eastmain;605;;;;;;;
CAN;Ekwan;508;;;;;;;
CAN;English;629;;;;;;;
CAN;Exploits;117;;;;;;;
CAN;Finlay;304;;;;;;;
CAN;Flathead;52;;;;;;;
CAN;Fraser;1289;;;;;;;
CAN;French;97;;;;;;;
CAN;Gatineau;160;;;;;;;
CAN;George;443;;;;;;;
CAN;Gods;308;;;;;;;
CAN;Grand;200;;;;;;;
CAN;Great Bear;173;;;;;;;
CAN;Great Whale;342;;;;;;;
CAN;Groundhog;146;;;;;;;
CAN;Hayes;93;;;;;;;
CAN;Ivanhoe;148;;;;;;;
CAN;Kazan;175;;;;;;;
CAN;La Grande;792;;;;;;;
CAN;Liard;1191;;;;;;;
CAN;Mackenzie;2038;;;;;;;
CAN;Manicouagan;460;;;;;;;
CAN;Mattagami;159;;;;;;;
CAN;Mlzes;421;;;;;;;
CAN;Moose;61;;;;;;;
CAN;Natashquan;325;;;;;;;
CAN;Nechako;266;;;;;;;
CAN;Nelson;787;;;;;;;
CAN;Nipigon;58;;;;;;;
CAN;North Saskatchewan;1380;;;;;;;
CAN;Nottaway;215;;;;;;;
CAN;Ottawa;544;;;;;;;
CAN;Peace;1665;;;;;;;
CAN;Pelly;517;;;;;;;
CAN;Peribonka;515;;;;;;;
CAN;Porcupine;661;;;;;;;
CAN;R. des Outaouais;411;;;;;;;
CAN;Rainy;409;;;;;;;
CAN;Red of the South;550;;;;;;;
CAN;Richelieu;124;;;;;;;
CAN;Rupert;541;;;;;;;
CAN;Saguenay;399;;;;;;;
CAN;Saint John;423;;;;;;;
CAN;Saskatchewan;750;;;;;;;
CAN;Severn;952;;;;;;;
CAN;Skeena;553;;;;;;;
CAN;Slave;433;;;;;;;
CAN;South Saskatchewan;1538;;;;;;;
CAN;St. Lawrence;126;;;;;;;
CAN;St. Mary's;83;;;;;;;
CAN;St.-Maurice;330;;;;;;;
CAN;Stewart;756;;;;;;;
CAN;Stikine;594;;;;;;;
CAN;Teslin;297;;;;;;;
CAN;Thelon;1196;;;;;;;
CAN;Thlewiaza;718;;;;;;;
CAN;Thompson;247;;;;;;;
CAN;White;123;;;;;;;
CAN;Winisk;375;;;;;;;
CAN;Winnipeg;398;;;;;;;
CAN;Yukon;682;;;;;;;
CAN;nan;3615;;;;;;;
JPN;Ishikari;211;;;;;;;
JPN;Mogami;199;;;;;;;
JPN;Tone;300;;;;;;;
DEU;Danube;552;;;;;;;
DEU;Elbe;628;;;;;;;
DEU;Ems;279;;;;;;;
DEU;Inn;199;;;Danube;Q1653;Germany;Q183;517
DEU;Main;466;;;Rhine;Q584;Germany;Q183;524
DEU;Moselle;206;;;Rhine;Q584;France;Q142;544
DEU;Oder;129;;;Szczecin Lagoon;Q161385;Czech Republic;Q213;742
DEU;Rhine;596;;;;;;;
DEU;Weser;610;;;;;;;
BLR;Daugava;341;;;Gulf of Riga;Q174731;Estonia;Q191;1020
BLR;Dnieper;529;;;Dnieper Estuary;Q2621029;Ukraine;Q212;2285
BLR;Mukhavets;147;;;;;;;
BLR;Neris;211;;;Neman;Q5622;Latvia;Q211;510
BLR;Prypiat;419;;;;;;;
ISL;Drau;123;;;;;;;
ISL;Þjórsá;92;;;Atlantic Ocean;Q97;Iceland;Q189;230
EST;Narva;76;;;Narva Bay;Q393854;Russia;Q159;74
NOR;Glomma;286;;;Skagerrak;Q1695;;;604
NOR;Klarälven;125;;;Vänern;Q173596;;;460
NOR;Paatsjoki;101;;;Bøkfjorden;Q2656917;;;142.8
NOR;Vorma;194;;;;;;;
LVA;Daugava;357;;;Gulf of Riga;Q174731;Estonia;Q191;1020
UKR;Chilia branch;86;;;Black Sea;Q166;;;104
UKR;Desna;422;;;Nayba;Q4312375;;;17
UKR;Dnieper;939;;;Dnieper Estuary;Q2621029;Ukraine;Q212;2285
UKR;Dniester;772;;;Dniester Lyman;Q1974485;Ukraine;Q212;1352
UKR;Donets;579;;;Don;Q1229;Russia;Q159;1053
UKR;Prut;211;;;Danube;Q1653;Ukraine;Q212;953
UKR;Prypiat;69;;;;;;;
UKR;Southern Bug;680;;;Black Sea;Q166;;;806
UKR;Tisza;193;;;Danube;Q1653;;;966
UKR;Western Bug;171;;;Narew;Q60055;Ukraine;Q212;772
CZE;Elbe;320;;;;;;;
CZE;Morava;218;;;Danube;Q1653;Austria;Q40;388
CZE;Oder;77;;;Szczecin Lagoon;Q161385;Czech Republic;Q213;742
SVK;Danube;145;;;;;;;
SVN;Drava;122;;;;;;;
MDA;Dniester;420;;;Dniester Lyman;Q1974485;Ukraine;Q212;1352
MDA;Prut;79;;;Danube;Q1653;Ukraine;Q212;953
ROU;Borcea branch;102;;;Danube;Q1653;;;99
ROU;Danube;727;;;;;;;
ROU;Mureș;514;;;;;;;
ROU;Olt;522;;;;;;;
ROU;Prut;356;;;Danube;Q1653;Ukraine;Q212;953
ROU;Sfântu Gheorghe branch;96;;;Black Sea;Q166;;;112
ROU;Sulina branch;69;;;Black Sea;Q166;;;84
ROU;Tisza;84;;;Danube;Q1653;;;966
ROU;nan;88;;;;;;;
BGR;Danube;85;;;;;;;
BGR;Maritsa;263;;;;;;;
HRV;Danube;71;;;;;;;
HRV;Drava;53;;;;;;;
HRV;Mur;170;;;Drava;Q171009;Austria;Q40;434
HRV;Sava;335;;;;;;;
BIH;Drina;251;;;Sava;Q14383;;;346
BIH;Sava;93;;;;;;;
AZE;Aras;305;;;;;;;
AZE;Kura;601;;;;;;;
GEO;Kura;299;;;;;;;
KAZ;Ili;715;;;;;;;
KAZ;Irtysh;1597;;;Ob;Q973;Russia;Q159;4248
KAZ;Ishim;1304;;;Irtysh;Q128102;;;2450
KAZ;Syr Dar;1363;;;;;;;
KAZ;Tobol;467;;;Irtysh;Q128102;;;1591
KAZ;Ural;783;;;;;;;
MNE;Drina;100;;;Sava;Q14383;;;346
IDN;Asahan;111;;;;;;;
IDN;Baliem;399;;;;;;;
IDN;Barito;765;;;;;;;
IDN;Batang Indragiri;376;;;;;;;
IDN;Digul;542;;;;;;;
IDN;Fly;86;;;;;;;
IDN;Kapuas;717;;;;;;;
IDN;Kayan;442;;;;;;;
IDN;Mahakam;675;;;;;;;
IDN;Mamberamo;303;;;;;;;
IDN;Taritatu;233;;;;;;;320
ZAF;Auob;161;;;;;;;
ZAF;Caledon;357;;;;;;;
ZAF;Gamka;170;;;;;;;
ZAF;Gourits;155;;;;;;;
ZAF;Great Kei;304;;;;;;;
ZAF;Limpopo;98;;;;;;;
ZAF;Maputo;85;;;;;;;
ZAF;Molopo;416;;;;;;;
ZAF;Olifants;239;;;;;;;
ZAF;Orange;1279;;;;;;;
ZAF;Pongola;184;;;;;;;
ZAF;Tugela;349;;;;;;;
ZAF;Vaal;1076;;;;;;;
UZB;Amu Darya;854;;;South Aral Sea;Q276776;Turkmenistan;Q874;2620
UZB;Naryn;140;;;;;;;
UZB;Syr Dar;143;;;;;;;
UZB;Zeravshan;431;;;Amu Darya;Q8493;;;877
IRL;Shannon;206;;;;;;;
HUN;Danube;286;;;;;;;
HUN;Mur;102;;;Drava;Q171009;Austria;Q40;434
HUN;Ráckeve-Soroksár Danube;54;;;Tass sluice;Q25453662;;;57.3
HUN;Sió;119;;;;;;;
HUN;Tisza;461;;;Danube;Q1653;;;966
ESP;Douro;462;;;Atlantic Ocean;Q97;Spain;Q29;897
ESP;Ebro;665;;;Mediterranean Sea;Q4918;Spain;Q29;910
ESP;Esla;199;;;Douro;Q14299;;;285
ESP;Guadalquivir;455;;;Gulf of Cádiz;Q117157;;;657
ESP;Guadiana;436;;;Gulf of Cádiz;Q117157;Spain;Q29;778
ESP;Tagus;579;;;;;;;
ESP;Záncara;142;;;Cigüela;Q16692;;;168
CHL;Bío Bío;374;;;;;;;
CHL;Copiapó;286;;;;;;;
USA;Alabama;879;;;;;;;
USA;Allegheny;448;;;;;;;
USA;Alsek;71;;;;;;;
USA;Altamaha;123;;;;;;;
USA;Arkansas;1910;;;;;;;
USA;Bayou Lafourche;155;;;Gulf of Mexico;Q12630;;;117
USA;Bear;493;;;;;;;
USA;Bighorn;291;;;;;;;
USA;Black;332;;;;;;;
USA;Brazos;1030;;;;;;;
USA;Broad;225;;;;;;;
USA;Canadian;1186;;;;;;;
USA;Cape Fear;221;;;;;;;
USA;Cedar;377;;;;;;;
USA;Chattahoochee;760;;;;;;;
USA;Chattooga;58;;;;;;;
USA;Cheyenne;553;;;;;;;
USA;Clark Fork;517;;;;;;;
USA;Colorado;1928;;;;;;;
USA;Columbia;1123;;;;;;;
USA;Colville;908;;;;;;;
USA;Congaree;121;;;;;;;
USA;Connecticut;544;;;;;;;
USA;Cooper;71;;;;;;;
USA;Copper;405;;;;;;;
USA;Cowpasture;425;;;;;;;
USA;Cumberland;855;;;;;;;
USA;Delaware;437;;;;;;;
USA;Des Moines;606;;;;;;;
USA;Double Mountain Fork Brazos;132;;;;;;;
USA;Eel;231;;;;;;;
USA;Feather;277;;;;;;;
USA;Flathead;294;;;;;;;
USA;Fox;66;;;;;;;
USA;Gila;848;;;;;;;
USA;Grand;287;;;;;;;
USA;Grande;1458;;;Tyrrhenian Sea;Q38882;;;35
USA;Green;868;;;;;;;
USA;Haw;126;;;;;;;
USA;Holston;326;;;;;;;
USA;Hudson;394;;;;;;;
USA;Humboldt;521;;;;;;;
USA;Iliamna Lake Outlet;91;;;;;;;
USA;Illinois;514;;;;;;;
USA;James;753;;;;;;;
USA;John Day;340;;;;;;;
USA;Kanawha;137;;;;;;;
USA;Kankakee;182;;;;;;;
USA;Kansas;216;;;;;;;
USA;Kaskaskia;384;;;;;;;
USA;Kentucky;364;;;;;;;
USA;Klamath;375;;;;;;;
USA;Kobuk;686;;;;;;;
USA;Koyukuk;1194;;;;;;;
USA;Kuskokwim;927;;;;;;;
USA;Madison;290;;;;;;;
USA;Marais des Cygnes;227;;;;;;;
USA;Merrimack;250;;;;;;;
USA;Minnesota;384;;;;;;;
USA;Mississippi;3416;;;;;;;
USA;Missouri;3298;;;;;;;
USA;Mohawk;197;;;;;;;
USA;Monongahela;303;;;;;;;
USA;Muskingum;154;;;;;;;
USA;Namekagon;116;;;;;;;
USA;New;354;;;;;;;
USA;North Fork Kuskokwim River;376;;;;;;;
USA;North Platte;904;;;;;;;
USA;Oconee;292;;;;;;;
USA;Ohio;1547;;;;;;;
USA;Osage;366;;;;;;;
USA;Pearl;524;;;;;;;
USA;Pecos;1060;;;;;;;
USA;Pee Dee;433;;;;;;;
USA;Pend Oreille;154;;;;;;;
USA;Pit;313;;;Pasha;Q2087477;;;19
USA;Platte;463;;;;;;;
USA;Porcupine;442;;;;;;;
USA;Potomac;417;;;;;;;
USA;Prairie Dog Town Fork Red;186;;;;;;;
USA;Red of the South;1734;;;;;;;
USA;Republican;392;;;;;;;
USA;Roanoke;489;;;;;;;
USA;Rogue;322;;;;;;;
USA;S. Fork Republican;190;;;;;;;
USA;Sabine;540;;;;;;;
USA;Sacramento;516;;;;;;;
USA;Saint John;206;;;;;;;
USA;Salmon;600;;;;;;;
USA;San Joaquin;405;;;;;;;
USA;San Juan;486;;;Oñati;Q496588;;;
