iso3;lake_name;area_km2;lat;lon;scalerank;featurecla;source
BWA;Molopo;;-26.452440919930552;22.406606793693527;8;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;None;;-20.309891980489365;23.048996909842103;9;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;Notwane;;-24.308302712679254;26.311072344262072;9;River;NaturalEarth_10m_rivers_lake_centerlines
BWA;Zambeze;;-15.730759026851834;27.74869558669833;3;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Aoukalé;;10.370096427567658;21.729971427795046;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Bahr Aouk;;9.104871712663991;19.87588883350079;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Chari;;8.1204809547195;19.306638267138304;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Chinko;;6.28511925228891;24.284617495139447;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Kadéï;;3.803415300609818;15.310265080561187;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Kotto;;6.631992410704767;22.526372701454896;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Koukourou;;7.205590816576371;20.28603049133037;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Lobaye;;4.57786196995233;17.050748917835115;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Lom;;5.692628296415968;13.97253662424657;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Mbomou;;4.954782772245741;24.782657087549126;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Ouham;;7.2321298414982875;17.288246309127047;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Ubangui;;1.6100120251499257;18.111798272846517;3;River;NaturalEarth_10m_rivers_lake_centerlines
CAF;Uele;;4.031603974068163;23.413331990951026;3;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Albany;;51.5048442931594;-86.69983265297456;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Anderson;;66.93595646838533;-124.57654799372995;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Arctic Red;;65.99705782543967;-132.13889995805508;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Arnaud;;59.70111446164247;-72.31913481332806;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Assiniboine;;50.50796717083936;-100.35248357792952;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Athabasca;;58.66668587000328;-111.1191755560397;5;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Babine;;55.593798547899596;-127.10791890845496;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Back;;65.79193688975045;-100.86265967658905;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Beaver;;54.478805612242724;-109.88602587695452;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Bell;;48.59787207797011;-76.38286506306054;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Burnside;;66.4525684923705;-109.70193960148956;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Caniapiscau;;55.08458383547846;-69.47146889757369;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Churchill;;56.43397627963255;-100.8725965699279;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Columbia;;50.13830879242609;-117.99675260381426;3;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Connecticut;;43.380463951642;-72.18686272898691;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Coppermine;;65.22283087413805;-113.17033874968938;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Cree;;58.40094567627667;-105.79182450270343;8;River;NaturalEarth_10m_rivers_lake_centerlines
