iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
HUN;Hungria;Europa;0.0930114;Kékes;1014.0;Budapeste;47.498333333;19.040833333;;;país europeu;
IDN;Indonésia;Ásia;1.90457;Pirâmide Carstensz;4884.0;Jacarta;-6.175277777;106.826944444;;;país do sudeste asiático;
IND;Índia;Ásia;3.287263;Kanchenjunga;8586.0;Nova Deli;28.613888888;77.208888888;;;país na Ásia Meridional;
IRL;República da Irlanda;Europa;0.069797;Carrauntoohil;1038.6;Dublin;53.349722222;-6.260277777;;;país na Europa;
IRN;Irão;Ásia;1.648195;Monte Damavand;5610.0;Teerão;35.688888888;51.389722222;;;país asiático do Médio Oriente;
IRQ;Iraque;Ásia;0.437072;Cheekah Dar;3611.0;Bagdá;33.315277777;44.366111111;;;país no Oriente Médio;
ISL;Islândia;Europa;0.103004;Hvannadalshnúkur;2110.0;Reykjavík;64.1475;-21.935;;;país insular europeu;
ISR;Israel;Ásia;0.02077;Monte Meron;1208.0;Jerusalém;31.778888888;35.225555555;;;país na Ásia Ocidental;
ITA;Itália;Europa;0.302068;Monte Branco;4805.59;Roma;41.893055555;12.482777777;;;país no sul da Europa;
JAM;Jamaica;América do Norte e América Central;0.01099190954;Pico Blue Mountain;2256.0;Kingston;17.971388888;-76.793055555;;;país no mar do Caribe;
JOR;Jordânia;Ásia;0.089341;Jabal Umm ad Dami;1854.0;Amã;31.95;35.933333333;;;país na Ásia;
JPN;Japão;Ásia;0.37797228000000005;Monte Fuji;3777.24;Tóquio;35.689444444;139.691666666;;;país insular na Ásia Oriental;
KAZ;Cazaquistão;Ásia;2.7249;Khan Tengri;7010.0;Astana;51.133333333;71.433333333;;;país da Eurásia;
KEN;Quénia;África;0.581309;Monte Quénia;5199.0;Nairóbi;-1.286388888;36.817222222;;;país da África;
KGZ;Quirguistão;Ásia;0.199951;Pico Jengish Chokusu;7439.0;Bisqueque;42.866666666;74.566666666;;;país da Ásia;
KHM;Camboja;Ásia;0.181035;Phnum Aoral;1813.0;Phnom Penh;11.569583333;104.921027777;;;país do Sudeste da Ásia;
KIR;Kiribati;Oceania;0.000811;Banaba;81.0;Tarawa do Sul;1.333333333;172.966666666;;;país da Oceania;
KIR;Kiribati;Oceania;0.000811;Banaba;81.0;Tarawa;1.433333333;173.0;;;país da Oceania;
KIR;Kiribati;Oceania;0.000811;Banaba;81.0;Tarawa do Sul;1.333333333;172.966666666;;;país da Oceania;
KIR;Kiribati;Oceania;0.000811;Banaba;81.0;Tarawa;1.433333333;173.0;;;país da Oceania;
KNA;São Cristóvão e Neves;América do Norte e América Central;0.000269358763;Monte Liamuiga;1156.0;Basseterre;17.298333333;-62.734166666;;;país nas Índias Ocidentais;
KOR;Coreia do Sul;Ásia;0.100295;Hallasan;1947.06;Seul;37.56;126.99;;;país na Ásia Oriental;
KWT;Kuwait;Ásia;0.017818;Mutla Ridge;140.0;Kuwait;29.375;47.98;;;país na Ásia Ocidental;
LAO;Laos;Ásia;0.2368;Phou Bia;2819.0;Vienciana;17.98;102.63;;;país do Sudeste da Ásia;
LBN;Líbano;Ásia;0.010452;Qurnat as Sawda';3088.0;Beirute;33.886944444;35.513055555;;;país na Ásia;
