m49;country;year;immigrants;emigrants
92;British Virgin Islands*;1995;10046.0;3930.0
92;British Virgin Islands*;2000;12958.0;4053.0
92;British Virgin Islands*;2005;15016.0;3678.0
92;British Virgin Islands*;2010;17076.0;4534.0
92;British Virgin Islands*;2015;19535.0;4874.0
92;British Virgin Islands*;2020;22164.0;5543.0
92;British Virgin Islands*;2024;24520.0;6185.0
96;Brunei Darussalam;1990;73200.0;31408.0
96;Brunei Darussalam;1995;84748.0;44425.0
96;Brunei Darussalam;2000;96296.0;45229.0
96;Brunei Darussalam;2005;98441.0;45524.0
96;Brunei Darussalam;2010;100587.0;45555.0
96;Brunei Darussalam;2015;102733.0;45924.0
96;Brunei Darussalam;2020;111959.0;46349.0
96;Brunei Darussalam;2024;119933.0;46552.0
100;Bulgaria;1990;21510.0;597707.0
100;Bulgaria;1995;32435.0;661065.0
100;Bulgaria;2000;43360.0;707846.0
100;Bulgaria;2005;61074.0;808373.0
100;Bulgaria;2010;76287.0;926056.0
100;Bulgaria;2015;123803.0;1030383.0
100;Bulgaria;2020;184363.0;1178732.0
100;Bulgaria;2024;299100.0;1252234.0
104;Myanmar;1990;133545.0;529164.0
104;Myanmar;1995;113663.0;530678.0
104;Myanmar;2000;98011.0;671239.0
104;Myanmar;2005;83025.0;1254165.0
104;Myanmar;2010;76414.0;2129897.0
104;Myanmar;2015;73309.0;2517411.0
104;Myanmar;2020;76446.0;3611603.0
104;Myanmar;2024;79052.0;4320462.0
108;Burundi;1990;333110.0;342568.0
108;Burundi;1995;254853.0;549487.0
108;Burundi;2000;125628.0;802113.0
108;Burundi;2005;192774.0;651030.0
108;Burundi;2010;247321.0;290788.0
108;Burundi;2015;298299.0;444013.0
108;Burundi;2020;344767.0;552134.0
108;Burundi;2024;387101.0;576530.0
112;Belarus;1990;1248977.0;1768067.0
112;Belarus;1995;1186282.0;1680350.0
112;Belarus;2000;1123586.0;1599048.0
112;Belarus;2005;1106982.0;1462091.0
112;Belarus;2010;1090378.0;1310899.0
112;Belarus;2015;1082905.0;1079713.0
112;Belarus;2020;1067090.0;919469.0
112;Belarus;2024;1054604.0;790232.0
116;Cambodia;1990;38375.0;261096.0
116;Cambodia;1995;92230.0;282803.0
116;Cambodia;2000;146085.0;316497.0
116;Cambodia;2005;114096.0;455076.0
116;Cambodia;2010;82028.0;613439.0
116;Cambodia;2015;73962.0;674059.0
116;Cambodia;2020;79341.0;726096.0
116;Cambodia;2024;83925.0;778793.0
120;Cameroon;1990;265967.0;92391.0
120;Cameroon;1995;244791.0;108473.0
120;Cameroon;2000;227242.0;131985.0
120;Cameroon;2005;265503.0;167265.0
120;Cameroon;2010;291474.0;214405.0
120;Cameroon;2015;508346.0;275824.0
120;Cameroon;2020;579209.0;357087.0
120;Cameroon;2024;642948.0;409677.0
124;Canada;1990;4251056.0;1114493.0
124;Canada;1995;4853738.0;1273577.0
124;Canada;2000;5525404.0;1248046.0
124;Canada;2005;6086976.0;1255998.0
124;Canada;2010;7035001.0;1255259.0
124;Canada;2015;8049874.0;1307957.0
124;Canada;2020;8332892.0;1310121.0
124;Canada;2024;8805839.0;1347381.0
132;Cabo Verde;1990;8931.0;51800.0
132;Cabo Verde;1995;9979.0;63673.0
132;Cabo Verde;2000;11027.0;76121.0
132;Cabo Verde;2005;12700.0;92475.0
132;Cabo Verde;2010;14373.0;99281.0
132;Cabo Verde;2015;14924.0;116450.0
132;Cabo Verde;2020;15788.0;133491.0
132;Cabo Verde;2024;16515.0;146396.0
136;Cayman Islands*;1990;9315.0;125.0
136;Cayman Islands*;1995;12666.0;130.0
136;Cayman Islands*;2000;19176.0;146.0
136;Cayman Islands*;2005;20679.0;179.0
136;Cayman Islands*;2010;24062.0;248.0
136;Cayman Islands*;2015;26193.0;381.0
136;Cayman Islands*;2020;29242.0;549.0
136;Cayman Islands*;2024;31935.0;609.0
140;Central African Republic;1990;67234.0;37143.0
140;Central African Republic;1995;99712.0;39510.0
140;Central African Republic;2000;123529.0;44980.0
140;Central African Republic;2005;96409.0;115287.0
140;Central African Republic;2010;94685.0;228473.0
140;Central African Republic;2015;81568.0;666056.0
140;Central African Republic;2020;88546.0;794362.0
140;Central African Republic;2024;94556.0;905808.0
144;Sri Lanka;1990;41561.0;843476.0
144;Sri Lanka;1995;40841.0;721651.0
144;Sri Lanka;2000;40132.0;786520.0
144;Sri Lanka;2005;39526.0;910507.0
144;Sri Lanka;2010;38959.0;1108466.0
144;Sri Lanka;2015;39706.0;1246445.0
144;Sri Lanka;2020;40254.0;1409777.0
144;Sri Lanka;2024;40698.0;1492103.0
148;Chad;1990;74342.0;329970.0
148;Chad;1995;89584.0;217609.0
148;Chad;2000;104825.0;202762.0
148;Chad;2005;352130.0;201982.0
148;Chad;2010;417034.0;191459.0
148;Chad;2015;466968.0;179293.0
148;Chad;2020;547494.0;208110.0
148;Chad;2024;1269673.0;292298.0
152;Chile;1990;100133.0;390979.0
152;Chile;1995;125754.0;391356.0
152;Chile;2000;166608.0;393879.0
152;Chile;2005;241522.0;419855.0
152;Chile;2010;361531.0;435797.0
152;Chile;2015;598039.0;419035.0
152;Chile;2020;1476240.0;423400.0
152;Chile;2024;1538324.0;444451.0
156;China;1990;518395.0;3990935.0
156;China;1995;610608.0;4676354.0
156;China;2000;720915.0;5668480.0
156;China;2005;853360.0;6892920.0
156;China;2010;1010008.0;8773150.0
156;China;2015;1196007.0;10357962.0
156;China;2020;1415116.0;11169868.0
156;China;2024;1638718.0;11701619.0
158;China, Taiwan Province of China;1990;66378.0;388755.0
158;China, Taiwan Province of China;1995;246682.0;429257.0
158;China, Taiwan Province of China;2000;450366.0;593675.0
158;China, Taiwan Province of China;2005;548367.0;645094.0
158;China, Taiwan Province of China;2010;587646.0;723110.0
158;China, Taiwan Province of China;2015;866324.0;801098.0
158;China, Taiwan Province of China;2020;1055191.0;810609.0
158;China, Taiwan Province of China;2024;1136425.0;832507.0
170;Colombia;1990;100672.0;1000769.0
170;Colombia;1995;109550.0;1181011.0
170;Colombia;2000;109863.0;1469973.0
170;Colombia;2005;110495.0;1823207.0
170;Colombia;2010;126424.0;2558298.0
170;Colombia;2015;145504.0;2720321.0
170;Colombia;2020;1932807.0;3165293.0
170;Colombia;2024;3063518.0;3652238.0
174;Comoros;1990;14079.0;32522.0
174;Comoros;1995;13939.0;48072.0
174;Comoros;2000;13799.0;73404.0
174;Comoros;2005;13209.0;97008.0
174;Comoros;2010;12618.0;111510.0
174;Comoros;2015;12555.0;188715.0
174;Comoros;2020;12496.0;260848.0
174;Comoros;2024;12449.0;367574.0
175;Mayotte;1990;15229.0;1835.0
175;Mayotte;1995;26316.0;3937.0
175;Mayotte;2000;45474.0;6214.0
175;Mayotte;2005;63176.0;6468.0
175;Mayotte;2010;72757.0;6336.0
175;Mayotte;2015;81386.0;6545.0
175;Mayotte;2020;111540.0;6767.0
175;Mayotte;2024;143528.0;6960.0
178;Congo;1990;129391.0;64367.0
178;Congo;1995;191635.0;88142.0
178;Congo;2000;305880.0;118262.0
178;Congo;2005;318724.0;160242.0
178;Congo;2010;425173.0;169150.0
178;Congo;2015;390142.0;201319.0
178;Congo;2020;387606.0;220301.0
178;Congo;2024;385589.0;231080.0
180;Democratic Republic of the Congo;1990;754194.0;393133.0
180;Democratic Republic of the Congo;1995;1816963.0;505090.0
180;Democratic Republic of the Congo;2000;744387.0;794799.0
180;Democratic Republic of the Congo;2005;623009.0;1097069.0
180;Democratic Republic of the Congo;2010;589882.0;1242847.0
180;Democratic Republic of the Congo;2015;810018.0;1512153.0
180;Democratic Republic of the Congo;2020;952871.0;1916852.0
180;Democratic Republic of the Congo;2024;1085090.0;2097387.0
184;Cook Islands*;1990;2587.0;17630.0
184;Cook Islands*;1995;2686.0;16916.0
184;Cook Islands*;2000;2785.0;19708.0
184;Cook Islands*;2005;3277.0;20294.0
184;Cook Islands*;2010;3769.0;20294.0
184;Cook Islands*;2015;4168.0;20558.0
184;Cook Islands*;2020;4579.0;20134.0
184;Cook Islands*;2024;4937.0;20288.0
188;Costa Rica;1990;417628.0;22922.0
188;Costa Rica;1995;364287.0;22763.0
188;Costa Rica;2000;310946.0;26493.0
188;Costa Rica;2005;358398.0;30258.0
188;Costa Rica;2010;405779.0;34241.0
188;Costa Rica;2015;411697.0;39023.0
188;Costa Rica;2020;520729.0;43504.0
188;Costa Rica;2024;628404.0;50982.0
191;Croatia;1990;475438.0;840829.0
191;Croatia;1995;674085.0;1056934.0
191;Croatia;2000;585298.0;1196319.0
191;Croatia;2005;579273.0;990980.0
191;Croatia;2010;573248.0;847561.0
191;Croatia;2015;561093.0;802347.0
191;Croatia;2020;528056.0;825039.0
191;Croatia;2024;527831.0;826166.0
192;Cuba;1990;34555.0;839585.0
192;Cuba;1995;26187.0;917722.0
192;Cuba;2000;18545.0;1032762.0
192;Cuba;2005;11693.0;1093555.0
192;Cuba;2010;7373.0;1337631.0
192;Cuba;2015;4649.0;1519397.0
192;Cuba;2020;3024.0;1721822.0
192;Cuba;2024;2144.0;1879613.0
196;Cyprus;1990;43805.0;87065.0
196;Cyprus;1995;61941.0;74433.0
196;Cyprus;2000;80076.0;63149.0
196;Cyprus;2005;122849.0;65886.0
196;Cyprus;2010;188472.0;68736.0
196;Cyprus;2015;176693.0;70451.0
196;Cyprus;2020;190366.0;75728.0
196;Cyprus;2024;202062.0;80760.0
203;Czechia;1990;442428.0;532885.0
203;Czechia;1995;531039.0;585124.0
203;Czechia;2000;639018.0;615436.0
203;Czechia;2005;670689.0;650527.0
203;Czechia;2010;692197.0;660378.0
203;Czechia;2015;688047.0;624517.0
203;Czechia;2020;680221.0;584341.0
203;Czechia;2024;1025199.0;583214.0
204;Benin;1990;76751.0;226170.0
204;Benin;1995;105703.0;265968.0
204;Benin;2000;134655.0;321244.0
204;Benin;2005;248320.0;496572.0
204;Benin;2010;309225.0;533981.0
204;Benin;2015;366284.0;628871.0
204;Benin;2020;394276.0;678375.0
204;Benin;2024;418202.0;726530.0
208;Denmark*;1990;235918.0;124563.0
208;Denmark*;1995;298278.0;117007.0
208;Denmark*;2000;372128.0;113952.0
208;Denmark*;2005;423167.0;120534.0
208;Denmark*;2010;509751.0;124567.0
208;Denmark*;2015;616741.0;123297.0
208;Denmark*;2020;718856.0;120852.0
208;Denmark*;2024;847475.0;124665.0
212;Dominica;1990;2519.0;18686.0
212;Dominica;1995;3121.0;20457.0
212;Dominica;2000;3723.0;22406.0
212;Dominica;2005;4744.0;21077.0
212;Dominica;2010;8110.0;20788.0
212;Dominica;2015;8093.0;21079.0
212;Dominica;2020;8284.0;20838.0
212;Dominica;2024;8440.0;21384.0
214;Dominican Republic;1990;291151.0;462285.0
214;Dominican Republic;1995;323381.0;657381.0
214;Dominican Republic;2000;355611.0;845469.0
214;Dominican Republic;2005;375417.0;962450.0
214;Dominican Republic;2010;395479.0;1212240.0
214;Dominican Republic;2015;549289.0;1454378.0
214;Dominican Republic;2020;603794.0;1691232.0
214;Dominican Republic;2024;738667.0;1917153.0
218;Ecuador;1990;139204.0;209258.0
218;Ecuador;1995;145626.0;316260.0
218;Ecuador;2000;150585.0;510456.0
218;Ecuador;2005;144415.0;935700.0
218;Ecuador;2010;358874.0;1122949.0
218;Ecuador;2015;332142.0;1066457.0
218;Ecuador;2020;721560.0;1118570.0
218;Ecuador;2024;747749.0;1243065.0
222;El Salvador;1990;47360.0;955569.0
222;El Salvador;1995;39537.0;1005420.0
222;El Salvador;2000;31713.0;906731.0
222;El Salvador;2005;36029.0;1108043.0
222;El Salvador;2010;40342.0;1359464.0
222;El Salvador;2015;42059.0;1541873.0
222;El Salvador;2020;42767.0;1679667.0
222;El Salvador;2024;43342.0;1834670.0
226;Equatorial Guinea;1990;2740.0;27829.0
226;Equatorial Guinea;1995;3629.0;40029.0
226;Equatorial Guinea;2000;4517.0;57049.0
226;Equatorial Guinea;2005;6588.0;71228.0
226;Equatorial Guinea;2010;8658.0;83286.0
226;Equatorial Guinea;2015;209611.0;116053.0
226;Equatorial Guinea;2020;230618.0;127021.0
226;Equatorial Guinea;2024;248930.0;136825.0
231;Ethiopia;1990;875325.0;1630810.0
231;Ethiopia;1995;478712.0;727374.0
231;Ethiopia;2000;311441.0;418923.0
231;Ethiopia;2005;170773.0;493987.0
231;Ethiopia;2010;227078.0;666181.0
231;Ethiopia;2015;797374.0;896584.0
231;Ethiopia;2020;875170.0;1075343.0
231;Ethiopia;2024;1168455.0;1240645.0
232;Eritrea;1990;11848.0;156294.0
232;Eritrea;1995;12400.0;370422.0
232;Eritrea;2000;12952.0;505394.0
232;Eritrea;2005;15905.0;267114.0
232;Eritrea;2010;15813.0;283312.0
232;Eritrea;2015;15941.0;478597.0
232;Eritrea;2020;13934.0;663275.0
232;Eritrea;2024;12512.0;912792.0
233;Estonia;1990;381997.0;106726.0
233;Estonia;1995;315755.0;108115.0
233;Estonia;2000;249512.0;111603.0
233;Estonia;2005;233701.0;115845.0
233;Estonia;2010;217890.0;116903.0
233;Estonia;2015;194664.0;128194.0
233;Estonia;2020;199277.0;123628.0
233;Estonia;2024;203046.0;124216.0
234;Faroe Islands*;1990;4285.0;7941.0
234;Faroe Islands*;1995;2900.0;12021.0
234;Faroe Islands*;2000;3593.0;11640.0
234;Faroe Islands*;2005;4583.0;11018.0
234;Faroe Islands*;2010;5096.0;12146.0
234;Faroe Islands*;2015;5485.0;13041.0
234;Faroe Islands*;2020;6812.0;12048.0
234;Faroe Islands*;2024;8101.0;12282.0
238;Falkland Islands (Malvinas)*;1990;855.0;1082.0
238;Falkland Islands (Malvinas)*;1995;868.0;1839.0
238;Falkland Islands (Malvinas)*;2000;1067.0;1525.0
238;Falkland Islands (Malvinas)*;2005;1166.0;1100.0
