iso3;qid_country;lang_qid;lang_label
AUS;Q408;Q3915684;Kurrama
AUS;Q408;Q3915686;Yalarnnga
AUS;Q408;Q3915687;Kuku-Uwanh
AUS;Q408;Q3915688;Lardil
AUS;Q408;Q3915693;Gugu Thaypan
AUS;Q408;Q3915694;Linngithigh
AUS;Q408;Q3915695;Wik-Ngathan
AUS;Q408;Q3915702;Flinders Island language
AUS;Q408;Q3915711;Língua ngawun
AUS;Q408;Q3915783;Nyawaygi
AUS;Q408;Q3915942;Warrgamay
AUS;Q408;Q4087011;Biri
AUS;Q408;Q4683034;Adithinngithigh
AUS;Q408;Q4764288;Anguthimri
AUS;Q408;Q4830109;Awngthim
AUS;Q408;Q4840986;Badjiri
AUS;Q408;Q4858065;Barababaraba
AUS;Q408;Q4874263;Bayali
AUS;Q408;Q4913975;Bindal
AUS;Q408;Q4916329;Gangulu
AUS;Q408;Q4975277;Broome Pearling Lugger Pidgin
AUS;Q408;Q4997615;Bungandidj
AUS;Q408;Q4998124;Burarra
AUS;Q408;Q4998313;Burduna
AUS;Q408;Q5223660;Darkinjung
AUS;Q408;Q5223941;Língua darling
AUS;Q408;Q5228050;Daungwurrung
AUS;Q408;Q5268787;Dhalandji
AUS;Q408;Q5268960;Dhangu
AUS;Q408;Q5285033;Língua diyari
AUS;Q408;Q5285185;Djabirr-Djabirr
AUS;Q408;Q5285187;Djabwurrung
AUS;Q408;Q5285190;Djadjawurrung
AUS;Q408;Q5285274;Djeebbana
AUS;Q408;Q5285350;Língua djinang
AUS;Q408;Q5285351;Língua djimba
AUS;Q408;Q5515391;Gubbi Gubbi
AUS;Q408;Q5517764;Galaagu
AUS;Q408;Q5523396;Garlali
AUS;Q408;Q5565906;Língua Giyug
AUS;Q408;Q5614528;Gudang
AUS;Q408;Q5615186;Gugadj
AUS;Q408;Q5615286;Gugu Warra
AUS;Q408;Q5618523;Gunbarlang
AUS;Q408;Q5619801;Guragone
AUS;Q408;Q5619931;Gurdjar
AUS;Q408;Q5619998;Gureng Gureng
AUS;Q408;Q5620091;Gurindji Kriol
AUS;Q408;Q5621973;Língua guugu yalandji
AUS;Q408;Q5621992;Guwa
AUS;Q408;Q5995402;Ikarranggal
AUS;Q408;Q5997810;Ilgar
AUS;Q408;Q6147825;Língua jaminjung
AUS;Q408;Q6150919;Jandai
AUS;Q408;Q6202435;Língua jingulu
AUS;Q408;Q6349988;Kalaamaya
AUS;Q408;Q6359779;Kamu
AUS;Q408;Q6373349;Karranga
AUS;Q408;Q6378899;Língua kaurna
AUS;Q408;Q6380709;Kaytetye
AUS;Q408;Q6426526;Língua kok-nar
AUS;Q408;Q6426699;Koko-Bera
AUS;Q408;Q6433116;Pitta Pitta
AUS;Q408;Q6444516;Kungarakany
AUS;Q408;Q6444517;Kungardutyi
AUS;Q408;Q6444526;Kungkari
AUS;Q408;Q6448417;Kuthant
AUS;Q408;Q6448718;Língua kuuk thaayorre
AUS;Q408;Q6448719;Língua kuuk yak
AUS;Q408;Q6448731;Dhauwurd Wurrung
AUS;Q408;Q6482727;Lamu-Lamu
AUS;Q408;Q6512694;Língua latji-latji
AUS;Q408;Q6549414;Limilngan
AUS;Q408;Q6693295;Língua arrernte inferior
AUS;Q408;Q6727353;Madhi Madhi
AUS;Q408;Q6741120;Malak-Malak
AUS;Q408;Q6743201;Malgana
AUS;Q408;Q6746906;Manangkari
AUS;Q408;Q6748664;Mangarla
