iso3,country,christian,muslim,unaffiliated,hindu,buddhist,folk_religions,other_religions,jewish,source_year
GTM,Guatemala,95.2,0.05,4.1,0.05,0.05,0.6,0.05,0.05,2010
GIN,Guinea,10.9,84.4,1.8,0.05,0.05,2.7,0.05,0.05,2010
GUY,Guyana,66.0,6.4,2.0,24.9,0.05,0.2,0.6,0.05,2010
HTI,Haiti,86.9,0.05,10.6,0.05,0.05,2.2,0.3,0.05,2010
HND,Honduras,87.6,0.1,10.5,0.05,0.1,1.1,0.6,0.05,2010
HUN,Hungary,81.0,0.05,18.6,0.05,0.05,0.05,0.05,0.1,2010
ISL,Iceland,95.0,0.2,3.5,0.3,0.4,0.5,0.2,0.05,2010
IND,India,2.5,14.4,0.05,79.5,0.8,0.5,2.3,0.05,2010
IDN,Indonesia,9.9,87.2,0.05,1.7,0.7,0.3,0.1,0.05,2010
IRN,Iran,0.2,99.0,0.1,0.05,0.05,0.05,0.2,0.05,2010
IRQ,Iraq,0.8,99.0,0.1,0.05,0.05,0.05,0.05,0.05,2010
IRL,Ireland,92.0,1.1,6.2,0.2,0.2,0.2,0.05,0.05,2010
IMN,Isle of Man,84.1,0.2,15.4,0.2,0.05,0.05,0.05,0.05,2010
ISR,Israel,2.0,18.6,3.1,0.05,0.3,0.2,0.1,75.6,2010
ITA,Italy,83.3,3.7,12.4,0.1,0.2,0.1,0.05,0.05,2010
CIV,Ivory Coast,44.1,37.5,8.0,0.05,0.05,10.2,0.2,0.05,2010
JAM,Jamaica,77.2,0.05,17.2,0.05,0.05,4.5,1.0,0.05,2010
JPN,Japan,1.6,0.2,57.0,0.05,36.2,0.4,4.7,0.05,2010
JOR,Jordan,2.2,97.2,0.05,0.1,0.4,0.05,0.05,0.05,2010
KAZ,Kazakhstan,24.8,70.4,4.2,0.05,0.2,0.3,0.1,0.05,2010
KEN,Kenya,84.8,9.7,2.5,0.1,0.05,1.7,1.2,0.05,2010
KIR,Kiribati,97.0,0.05,0.8,0.05,0.05,0.05,2.2,0.05,2010
KWT,Kuwait,14.3,74.1,0.05,8.5,2.8,0.05,0.3,0.05,2010
KGZ,Kyrgyzstan,11.4,88.0,0.4,0.05,0.05,0.1,0.05,0.05,2010
LAO,Laos,1.5,0.05,0.9,0.05,66.0,30.7,0.7,0.05,2010
LVA,Latvia,55.8,0.1,43.8,0.05,0.05,0.05,0.2,0.05,2010
LBN,Lebanon,38.3,61.3,0.3,0.05,0.2,0.05,0.05,0.05,2010
LSO,Lesotho,96.8,0.05,3.1,0.05,0.05,0.1,0.05,0.05,2010
LBR,Liberia,85.9,12.0,1.4,0.05,0.05,0.5,0.1,0.05,2010
LBY,Libya,2.7,96.6,0.2,0.05,0.3,0.05,0.05,0.05,2010
LIE,Liechtenstein,91.9,5.0,2.9,0.05,0.05,0.05,0.05,0.1,2010
LTU,Lithuania,89.8,0.05,10.0,0.05,0.05,0.05,0.05,0.05,2010
LUX,Luxembourg,70.4,2.3,26.8,0.05,0.05,0.05,0.3,0.1,2010
MAC,Macau,7.2,0.2,15.4,0.05,17.3,58.9,1.0,0.05,2010
MDG,Madagascar,85.3,3.0,6.9,0.05,0.05,4.5,0.05,0.05,2010
MWI,Malawi,82.7,13.0,2.5,0.05,0.05,1.7,0.05,0.05,2010
MYS,Malaysia,9.4,63.7,0.7,6.0,17.7,2.3,0.2,0.05,2010
MDV,Maldives,0.4,98.4,0.05,0.3,0.6,0.05,0.05,0.05,2010
MLI,Mali,3.2,92.4,2.7,0.05,0.05,1.6,0.05,0.05,2010
MLT,Malta,97.0,0.2,2.5,0.2,0.05,0.05,0.05,0.05,2010
MHL,Marshall Islands,97.5,0.05,1.5,0.05,0.05,0.3,0.8,0.05,2010
MTQ,Martinique,96.5,0.2,2.3,0.2,0.05,0.2,0.6,0.05,2010
MRT,Mauritania,0.3,99.0,0.1,0.05,0.05,0.5,0.05,0.05,2010
MUS,Mauritius,25.3,16.7,0.6,56.4,0.05,0.7,0.3,0.05,2010
MYT,Mayotte,0.7,98.6,0.2,0.05,0.05,0.5,0.05,0.05,2010
MEX,Mexico,95.1,0.05,4.7,0.05,0.05,0.05,0.05,0.05,2010
MDA,Moldova,97.4,0.6,1.4,0.05,0.05,0.05,0.05,0.6,2010
MCO,Monaco,86.0,0.4,11.7,0.05,0.05,0.05,0.2,1.7,2010
MNG,Mongolia,2.3,3.2,35.9,0.05,55.1,3.5,0.05,0.05,2010
MNE,Montenegro,78.1,18.7,3.2,0.05,0.05,0.05,0.05,0.05,2010
MSR,Montserrat,93.5,0.05,4.8,0.1,0.05,0.2,1.5,0.05,2010
MAR,Morocco,0.05,99.0,0.05,0.05,0.05,0.05,0.05,0.05,2010
MOZ,Mozambique,56.7,18.0,17.9,0.05,0.05,7.4,0.05,0.05,2010
NAM,Namibia,97.5,0.3,1.9,0.05,0.05,0.2,0.05,0.05,2010
NRU,Nauru,79.0,0.05,4.5,0.05,1.1,8.1,7.4,0.05,2010
NPL,Nepal,0.5,4.6,0.3,80.7,10.3,3.7,0.05,0.05,2010
NLD,Netherlands,50.6,6.0,42.1,0.5,0.2,0.2,0.2,0.2,2010
NCL,New Caledonia,85.2,2.8,10.4,0.05,0.6,0.2,0.8,0.05,2010
NZL,New Zealand,57.0,1.2,36.6,2.1,1.6,0.5,0.7,0.2,2010
NIC,Nicaragua,85.8,0.05,12.5,0.05,0.05,1.4,0.1,0.05,2010
NER,Niger,0.8,98.4,0.7,0.05,0.05,0.05,0.05,0.05,2010
NGA,Nigeria,49.3,48.8,0.4,0.05,0.05,1.4,0.05,0.05,2010
NIU,Niue,96.4,0.05,3.3,0.05,0.05,0.05,0.2,0.05,2010
PRK,North Korea,2.0,0.05,71.3,0.05,1.5,12.3,12.9,0.05,2010
MNP,Northern Mariana Islands,81.3,0.7,1.0,0.05,10.6,5.3,1.1,0.05,2010
NOR,Norway,84.7,3.7,10.1,0.5,0.6,0.05,0.2,0.05,2010
OMN,Oman,6.5,85.9,0.2,5.5,0.8,0.05,1.0,0.05,2010
PAK,Pakistan,1.6,96.4,0.05,1.9,0.05,0.05,0.05,0.05,2010
PLW,Palau,86.7,0.05,1.2,0.05,0.8,0.8,10.4,0.05,2010
PSE,Palestinian territories,2.4,97.6,0.05,0.05,0.05,0.05,0.05,0.05,2010
PAN,Panama,93.0,0.7,4.8,0.05,0.2,0.4,0.4,0.4,2010
PNG,Papua New Guinea,99.0,0.05,0.05,0.05,0.05,0.4,0.2,0.05,2010
PRY,Paraguay,96.9,0.05,1.1,0.05,0.05,1.7,0.2,0.05,2010
PER,Peru,95.5,0.05,3.0,0.05,0.2,1.0,0.3,0.05,2010
PHL,Philippines,92.6,5.5,0.1,0.05,0.05,1.5,0.1,0.05,2010
POL,Poland,94.3,0.05,5.6,0.05,0.05,0.05,0.05,0.05,2010
PRT,Portugal,93.8,0.6,4.4,0.1,0.6,0.5,0.05,0.05,2010
PRI,Puerto Rico,96.7,0.05,1.9,0.05,0.3,0.8,0.1,0.05,2010
QAT,Qatar,13.8,67.7,0.9,13.8,3.1,0.05,0.7,0.05,2010
COG,Republic of the Congo,85.9,1.2,9.0,0.05,0.05,2.8,1.1,0.05,2010
