iso3,country,role,person,person_qid,start,end,party,end_cause
CHN,China,head_of_state,Xi Jinping,Q15031,2013-03-14T00:00:00Z,,Chinese Communist Party,
CIV,Costa do Marfim,head_of_government,Robert Beugré Mambé,Q3434569,2023-10-16T00:00:00Z,,,
CIV,Costa do Marfim,head_of_state,Alassane Ouattara,Q57413,2010-12-04T00:00:00Z,,Democratic Party of Côte d'Ivoire – African Democratic Rally,
CMR,Camarões,head_of_government,Joseph Dion Ngute,Q60441515,2019-01-04T00:00:00Z,,CPDM,
CMR,Camarões,head_of_state,Paul Biya,Q57272,1982-11-06T00:00:00Z,,CPDM,
COD,Congo - Kinshasa,head_of_government,Judith Tuluka,Q117472023,2024-04-01T00:00:00Z,,Union for Democracy and Social Progress,
COD,Congo - Kinshasa,head_of_state,Félix Tshisekedi,Q29032770,2019-01-25T00:00:00Z,,Union for Democracy and Social Progress,
COG,República do Congo,head_of_government,Anatole Collinet Makosso,Q4752077,2021-05-12T00:00:00Z,,Congolese Party of Labour,
COG,República do Congo,head_of_state,Denis Sassou-Nguesso,Q57418,1997-10-25T00:00:00Z,,Congolese Party of Labour,
COK,Ilhas Cook,head_of_government,Mark Brown,Q6766871,2020-10-01T00:00:00Z,,Cook Islands Party,
COK,Ilhas Cook,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
COL,Colômbia,head_of_government,Gustavo Petro,Q704022,2022-08-07T00:00:00Z,,Alternative Democratic Pole,
COL,Colômbia,head_of_state,Gustavo Petro,Q704022,2022-08-07T00:00:00Z,,Alternative Democratic Pole,
COM,Comores,head_of_government,Azali Assoumani,Q515602,2019-05-26T00:00:00Z,,Convention for the Renewal of the Comoros,
COM,Comores,head_of_state,Azali Assoumani,Q515602,2019-05-26T00:00:00Z,,Convention for the Renewal of the Comoros,
CPV,Cabo Verde,head_of_government,Ulisses Correia e Silva,Q23899522,2016-04-22T00:00:00Z,,Movement for Democracy,
CPV,Cabo Verde,head_of_state,José Maria Neves,Q57649,2021-11-09T00:00:00Z,,African Party for the Independence of Cape Verde,
CRI,Costa Rica,head_of_government,Rodrigo Chaves Robles,Q98017689,2022-05-08T00:00:00Z,,Social Democratic Progress Party,
CRI,Costa Rica,head_of_state,Rodrigo Chaves Robles,Q98017689,2022-05-08T00:00:00Z,,Social Democratic Progress Party,
CUB,Cuba,head_of_government,Manuel Marrero Cruz,Q79358625,2019-12-21T00:00:00Z,,Communist Party of Cuba,
CUB,Cuba,head_of_state,Miguel Díaz-Canel,Q1932603,2018-04-19T00:00:00Z,,Partido Comunista de Cuba,
CUW,Curaçao,head_of_government,Gilmar Pisas,Q29030093,2021-06-14T00:00:00Z,,Movement for the Future of Curaçao,
CUW,Curaçao,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,2013-04-30T00:00:00Z,,,
CYM,Ilhas Cayman,head_of_government,Andre M. Ebanks,Q109772130,2025-05-06T00:00:00Z,,,
CYM,Ilhas Cayman,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
CYP,Chipre,head_of_government,Nikos Christodoulides,Q48905549,2023-02-28T00:00:00Z,,Democratic Rally,
CYP,Chipre,head_of_state,Nikos Christodoulides,Q48905549,2023-02-28T00:00:00Z,,Democratic Rally,
CZE,Tchéquia,head_of_government,Petr Fiala,Q3377548,2021-11-28T00:00:00Z,,Civic Democratic Party,
CZE,Tchéquia,head_of_state,Petr Pavel,Q2080040,2023-03-09T00:00:00Z,,Ind.,
DEU,Alemanha,head_of_government,Friedrich Merz,Q566257,2025-05-06T00:00:00Z,,Christian Democratic Union,
DEU,Alemanha,head_of_state,Frank-Walter Steinmeier,Q76658,2017-03-19T00:00:00Z,,Social Democratic Party of Germany,
DJI,Djibuti,head_of_government,Abdoulkader Kamil Mohamed,Q10522744,2013-04-01T00:00:00Z,,People's Rally for Progress,
DJI,Djibuti,head_of_state,Ismaïl Omar Guelleh,Q57390,1999-05-08T00:00:00Z,,People's Rally for Progress,
DMA,Dominica,head_of_government,Roosevelt Skerrit,Q57823,2004-01-08T00:00:00Z,,Dominica Labour Party,
DMA,Dominica,head_of_state,Sylvanie Burton,Q122208779,2023-10-02T00:00:00Z,,Dominica Labour Party,
DNK,Dinamarca,head_of_government,Mette Frederiksen,Q5015,2019-06-27T00:00:00Z,,Social Democrats,
DNK,Dinamarca,head_of_state,Frederico X da Dinamarca,Q1004037,2024-01-14T00:00:00Z,,,
DOM,República Dominicana,head_of_government,Luis Abinader,Q16594097,2020-08-16T00:00:00Z,,Modern Revolutionary Party,
DOM,República Dominicana,head_of_state,Luis Abinader,Q16594097,2020-08-16T00:00:00Z,,Modern Revolutionary Party,
DZA,Argélia,head_of_government,Sifi Ghrieb,Q133540883,2025-08-28T00:00:00Z,,,
DZA,Argélia,head_of_state,Abdelmadjid Tebboune,Q2821166,2019-12-19T00:00:00Z,,National Liberation Front,
ECU,Equador,head_of_government,Daniel Noboa,Q112075625,2023-11-23T00:00:00Z,,Movimiento Sociedad Unida Más Acción,
ECU,Equador,head_of_state,Daniel Noboa,Q112075625,2023-11-23T00:00:00Z,,Movimiento Sociedad Unida Más Acción,
EGY,Egito,head_of_government,Moustafa Madbouly,Q54901515,2018-06-14T00:00:00Z,,Ind.,
EGY,Egito,head_of_state,Abdul Fatah Khalil Al-Sisi,Q307871,2014-06-08T00:00:00Z,,Ind.,
ERI,Eritreia,head_of_government,Isaias Afewerki,Q57348,1993-05-19T00:00:00Z,,People's Front for Democracy and Justice,
ERI,Eritreia,head_of_state,Isaias Afewerki,Q57348,1993-05-19T00:00:00Z,,People's Front for Democracy and Justice,
ESP,Espanha,head_of_government,Pedro Sánchez,Q6070218,2023-11-17T00:00:00Z,,Spanish Socialist Workers' Party,
ESP,Espanha,head_of_state,Filipe VI da Espanha,Q191045,2014-06-19T00:00:00Z,,,
