iso3;year;agr_vab;ind_vab;srv_vab;agr_emp;ind_emp;srv_emp
MLI;1992;36.9963328069799;16.240036849513;41.6943351692151;69.9820086147489;7.44132825218187;22.5766631330692
MLI;1993;39.0466506813142;15.5761278665051;39.4001408944461;69.7908129436797;7.46888581533084;22.7403012409894
MLI;1994;36.8356936333462;16.6582567314145;40.7186252367873;69.5147155031926;7.50386190733996;22.9813952049091
MLI;1995;37.7089536647179;17.4024339344997;38.4886940402217;69.416088876991;7.50887431401419;23.0750368089948
MLI;1996;36.8792067938505;17.0628574234017;37.834115443009;68.8953348418468;7.59391228991926;23.5107528682339
MLI;1997;35.9621716453204;18.7868864931386;36.6398845845996;68.4849203233;7.65894657999079;23.8561330967092
MLI;1998;34.560670864381;19.4296130474757;37.5371713340709;67.8335691590638;7.76249342098397;24.4039622698711
MLI;1999;35.5557160308632;18.226346471891;37.3344659138245;67.2786689372857;7.88891307064865;24.8324421202074
MLI;2000;32.9018677247122;21.5209477946314;37.2626429329049;67.2900981288862;7.89263669323188;24.8172885881656
MLI;2001;32.8136059590433;22.6703385481688;35.872252289535;65.7231445699845;8.24782130755544;26.0290114572591
MLI;2002;32.7141837452601;22.6011138032382;35.2872984191419;65.3830281643456;8.35585863432799;26.2611132013264
MLI;2003;29.8766298501644;22.7592079275042;37.2640518438314;64.4192316724584;8.60481747305401;26.9759508544876
MLI;2004;21.6317330518122;24.1883141459689;45.6887024716863;64.4070092459432;8.66391858859896;26.9290721654578
MLI;2005;22.5089459037018;26.3738624155344;42.9811233857412;63.9022093344765;8.84995675105212;27.2478139794873
MLI;2006;20.5794387561712;29.6487224275055;41.9825275103293;63.7191034690706;8.99505578191321;27.2858407490162
MLI;2007;21.9714685879203;27.3213023047178;43.4595655847457;65.3638489914685;8.35331117790371;26.2828398306278
MLI;2008;23.7736064666164;26.481875371738;43.10018069202;66.7884968214825;7.8348703765656;25.3766328019519
MLI;2009;24.3106014567072;26.7507395652983;41.0659804751015;68.1571367581531;7.408271433286;24.4345918085609
MLI;2010;25.029137826406;26.582174947023;41.1767225212007;69.3492878373697;7.0870843551993;23.563627807431
MLI;2011;27.4654786017959;24.2628453634457;41.1283525302867;70.6935432171145;6.76641018018272;22.5400466027028
MLI;2012;30.5771206889359;23.9081028780387;38.5195932232585;72.351311193884;6.44826889727568;21.2004199088404
MLI;2013;28.4567574237855;22.7970762794672;41.4495177021681;73.4953181987441;6.27712558708226;20.2275404090246
MLI;2014;29.5637215846784;23.4386609060195;40.5267167514301;66.7015309160072;7.99617305479327;25.3022960291995
MLI;2015;30.525122276133;22.3555320283093;40.0970307151047;62.2658687106375;8.26060776590595;29.4735235234566
MLI;2016;30.9987192702461;21.8908239361417;39.318867039934;64.9026752410249;6.71763983190569;28.3796849270695
MLI;2017;31.4007766435761;22.1743386291663;38.465341607849;63.1261023567082;8.23976363254312;28.6341340107487
MLI;2018;32.4975413984656;23.2080317204235;37.7025904458647;63.0028865247856;7.65740292101213;29.3397243271042
MLI;2019;32.2682205547332;23.0829741121544;37.2907298223604;65.5931224555919;8.31420720208989;26.0926703423182
MLI;2020;32.2899608370191;26.7389536942111;35.2593907469673;68.061810998184;9.30610067760867;22.6320883242074
MLI;2021;32.0375587266747;25.7809386341484;35.3194466866978;68.2478017417709;9.85163842161697;21.9005598366121
MLI;2022;32.9652832845916;24.796496641708;35.7394195272272;67.9925225542912;10.0183003303585;21.9891891423813
MLI;2023;32.4904123927446;24.397407413987;36.186323679705;67.7744739190938;10.2533952565205;21.9721308243858
MLI;2024;33.4454272920381;22.6651553517647;36.7199743390414;;;
MLT;1990;3.15176840512303;50.7784414751887;36.9830657107105;;;
MLT;1991;2.98488319287426;49.9458078912441;37.5205791901143;2.6645120072156;34.0929760607313;63.2425119320531
MLT;1992;2.76372975029456;46.7399244295187;41.1143525695652;2.61571654173803;33.9071895134085;63.4778353611068
MLT;1993;2.74297039949832;45.4904995114451;42.9498401113888;2.56183293220872;33.7573793517143;63.6807877160769
MLT;1994;2.5611093446674;46.8735922566449;41.9656905656083;2.50001807939022;33.7448202547025;63.7551616659073
MLT;1995;2.25201599685308;26.2177932210057;60.5487445092769;2.4345452466701;33.6034413765506;63.9620133767793
MLT;1996;2.23710858389157;26.0258607259698;62.1249415796853;2.36639826876326;33.3740848474629;64.2595168837739
MLT;1997;2.20864661654135;25.5345394736842;61.968397556391;2.30778263602517;33.1489041313523;64.5426224865477
MLT;1998;2.32596593727608;26.2249903544067;62.2554153116905;2.24268659560855;32.9276759096664;64.8303181279863
MLT;1999;2.15667286099406;24.7546261156333;62.5225743973617;2.1668872748285;32.4757610981583;65.3566797239822
MLT;2000;1.85678318211715;26.9973847512276;60.2083184517622;2.04310009783293;32.7458890065267;65.2110108956404
MLT;2001;2.17220597545979;23.8497437089857;62.6471701768258;2.34469917067244;30.925466166605;66.7304949553642
MLT;2002;2.10668361376596;24.7690881424424;61.6071622620609;2.34195862213135;31.5253107913011;66.1333838525709
MLT;2003;1.91969794287983;24.5360080620593;62.280966192796;2.45969611293577;29.8820103298095;67.6582935572547
MLT;2004;1.84667349520954;22.2274192080856;63.5520950367967;2.25580347678609;29.4486697053212;68.2961893152427
MLT;2005;1.78761496392062;20.73944585998;64.2880027829994;2.09538085792374;29.8490007688878;68.0556183731884
MLT;2006;1.81393309891346;19.8027225091423;65.2885817948061;2.03279189173713;28.3362918567438;69.630916251519
MLT;2007;1.75487582903605;18.50926725004;66.9621849872415;1.82017150664944;26.3158220139357;71.864624744193
MLT;2008;1.07431665643794;19.3024237465671;67.6883631863751;1.78698375855972;25.5646224609458;72.6483937804945
MLT;2009;1.3295914981212;17.655257440961;68.5821107439979;1.46101433711328;25.0229041907085;73.5160814721782
MLT;2010;1.27222712305743;17.4439389037771;69.4944957814887;1.33681102245248;25.517048796573;73.1455460427423
MLT;2011;1.08775796660071;16.4457629303318;69.9293291469582;1.1655254109965;24.5228395596776;74.3116350293259
MLT;2012;1.09098726860641;15.074609624433;71.9744088613837;1.04324660133316;22.1678709150235;76.7888824836433
MLT;2013;1.01975752527852;14.559529637149;73.0412090904556;1.2625770853619;21.573623282484;77.1643405820621
MLT;2014;1.00129014447097;13.0759999781862;74.356968340189;1.28076971135824;20.7239993335832;77.9952309550585
MLT;2015;0.941161443311968;12.0903046948537;76.1293947103127;1.46748436939986;20.0111504918163;78.5213651387838
MLT;2016;1.01064539115143;12.278697193042;75.8002452204941;1.1680122294941;19.8585964744662;78.9733912960397
MLT;2017;0.675668841155664;11.4560569395944;77.4370736924484;0.998174456855728;19.8075949824676;79.1942305606767
MLT;2018;0.622140405009506;11.5158115860279;77.1220159873828;0.996183317796274;18.5959793155054;80.4078373666983
MLT;2019;0.4721066879515;12.0664713713003;77.2151386916786;1.01173772314003;19.0312366683496;79.9570256085103
MLT;2020;0.726666972318758;12.2691175489107;78.5628619086116;1.08963436880569;18.2823119656673;80.628053665527
MLT;2021;0.82992754838942;12.0207569617155;79.157338220807;0.868386526236436;17.9918380364896;81.1397754372739
MLT;2022;0.770662549642097;11.8960084189782;80.1516418905823;0.800824107980724;16.9668875106718;82.2322883813475
MLT;2023;0.00389458131598723;11.8069100820798;81.1085504867501;1.11038285075375;17.597535286551;81.2920818626953
MLT;2024;0.207824723810727;11.4267996430151;80.7855198347085;;;
MMR;1991;;;;69.6285237276885;8.57819184292316;21.7932844293884
MMR;1992;;;;69.0538216574115;8.99790377283717;21.9482745697514
MMR;1993;;;;68.8991452721375;9.61199871533397;21.4888560125285
MMR;1994;;;;68.6864504489659;9.78771294647133;21.5258366045628
MMR;1995;;;;66.8219814655652;10.468907437843;22.7091110965917
MMR;1996;;;;65.1804948022776;11.0668986953703;23.7526116652765
MMR;1997;;;;63.3544866127421;11.7123116830403;24.9332017042176
MMR;1998;;;;62.7597470237947;12.0589018927251;25.1813461089607
MMR;1999;;;;62.4813015829151;12.1377064037794;25.3809920133055
MMR;2000;57.2386452556231;9.69226113586128;;61.676860118847;12.5026481918531;25.8204868744056
MMR;2001;57.0691916368966;10.5804943321805;;61.1640383651209;12.788666401731;26.047295233148
MMR;2002;54.5283327348715;13.0068954922166;;60.3270337952403;13.2519957991717;26.4209657148601
MMR;2003;50.620560861897;14.2582573952557;;59.3330196287951;13.6557471046034;27.0112332666015
MMR;2004;48.1650901865787;16.3663619555986;;58.4040099563312;14.1882136787512;27.4077763649176
MMR;2005;46.687240402588;17.512204636055;;57.6176728375105;14.6011416803076;27.781180921007
MMR;2006;43.918958474559;19.2372930203744;;56.7113322131779;15.0322090301078;28.2564632799145
MMR;2007;43.3227660063537;20.4091296662276;;56.1135069747665;15.3314970776444;28.5549959475891
MMR;2008;40.2750956375485;22.6658154224732;37.0590889399783;55.2094736844448;15.814247696002;28.9762830709705
MMR;2009;38.1081206105058;24.5320050982062;37.3598731111395;54.4782872687419;16.1629973680574;29.3587197809907
MMR;2010;36.853075751266;26.4680642743774;36.6788599743565;53.8827830748901;16.519096123641;29.5981208014688
MMR;2011;32.4961825024034;31.2916488307023;36.2121686668943;53.3707639105349;16.5345059771292;30.0947301123359
MMR;2012;30.5901997024538;32.3730207966326;37.0367795009136;52.9520109130114;16.5879202178803;30.4600688691083
MMR;2013;29.5337253604993;32.3622196006021;38.1040550388986;52.640137093969;16.5499431674855;30.8099197385455
MMR;2014;27.8298025759612;34.4897147952325;37.6804826288063;52.3276647941517;16.5558310713382;31.1165041345101
MMR;2015;26.771778645598;34.4688212621502;38.7594000921142;51.6899963508207;16.7657123628048;31.5442912863745
MMR;2016;25.6286228737595;34.8095048832944;39.5618722429461;51.5412327167546;16.2186152840595;32.2401561957399
MMR;2017;23.4041280962744;36.8009211203558;39.7949507833698;51.336771368082;15.7039115141064;32.9593171178117
MMR;2018;22.0756064041111;36.9634615021809;40.960932093708;48.9375252643338;17.0167708414517;34.0456997376146
MMR;2019;20.8421577754282;38.4126110918443;40.7452311327275;49.7566077330323;16.6405618910889;33.6028303758788
MMR;2020;22.4186525400503;37.5439155484288;40.0374319115209;46.4675603768429;18.5773033592346;34.9551362639225
MMR;2021;22.7852901568211;37.3108899934826;39.9038198496963;46.0781370347417;18.6744404914457;35.2474224738126
MMR;2022;22.3343500768495;38.2471357653023;39.4185141578482;45.4390162089951;18.7050802642904;35.8559035267145
