conflict_qid;conflict_label;empty_what
Q212220;Batalha de Nicópolis;labels
Q219697;Batalha de Navas de Tolosa;labels
Q188925;Batalhas de Khalkhin Gol;labels
Q203234;Batalha de Épehy;labels
Q195881;Battle of the 300 Champions;labels
Q190712;Primeira Batalha do Marne;labels
Q192938;Batalha do Grânico;labels
Q200682;Batalha de Queenston Heights;p17
Q209359;Batalha do Vimeiro;labels
Q205379;Batalha de Breitenfeld;labels
Q201692;Batalha de Poitiers;labels
Q205422;Batalha de Little Bighorn;labels
Q210354;Batalha de Kulikovo;labels
Q208529;Batalha de Dunquerque;labels
Q203233;Batalha de Plassey;p17
Q1164169;Burmese–Siamese War of 1547–1549;p17
Q1153331;Guerra otomano-veneziana (1499–1503);p17
Q1073446;Guerras Sueco-Novgorodenses;p17
Q1143379;Guerra na Ossétia do Sul em 1991-1992;p17
Q1139887;Guerra Russo-Persa;p17
Q1136575;Guerra Vândala;p17
Q1074467;War of Chioggia;p17
Q1186260;Guerra Creek;p17
Q1116646;Guerra Anglo-Sueca;p17
Q1156798;Dachstein War;p17
Q1140492;Smolensk War;p17
Q1202331;Germany Unification War;p17
Q1187448;Guerra Zenkunen;labels
Q1122337;Second Persian invasion of Greece;p17
Q1163209;Hungarian–Ottoman War;p17
Q1192398;Guerras dos Mosquetes;p17
Q1140134;Invasion of Ryukyu;labels
Q1076902;Guerra cremonidiana;p17
Q1112854;Ming–Hồ War;p17
Q1208479;Conflito georgiano-osseta de 1918-1920;p17
Q1178498;Polish-Ottoman War of 1593-1595;labels
Q1187411;Guerra Gosannen;labels
Q1209169;Guerra na Abecásia;p17
Q1154983;First Ottoman–Venetian War;p17
Q1207617;Pequot War;p17
Q233559;Segunda Guerra dos Cem Anos;p17
Q221941;Guerra da Quádrupla Aliança;p17
Q233553;Segunda Guerra Sacra;p17
Q228911;Guerra Anglo-Zulu;p17
Q207318;Guerras Revolucionárias Francesas;p17
Q233507;Segunda Guerra Anglo-Afegã;p17
Q233601;Second Carnatic War;p17
Q233500;Segunda Guerra Anglo-Birmanesa;p17
Q233538;Second Danish-Hanseatic War;p17
Q233642;Segunda Guerra Anglo-Marata;p17
Q223604;Guerra Greco-Italiana;p17
Q223085;Guerra do Futebol;p17
Q233663;Segunda Guerra Anglo-Mysore;p17
Q223126;Guerra do Chaco;labels
Q215112;Segunda Guerra dos Bôeres;p17
Q233649;Segunda Guerra Margrave;p17
Q208261;Revolta Jónica;p17
Q233657;Segunda Guerra de Matabele;labels
Q220602;Guerra Soviético-Japonesa;p17
Q214456;Guerra Filipino-Americana;p17
Q233583;Guerra Indo-Paquistanesa de 1965;p17
Q208694;Guerra sino-indiana;labels
Q1305130;Guerra de São Sabas;p17
Q1367977;Esopus Wars;labels
Q1366196;Guerra Gótica;p17
Q1362209;Primeira Guerra Anglo-Maratha;p17
Q1348630;Guerras Ridda;p17
Q1362205;First Olynthian War;p17
Q1382989;Rogue River Wars;p17
Q1262084;Guerra Civil do Djibouti;p17
Q1377132;Kieft's War;p17
Q1362162;First Carnatic War;p17
Q1367731;Saudi–Yemeni War;p17
Q1249250;First Sacred War;p17
Q1361929;confronto Indonésia-Malásia;p17
Q1361354;Guerra dos Nove Anos;p17
Q1269777;Guerra Dano-Sueca de 1808–1809;p17
Q1337911;Siamese-Cambodian War of 1622;p17
Q1259237;Terceira Guerra Anglo-Afegã;p17
Q1369423;Guerra de Toledo;p17
Q1209946;Terceira Guerra Anglo-Birmanesa;labels
Q1352401;Bombardeio de Kagoshima;labels
Q1230787;Primeira Guerra Celtibera;p17
Q1373706;Ayutthayan–Cambodian War;p17
Q1271059;Guerra de Shifta;p17
Q1361199;Conquest of the Khanate of Sibir;labels
Q1349425;Guerra Luso-Espanhola;p17
Q1355145;Italian War of 1494–1495;p17
