iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths;country_label_en;conflict_label_en;kind_label_en;part_of_label_en;place_label_en;result_label_en
JPN;Q17;Japão;Q116813184;Convoy 5101;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5101;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813185;Convoy 5113;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5113;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813190;Convoy 5223/5233;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5223/5233;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813191;Convoy 5231;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5231;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813188;Convoy 5202;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5202;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813189;Convoy 5203;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5203;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813192;Convoy 5282;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5282;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813250;Saipan to Truk Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Saipan to Truk Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813251;Saipan to Truk Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Saipan to Truk Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813254;Truk to Balikpapan convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Balikpapan convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813255;Truk to Balikpapan convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Balikpapan convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813252;Saipan to Truk Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Saipan to Truk Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813253;Saipan to Truk Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Saipan to Truk Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813258;Truk to Surabaya convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Surabaya convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813259;Truk to Singapore convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Singapore convoy;military convoy;World War II;Pacific Ocean;
