iso3,country,indicator,indicator_name,year,value
BFA,Burkina Faso,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,590000000.0
PYF,French Polynesia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,581560094.176844
NER,Niger,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,567472152.801391
GRC,Greece,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,561447512.229397
RWA,Rwanda,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,537455322.265625
PAN,Panama,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,531591166.76
GMB,"Gambia, The",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,528765281.012022
MNG,Mongolia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,527686176.930018
EST,Estonia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,496264001.176001
ETH,Ethiopia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,490000000.0
LSO,Lesotho,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,475818824.072287
HKG,"Hong Kong SAR, China",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,462446994.526593
MKD,North Macedonia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,458150265.707038
FJI,Fiji,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,430173427.39565
MDG,Madagascar,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,385290310.633864
ZMB,Zambia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,334000000.0
CPV,Cabo Verde,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,333992294.9407
SAU,Saudi Arabia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,321870198.443354
SLE,Sierra Leone,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,321604651.567056
AFG,Afghanistan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,320000000.0
MUS,Mauritius,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,286874588.901737
COM,Comoros,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,282441619.873047
WSM,Samoa,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,282254313.310487
VEN,"Venezuela, RB",BX.TRF.PWKR.CD.DT,Remittances received (US$),2016,279000000.0
MOZ,Mozambique,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,266914841.670451
MWI,Malawi,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,264337125.032351
TON,Tonga,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,256868086.59404
LAO,Lao PDR,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,246586346.81512
ISL,Iceland,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,246075961.329831
KAZ,Kazakhstan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,240391763.09178
BEN,Benin,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,235644897.460938
TLS,Timor-Leste,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,219567997.253272
GNB,Guinea-Bissau,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,206107624.241305
TTO,Trinidad and Tobago,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,199168367.349241
BDI,Burundi,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,168632567.179173
SUR,Suriname,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,160306201.685614
FRO,Faroe Islands,BX.TRF.PWKR.CD.DT,Remittances received (US$),2011,158411749.981598
BLZ,Belize,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,154149602.655516
NAM,Namibia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,146055892.626453
VUT,Vanuatu,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,145000000.0
URY,Uruguay,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,136121983.605233
MAC,"Macao SAR, China",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,135638996.904345
BWA,Botswana,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,128298940.687971
CUW,Curacao,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,116150609.156638
BTN,Bhutan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,109604204.233408
CHL,Chile,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,100140399.599999
SLB,Solomon Islands,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,95178837.5252888
MRT,Mauritania,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,94540780.7871774
VCT,St. Vincent and the Grenadines,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,94443874.4444444
BRB,Barbados,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,85175892.5
GRD,Grenada,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,70237557.7777777
BHS,"Bahamas, The",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,65929000.0
LCA,St. Lucia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,64958539.2592592
DJI,Djibouti,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,55997202.1910131
AND,Andorra,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,52335881.1937913
AGO,Angola,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,51039356.3395039
SXM,Sint Maarten (Dutch part),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,48417966.2849162
COG,"Congo, Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,44000000.0
OMN,Oman,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,39011704.0964045
DMA,Dominica,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,38629993.3333333
ABW,Aruba,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,38127639.7705078
KNA,St. Kitts and Nevis,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,36437261.111111
MHL,Marshall Islands,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,34450053.0
SWZ,Eswatini,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,33346090.7113569
ATG,Antigua and Barbuda,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,26278875.5555555
FSM,"Micronesia, Fed. Sts.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,23338700.0
SMR,San Marino,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,21041053.3340256
KWT,Kuwait,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,20390349.9606808
GAB,Gabon,BX.TRF.PWKR.CD.DT,Remittances received (US$),2015,18458042.2530413
LBY,Libya,BX.TRF.PWKR.CD.DT,Remittances received (US$),2006,16000000.0
MLT,Malta,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,15404228.9496755
