iso3;year;immigrants;emigrants
COD;1995;1816963.0;505090.0
COD;2000;744387.0;794799.0
COD;2005;623009.0;1097069.0
COD;2010;589882.0;1242847.0
COD;2015;810018.0;1512153.0
COD;2020;952871.0;1916852.0
COD;2024;1085090.0;2097387.0
COG;1990;129391.0;64367.0
COG;1995;191635.0;88142.0
COG;2000;305880.0;118262.0
COG;2005;318724.0;160242.0
COG;2010;425173.0;169150.0
COG;2015;390142.0;201319.0
COG;2020;387606.0;220301.0
COG;2024;385589.0;231080.0
COK;1990;2587.0;17630.0
COK;1995;2686.0;16916.0
COK;2000;2785.0;19708.0
COK;2005;3277.0;20294.0
COK;2010;3769.0;20294.0
COK;2015;4168.0;20558.0
COK;2020;4579.0;20134.0
COK;2024;4937.0;20288.0
COL;1990;100672.0;1000769.0
COL;1995;109550.0;1181011.0
COL;2000;109863.0;1469973.0
COL;2005;110495.0;1823207.0
COL;2010;126424.0;2558298.0
COL;2015;145504.0;2720321.0
COL;2020;1932807.0;3165293.0
COL;2024;3063518.0;3652238.0
COM;1990;14079.0;32522.0
COM;1995;13939.0;48072.0
COM;2000;13799.0;73404.0
COM;2005;13209.0;97008.0
COM;2010;12618.0;111510.0
COM;2015;12555.0;188715.0
COM;2020;12496.0;260848.0
COM;2024;12449.0;367574.0
CPV;1990;8931.0;51800.0
CPV;1995;9979.0;63673.0
CPV;2000;11027.0;76121.0
CPV;2005;12700.0;92475.0
CPV;2010;14373.0;99281.0
CPV;2015;14924.0;116450.0
CPV;2020;15788.0;133491.0
CPV;2024;16515.0;146396.0
CRI;1990;417628.0;22922.0
CRI;1995;364287.0;22763.0
CRI;2000;310946.0;26493.0
CRI;2005;358398.0;30258.0
CRI;2010;405779.0;34241.0
CRI;2015;411697.0;39023.0
CRI;2020;520729.0;43504.0
CRI;2024;628404.0;50982.0
CUB;1990;34555.0;839585.0
CUB;1995;26187.0;917722.0
CUB;2000;18545.0;1032762.0
CUB;2005;11693.0;1093555.0
CUB;2010;7373.0;1337631.0
CUB;2015;4649.0;1519397.0
CUB;2020;3024.0;1721822.0
CUB;2024;2144.0;1879613.0
CUW;1990;43150.0;3029.0
CUW;1995;43150.0;3779.0
CUW;2000;43150.0;4701.0
CUW;2005;43150.0;4329.0
CUW;2010;34630.0;5354.0
CUW;2015;37611.0;5861.0
CUW;2020;57210.0;7666.0
CUW;2024;80020.0;10103.0
CYM;1990;9315.0;125.0
CYM;1995;12666.0;130.0
CYM;2000;19176.0;146.0
CYM;2005;20679.0;179.0
CYM;2010;24062.0;248.0
CYM;2015;26193.0;381.0
CYM;2020;29242.0;549.0
CYM;2024;31935.0;609.0
CYP;1990;43805.0;87065.0
CYP;1995;61941.0;74433.0
CYP;2000;80076.0;63149.0
CYP;2005;122849.0;65886.0
CYP;2010;188472.0;68736.0
CYP;2015;176693.0;70451.0
CYP;2020;190366.0;75728.0
CYP;2024;202062.0;80760.0
CZE;1990;442428.0;532885.0
CZE;1995;531039.0;585124.0
CZE;2000;639018.0;615436.0
CZE;2005;670689.0;650527.0
CZE;2010;692197.0;660378.0
CZE;2015;688047.0;624517.0
CZE;2020;680221.0;584341.0
CZE;2024;1025199.0;583214.0
DEU;1990;6960112.0;3870620.0
DEU;1995;9637208.0;4825017.0
DEU;2000;10397459.0;4107120.0
DEU;2005;11210590.0;4078804.0
DEU;2010;11665950.0;4260810.0
DEU;2015;12646813.0;4207460.0
DEU;2020;15021300.0;4204441.0
DEU;2024;16750084.0;4297233.0
DJI;1990;122221.0;1963.0
DJI;1995;99774.0;20005.0
DJI;2000;100507.0;3751.0
DJI;2005;92110.0;2421.0
DJI;2010;102307.0;2577.0
DJI;2015;112351.0;2537.0
DJI;2020;119738.0;2866.0
DJI;2024;125996.0;3576.0
DMA;1990;2519.0;18686.0
DMA;1995;3121.0;20457.0
DMA;2000;3723.0;22406.0
DMA;2005;4744.0;21077.0
DMA;2010;8110.0;20788.0
DMA;2015;8093.0;21079.0
DMA;2020;8284.0;20838.0
DMA;2024;8440.0;21384.0
DNK;1990;235918.0;124563.0
DNK;1995;298278.0;117007.0
DNK;2000;372128.0;113952.0
DNK;2005;423167.0;120534.0
DNK;2010;509751.0;124567.0
DNK;2015;616741.0;123297.0
DNK;2020;718856.0;120852.0
DNK;2024;847475.0;124665.0
DOM;1990;291151.0;462285.0
DOM;1995;323381.0;657381.0
DOM;2000;355611.0;845469.0
DOM;2005;375417.0;962450.0
DOM;2010;395479.0;1212240.0
DOM;2015;549289.0;1454378.0
DOM;2020;603794.0;1691232.0
DOM;2024;738667.0;1917153.0
DZA;1990;273954.0;1458505.0
DZA;1995;262032.0;1424971.0
DZA;2000;250110.0;1427791.0
DZA;2005;197728.0;1554741.0
DZA;2010;217268.0;1604582.0
DZA;2015;239473.0;1662433.0
DZA;2020;250378.0;1732822.0
DZA;2024;259458.0;1780399.0
ECU;1990;139204.0;209258.0
