iso3;country;item;url_slug;ranking;score;critics;source
DNK;Dinamarca;Beer;beer;;;;tasteatlas_html
ESP;Espanha;Beer;beer;;;;tasteatlas_html
EST;Estónia;Beer;beer;;;;tasteatlas_html
FIN;Finlândia;Beer;beer;;;;tasteatlas_html
FRA;França;Beer;beer;;;;tasteatlas_html
GBR;Reino Unido;Beer;beer;;;;tasteatlas_html
GEO;Geórgia;Beer;beer;;;;tasteatlas_html
GRC;Grécia;Beer;beer;;;;tasteatlas_html
IDN;Indonésia;Beer;beer;;;;tasteatlas_html
IND;Índia;Beer;beer;;;;tasteatlas_html
IRL;República da Irlanda;Beer;beer;;;;tasteatlas_html
ISL;Islândia;Beer;beer;;;;tasteatlas_html
ITA;Itália;Beer;beer;;;;tasteatlas_html
JPN;Japão;Beer;beer;;;;tasteatlas_html
KEN;Quénia;Beer;beer;;;;tasteatlas_html
KOR;Coreia do Sul;Beer;beer;;;;tasteatlas_html
MAF;São Martinho;Beer;beer;;;;tasteatlas_html
MEX;México;Beer;beer;;;;tasteatlas_html
MMR;Mianmar (Birmânia);Beer;beer;;;;tasteatlas_html
NOR;Noruega;Beer;beer;;;;tasteatlas_html
NZL;Nova Zelândia;Beer;beer;;;;tasteatlas_html
PER;Peru;Beer;beer;;;;tasteatlas_html
PNG;Papua-Nova Guiné;Beer;beer;;;;tasteatlas_html
PRT;Portugal;Beer;beer;;;;tasteatlas_html
ROU;Roménia;Beer;beer;;;;tasteatlas_html
RUS;Rússia;Beer;beer;;;;tasteatlas_html
SWE;Suécia;Beer;beer;;;;tasteatlas_html
TWN;Taiwan;Beer;beer;;;;tasteatlas_html
UKR;Ucrânia;Beer;beer;;;;tasteatlas_html
URY;Uruguai;Beer;beer;;;;tasteatlas_html
USA;Estados Unidos;Beer;beer;;;;tasteatlas_html
VNM;Vietname;Beer;beer;;;;tasteatlas_html
ZAF;África do Sul;Beer;beer;;;;tasteatlas_html
BIH;Bósnia e Herzegovina;Begova čorba;begova-corba;;3;3;tasteatlas_html
CHN;China;Beijing kao ya;peking-duck;;;;tasteatlas_html
SRB;Sérvia;Belolučene paprike;belolucene-paprike;;;;tasteatlas_html
JPN;Japão;Bento;bento;;;;tasteatlas_html
NOR;Noruega;Bergensk fiskesuppe;bergensk-fiskesuppe;;2;2;tasteatlas_html
BMU;Bermudas;Bermuda fish chowder;bermuda-fish-chowder;3;5;5;tasteatlas_html
IRN;Irão;Beryani;beryani;;;;tasteatlas_html
KAZ;Cazaquistão;Beshbarmak;beshbarmak;;;;tasteatlas_html
IDN;Indonésia;Betutu;betutu;;;;tasteatlas_html
CAN;Canadá;Beverage;beverages;;;;tasteatlas_html
IND;Índia;Bhakri;bhakri;;2;2;tasteatlas_html
BGD;Bangladesh;Bhorta;bhorta;;1;1;tasteatlas_html
KOR;Coreia do Sul;Bibim guksu;bibim-guksu;1;9;9;tasteatlas_html
KOR;Coreia do Sul;Bibimbap;bibimbap;;;;tasteatlas_html
GRC;Grécia;Biftekia;biftekia;;;;tasteatlas_html
MLT;Malta;Bigilla;bigilla;;;;tasteatlas_html
ITA;Itália;Bigoli con l'anatra;bigoli-con-lanatra;;2;2;tasteatlas_html
ZAF;África do Sul;Biltong;biltong;;3;3;tasteatlas_html
KOR;Coreia do Sul;Bindaetteok;bindaetteok;;;;tasteatlas_html
IND;Índia;Biryani;biryani;;;;tasteatlas_html
ARG;Argentina;Biscuit;biscuits;;;;tasteatlas_html
AUS;Austrália;Biscuit;biscuits;;;;tasteatlas_html
BRA;Brasil;Biscuit;biscuits;;;;tasteatlas_html
CAN;Canadá;Biscuit;biscuits;;;;tasteatlas_html
ECU;Equador;Biscuit;biscuits;;;;tasteatlas_html
ESP;Espanha;Biscuit;biscuits;;;;tasteatlas_html
GBR;Reino Unido;Biscuit;biscuits;;;;tasteatlas_html
ITA;Itália;Biscuit;biscuits;;;;tasteatlas_html
JPN;Japão;Biscuit;biscuits;;;;tasteatlas_html
PER;Peru;Biscuit;biscuits;;;;tasteatlas_html
PRY;Paraguai;Biscuit;biscuits;;;;tasteatlas_html
URY;Uruguai;Biscuit;biscuits;;;;tasteatlas_html
