iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year
COG;Q971;Q150;francês;national;;;
COK;Q26988;Q1860;inglês;national;;;
COK;Q26988;Q36745;Maori das Ilhas Cook;national;;;
COL;Q739;Q1321;espanhol;national;;;
COM;Q970;Q150;francês;national;;;
COM;Q970;Q13955;árabe;national;;;
COM;Q970;Q33077;Língua comoriana;national;;;
CPV;Q1011;Q5146;português;national;;;
CPV;Q1011;Q35963;crioulo cabo-verdiano;national;;;
CRI;Q800;Q1321;espanhol;national;;;
CUB;Q241;Q1321;espanhol;national;;;
CUW;Q25279;Q1860;inglês;national;;;
CUW;Q25279;Q33856;Papiamento;national;;;
CUW;Q25279;Q7411;neerlandês;national;;;
CXR;Q31063;Q1860;inglês;national;;;
CYM;Q5785;Q1860;inglês;national;;;
CYP;Q229;Q9129;grego;national;;;
CYP;Q229;Q256;língua turca;national;;;
CYP;Q229;Q36510;grego moderno;national;;;
CZE;Q213;Q9056;checo;national;;;
DEU;Q183;Q188;alemão;national;;;
DJI;Q977;Q150;francês;national;;;
DJI;Q977;Q13955;árabe;national;;;
DMA;Q784;Q1860;inglês;national;;;
DNK;Q35;Q9035;dinamarquês;national;;;
DOM;Q786;Q1321;espanhol;national;;;
DZA;Q262;Q61053330;Standard Algerian Berber;national;;2002;
DZA;Q262;Q13955;árabe;national;;;
ECU;Q736;Q1321;espanhol;national;;;
ECU;Q736;Q1740805;Língua quichua;national;;;
ECU;Q736;Q617291;Língua shuar;national;;;
EGY;Q79;Q13955;árabe;national;;;
ERI;Q986;Q1860;inglês;national;;;
ERI;Q986;Q13955;árabe;national;;;
ERI;Q986;Q34124;Língua tigrínia;national;;;
ESP;Q29;Q1321;espanhol;national;;;
ESP;Q29;Q14185;língua occitana;regional;Catalunha;;
ESP;Q29;Q7026;língua catalã;regional;Catalunha;;
ESP;Q29;Q7026;língua catalã;regional;Comunidade Valenciana;;
ESP;Q29;Q7026;língua catalã;regional;Ilhas Baleares;;
ESP;Q29;Q9307;galego;regional;Galiza;;
ESP;Q29;Q8752;basco;regional;Comunidade Autónoma do País Basco;;
ESP;Q29;Q8752;basco;regional;zona bascófona de Navarra;;
EST;Q191;Q9072;estónio;national;;;
ETH;Q115;Q28244;Língua amárica;national;;;
FIN;Q33;Q9027;língua sueca;national;;;
FIN;Q33;Q1412;finlandês;national;;;
FJI;Q712;Q33295;Língua fidjiana;national;;;
FJI;Q712;Q46728;Hindi fijiano;national;;;
FJI;Q712;Q1860;inglês;national;;;
FLK;Q9648;Q1860;inglês;national;;;
FRA;Q142;Q150;francês;national;;1992;
FRO;Q4628;Q25258;Língua feroesa;national;;;
FRO;Q4628;Q9035;dinamarquês;national;;;
FSM;Q702;Q1860;inglês;national;;;
GAB;Q1000;Q150;francês;national;;;
GBR;Q145;Q9309;galês;regional;País de Gales;;
GBR;Q145;Q9142;irlandês;national;;;
GBR;Q145;Q201966;scots de Ulster;national;;;
GBR;Q145;Q33000;língua de sinais britânica;national;;;
GBR;Q145;Q25289;córnico;national;;;
GBR;Q145;Q9314;Língua gaélica escocesa;national;;;
GBR;Q145;Q1860;inglês;national;;;
GBR;Q145;Q14549;Scots;national;;;
GEO;Q230;Q8108;língua georgiana;national;;;
GEO;Q230;Q5111;Língua abecásia;national;;;
GGY;Q25230;Q1860;inglês;national;;;
GGY;Q25230;Q150;francês;national;;;1948
GHA;Q117;Q1860;inglês;national;;;
GIB;Q1410;Q1860;inglês;national;;;
GIN;Q1006;Q150;francês;national;;;
GIN;Q1006;Q1339026;languages of Guinea;national;;;
GMB;Q1005;Q1860;inglês;national;;;
GNB;Q1007;Q5146;português;national;;;
GNQ;Q983;Q1321;espanhol;national;;;
GNQ;Q983;Q150;francês;national;;1997;
GNQ;Q983;Q5146;português;national;;;
GRC;Q41;Q36510;grego moderno;national;;;
GRC;Q41;Q9129;grego;national;;;
GRC;Q41;Q35392;Grego demótico;national;;;
GRD;Q769;Q1860;inglês;national;;;
GRD;Q769;Q4252500;Crioulo inglês de Granada;national;;;
GRL;Q223;Q25355;gronelandês;national;;;
GTM;Q774;Q1321;espanhol;national;;;
GUF;Q3769;Q150;francês;national;;;
GUF;Q3769;Q1363072;Crioulo da Guiana Francesa;national;;;
GUM;Q16635;Q1860;inglês;national;;;
GUM;Q16635;Q33262;Língua chamorro;national;;;
GUY;Q734;Q1860;inglês;national;;;
HKG;Q8646;Q727694;mandarim padrão;national;;;
HKG;Q8646;Q1860;inglês;national;;;
HKG;Q8646;Q3110592;chinês escrito;national;;;
HKG;Q8646;Q7850;língua chinesa;national;;;
HKG;Q8646;Q9186;Cantonês;regional;língua falada;;
HMD;Q131198;Q1860;inglês;national;;;
HND;Q783;Q1321;espanhol;national;;;
HRV;Q224;Q6654;croata;national;;;
HTI;Q790;Q33491;crioulo haitiano;national;;;
HTI;Q790;Q150;francês;national;;;
HUN;Q28;Q9067;húngaro;national;;1844;
IDN;Q252;Q9240;língua indonésia;national;;;
IMN;Q9676;Q12175;Língua manesa;national;;;
IMN;Q9676;Q1860;inglês;national;;;
IND;Q668;Q1568;língua hindi;national;;;
IND;Q668;Q1860;inglês;national;;;
IOT;Q43448;Q1860;inglês;national;;;
IRL;Q27;Q9142;irlandês;national;;;
IRL;Q27;Q1860;inglês;national;;;
IRN;Q794;Q9168;persa;national;;;
IRQ;Q796;Q36368;língua curda;national;;;
IRQ;Q796;Q13955;árabe;national;;;
ISL;Q189;Q294;islandês;national;;;
ISR;Q801;Q9288;hebraico;national;;1948;
ISR;Q801;Q13955;árabe;national;;1948;2018
ITA;Q38;Q652;italiano;national;;;
JAM;Q766;Q1860;inglês;national;;;
JAM;Q766;Q35939;patoá jamaicano;national;;;
JEY;Q785;Q2047043;Jersey Legal French;national;;;
JEY;Q785;Q1860;inglês;national;;;
JEY;Q785;Q56430;Jèrriais;national;;;
JOR;Q810;Q13955;árabe;national;;;
JPN;Q17;Q5287;japonês;national;;;
KAZ;Q232;Q7737;russo;national;;;
KAZ;Q232;Q9252;língua cazaque;national;;;
KEN;Q114;Q1860;inglês;national;;;
KEN;Q114;Q7838;Língua suaíli;national;;;
KGZ;Q813;Q7737;russo;national;;;
KGZ;Q813;Q9255;quirguiz;national;;;
KHM;Q424;Q9205;Língua khmer;national;;;
KIR;Q710;Q1860;inglês;national;;;
KIR;Q710;Q30898;Gilbertês;national;;;
KNA;Q763;Q1860;inglês;national;;;
KOR;Q884;Q9176;coreano;national;;;
KOR;Q884;Q3073428;língua de sinais coreana;national;;;
KWT;Q817;Q13955;árabe;national;;;
LAO;Q819;Q9211;Língua laociana;national;;;
LBN;Q822;Q13955;árabe;national;;;
LBN;Q822;Q150;francês;national;;1926;http
LBR;Q1014;Q1860;inglês;national;;;
LBY;Q1016;Q56467;árabe moderno padrão;national;;;
LBY;Q1016;Q13955;árabe;national;;;
LCA;Q760;Q1860;inglês;national;;;
LIE;Q347;Q188;alemão;national;;;
LKA;Q854;Q13267;cingalês;national;;;
LKA;Q854;Q5885;Língua tâmil;national;;;
LSO;Q1013;Q1860;inglês;national;;;
LSO;Q1013;Q34340;língua soto do sul;national;;;
LTU;Q37;Q9083;língua lituana;national;;;
LUX;Q32;Q9051;língua luxemburguesa;national;;;
LUX;Q32;Q150;francês;national;;;
LUX;Q32;Q188;alemão;national;;;
LVA;Q211;Q9078;língua letã;national;;;
MAC;Q14773;Q5146;português;national;;;
MAC;Q14773;Q727694;mandarim padrão;national;;;
MAC;Q14773;Q9186;Cantonês;national;;;
MAF;Q126125;Q150;francês;national;;;
MAR;Q1028;Q7598268;Standard Moroccan Amazigh;national;;;
MAR;Q1028;Q13955;árabe;national;;;
MCO;Q235;Q150;francês;national;;;
MDA;Q217;Q7913;língua romena;national;;1991;
MDA;Q217;Q36392;língua moldávia;national;;1994;2023
MDA;Q217;Q36392;língua moldávia;national;;1940;1989
MDG;Q1019;Q150;francês;national;;;
MDG;Q1019;Q7930;Língua malgaxe;national;;;
MDV;Q826;Q32656;Língua divehi;national;;;
MEX;Q96;Q13354;Iucateque;national;;;
MEX;Q96;Q13300;nauatle;national;;;
MEX;Q96;Q1321;espanhol;national;;;
MHL;Q709;Q36280;Língua marshalesa;national;;;
MHL;Q709;Q1860;inglês;national;;;
MKD;Q221;Q8748;língua albanesa;national;;;
MKD;Q221;Q9296;língua macedônia;national;;;
MLI;Q912;Q36186;Línguas maninkas;national;;;
MLI;Q912;Q1234776;Dogon;national;;;
MLI;Q912;Q33795;Senufo;national;;;
MLI;Q912;Q36905;Kassonke;national;;;
MLI;Q912;Q56231;Árabe hassani;national;;;
MLI;Q912;Q33243;Língua bambara;national;;;
MLI;Q912;Q33454;Língua fula;national;;;
MLI;Q912;Q4670066;Tamasheq;national;;;
MLI;Q912;Q12628055;Bobo;national;;;
MLI;Q912;Q36660;Língua soninquê;national;;;
MLI;Q912;Q36187;Minyanka;national;;;
MLI;Q912;Q505198;Línguas songai;national;;;
MLI;Q912;Q35021;Bozo;national;;;
MLT;Q233;Q1860;inglês;national;;;
MLT;Q233;Q9166;Maltês;national;;;
MMR;Q836;Q9228;birmanês;national;;;
MNE;Q236;Q9299;língua sérvia;national;;;
MNE;Q236;Q6654;croata;national;;;
MNE;Q236;Q9303;Língua bósnia;national;;;
MNE;Q236;Q8821;língua montenegrina;national;;;
MNE;Q236;Q8748;língua albanesa;national;;;
MNG;Q711;Q9246;Língua mongol;national;;;
MNP;Q16644;Q1860;inglês;national;;;
MNP;Q16644;Q33262;Língua chamorro;national;;;
MNP;Q16644;Q28427;Língua caroliniana;national;;;
MOZ;Q1029;Q5146;português;national;;;
MRT;Q1025;Q13955;árabe;national;;;
MSR;Q13353;Q1860;inglês;national;;;
MUS;Q1027;Q1860;inglês;national;;;
MUS;Q1027;Q150;francês;national;;;
MWI;Q1020;Q1860;inglês;national;;;
MWI;Q1020;Q33273;língua nianja;national;;;
MWI;Q1020;Q34138;Língua tumbuka;national;;;
MYS;Q833;Q9237;malaio;national;;;
MYT;Q17063;Q150;francês;national;;;
MYT;Q17063;Q34075;shimaore;national;;;
MYT;Q17063;Q5150795;Língua bushi;national;;;
NAM;Q1030;Q1860;inglês;national;;;
NCL;Q33788;Q150;francês;national;;;
NER;Q1032;Q56475;Língua haúça;national;;;
NFK;Q31057;Q1860;inglês;national;;;
NFK;Q31057;Q33797;norfuk;national;;;
NGA;Q1033;Q1860;inglês;national;;;
NIC;Q811;Q1321;espanhol;national;;;
NIU;Q34020;Q1860;inglês;national;;;
NIU;Q34020;Q33790;Língua niueana;national;;;
NLD;Q29999;Q7411;neerlandês;national;;;
NOR;Q20;Q25164;novo norueguês;national;;;
NOR;Q20;Q56463;línguas sami;national;;;
NOR;Q20;Q9043;língua norueguesa;national;;;
NOR;Q20;Q25167;bokmål;national;;;
NPL;Q837;Q33823;língua nepali;national;;;
NRU;Q697;Q13307;Língua nauruana;national;;;
NRU;Q697;Q1860;inglês;national;;;
NZL;Q664;Q1860;inglês;national;;;
NZL;Q664;Q36451;língua maori;national;;1987;
NZL;Q664;Q36239;língua de sinais da Nova Zelândia;national;;2006;
OMN;Q842;Q13955;árabe;national;;;
PAK;Q843;Q1617;Língua urdu;national;;;
PAK;Q843;Q1860;inglês;national;;;
PAN;Q804;Q1321;espanhol;national;;;
PCN;Q35672;Q1860;inglês;national;;;
PCN;Q35672;Q36554;pitcairnes;national;;;
PER;Q419;Q1321;espanhol;national;;;
PER;Q419;Q4627;Língua aymará;national;;;
PER;Q419;Q5218;quíchua;national;;;
PHL;Q928;Q2530387;Taglish;national;;;
PHL;Q928;Q1860;inglês;national;;;
PHL;Q928;Q33298;filipino;national;;;
PLW;Q695;Q1860;inglês;national;;;
PLW;Q695;Q5287;japonês;regional;Angaur;;
PLW;Q695;Q33776;palauense;national;;;
PNG;Q691;Q33617;Língua hiri motu;national;;;
PNG;Q691;Q25044405;Língua de sinais da Papua-Nova Guiné;national;;;
PNG;Q691;Q34159;Tok Pisin;national;;;
PNG;Q691;Q1860;inglês;national;;;
POL;Q36;Q809;polaco;national;;;
POL;Q36;Q30319;silesiano;national;;;
POL;Q36;Q33690;cassúbio;national;;;
POL;Q36;Q9091;Língua bielorrussa;national;;;
PRI;Q1183;Q1860;inglês;national;;;
PRI;Q1183;Q1321;espanhol;national;;;
PRK;Q423;Q9176;coreano;national;;;
PRK;Q423;Q18784;Munhwaŏ;national;;;
PRT;Q45;Q13330;mirandês;national;;1999;
PRT;Q45;Q5146;português;national;;;
PRY;Q733;Q1321;espanhol;national;;;
PRY;Q733;Q35876;língua guarani;national;;;
PSE;Q219060;Q13955;árabe;national;;;
PYF;Q30971;Q150;francês;national;;;
QAT;Q846;Q13955;árabe;national;;;
REU;Q17070;Q150;francês;national;;;
ROU;Q218;Q7913;língua romena;national;;;
RUS;Q159;Q33357;tártaro da Crimeia;regional;República da Crimeia;;
RUS;Q159;Q36498;Língua agul;regional;Daguestão;;
RUS;Q159;Q31746;Língua lezgui;regional;Daguestão;;
RUS;Q159;Q1991779;Southern Altai;regional;Altai;;
RUS;Q159;Q7737;russo;national;;;
RUS;Q159;Q973685;língua mari;regional;Mari El;;
RUS;Q159;Q36206;Língua lak;regional;Daguestão;;
RUS;Q159;Q33522;Língua cabardiana;regional;Cabárdia-Balcária;;
RUS;Q159;Q33522;Língua cabardiana;regional;Carachai-Circássia;;
RUS;Q159;Q33871;Língua nogai;regional;Daguestão;;
RUS;Q159;Q33968;Língua osseta;regional;Ossétia do Norte-Alânia;;
RUS;Q159;Q33575;Língua khakas;regional;Cacássia;;
RUS;Q159;Q29561;Língua ávara;regional;Daguestão;;
RUS;Q159;Q34299;Língua iacuta;regional;Sakha;;
RUS;Q159;Q34119;Língua tuviniana;regional;Tuva;;
RUS;Q159;Q33120;Língua buriata;regional;Buriácia;;
RUS;Q159;Q25285;tártaro;regional;Tartaristão;;
RUS;Q159;Q36853;Língua tsakhur;regional;Daguestão;;
RUS;Q159;Q33509;língua inguche;regional;Inguchétia;;
RUS;Q159;Q33350;checheno;regional;Daguestão;;
RUS;Q159;Q33350;checheno;regional;Chechénia;;
RUS;Q159;Q32332;Língua dargínica;regional;Daguestão;;
RUS;Q159;Q33634;calmuco;regional;Calmúquia;;
RUS;Q159;Q33348;tchuvache;regional;Chuváchia;;
RUS;Q159;Q33871;Língua nogai;regional;Carachai-Circássia;;
RUS;Q159;Q56489;Língua tat;regional;Daguestão;;
RUS;Q159;Q13343;moksha;regional;Mordóvia;;
RUS;Q159;Q13389;Língua bashkir;regional;Bascortostão;;
RUS;Q159;Q27776;língua adigue;regional;Adiguésia;;
RUS;Q159;Q34079;Língua tabassarã;regional;Daguestão;;
RUS;Q159;Q36757;Língua rutul;regional;Daguestão;;
RUS;Q159;Q8798;ucraniano;regional;República da Crimeia;;
RUS;Q159;Q36209;Língua kumyk;regional;Daguestão;;
RUS;Q159;Q9292;Língua azeri;regional;Daguestão;;
RUS;Q159;Q29952;Língua erzya;regional;Mordóvia;;
RUS;Q159;Q36126;língua komi;regional;República de Komi;;
RUS;Q159;Q13238;Língua udmurte;regional;Udmúrtia;;
RUS;Q159;Q27567;Língua abaza;regional;Carachai-Circássia;;
RUS;Q159;Q33714;Língua carachaio-bálcara;regional;Cabárdia-Balcária;;
RUS;Q159;Q33714;Língua carachaio-bálcara;regional;Carachai-Circássia;;
RWA;Q1037;Q150;francês;national;;;
RWA;Q1037;Q7838;Língua suaíli;national;;;
RWA;Q1037;Q1860;inglês;national;;;
RWA;Q1037;Q33573;Língua kinyarwanda;national;;;
SAU;Q851;Q13955;árabe;national;;;
SDN;Q1049;Q1860;inglês;national;;;
SDN;Q1049;Q13955;árabe;national;;;
SEN;Q1041;Q35095;Badyara;national;;;
SEN;Q1041;Q35006;Língua balanta;national;;;
SEN;Q1041;Q34257;Língua uolofe;national;;;
SEN;Q1041;Q150;francês;national;;;
SGP;Q334;Q727694;mandarim padrão;national;;1965;
SGP;Q334;Q5885;Língua tâmil;national;;1965;
SGP;Q334;Q1860;inglês;national;;1965;
SGP;Q334;Q9237;malaio;national;;1965;
SGS;Q35086;Q1860;inglês;national;;;
SHN;Q192184;Q1860;inglês;national;;;
SJM;Q842829;Q9043;língua norueguesa;national;;;
SLB;Q685;Q1860;inglês;national;;;
SLE;Q1044;Q1860;inglês;national;;;
SLE;Q1044;Q35744;Língua krio;national;;;
SLV;Q792;Q1321;espanhol;national;;;
SMR;Q238;Q652;italiano;national;;;
SOM;Q1045;Q13955;árabe;national;;;
SOM;Q1045;Q13275;Língua somali;national;;;
SPM;Q34617;Q150;francês;national;;;
SRB;Q403;Q9299;língua sérvia;national;;;
SSD;Q958;Q1860;inglês;national;;;
STP;Q1039;Q5146;português;national;;;
SUR;Q730;Q7411;neerlandês;national;;;
SVK;Q214;Q9058;eslovaco;national;;;
SVN;Q215;Q652;italiano;regional;Italians in Slovenia;;
SVN;Q215;Q9063;língua eslovena;national;;;
SVN;Q215;Q9067;húngaro;regional;Q126208659;;
SWE;Q34;Q9027;língua sueca;national;;2009;
SWE;Q34;Q8641;língua iídiche;national;;;
SWE;Q34;Q13201;Romani;national;;;
SWE;Q34;Q1412;finlandês;national;;;
SWE;Q34;Q56463;línguas sami;national;;;
SWE;Q34;Q13357;Língua meänkieli;national;;;
SWZ;Q1050;Q1860;inglês;national;;;
SWZ;Q1050;Q34014;língua suázi;national;;;
SXM;Q26273;Q1860;inglês;national;;;
SXM;Q26273;Q7411;neerlandês;national;;;
SYC;Q1042;Q150;francês;national;;;
SYC;Q1042;Q34015;Crioulo de Seychelles;national;;;
SYC;Q1042;Q1860;inglês;national;;;
SYR;Q858;Q13955;árabe;national;;;
TCA;Q18221;Q1860;inglês;national;;;
TCD;Q657;Q150;francês;national;;;
TCD;Q657;Q13955;árabe;national;;;
TGO;Q945;Q150;francês;national;;;
THA;Q869;Q9217;tailandês;national;;;
TJK;Q863;Q9260;Língua tadjique;national;;;
TJK;Q863;Q7737;russo;national;;;
TKL;Q36823;Q34097;língua toquelauana;national;;;
TKL;Q36823;Q1860;inglês;national;;;
TKM;Q874;Q9267;Língua turcomena;national;;;
TLS;Q574;Q5146;português;national;;;
TLS;Q574;Q34125;língua tétum;national;;;
TON;Q678;Q34094;Língua tonganesa;national;;;
TON;Q678;Q1860;inglês;national;;;
TTO;Q754;Q1860;inglês;national;;;
TUN;Q948;Q13955;árabe;national;;;
TUR;Q43;Q256;língua turca;national;;;
TUV;Q672;Q1860;inglês;national;;;
TUV;Q672;Q34055;língua tuvaluana;national;;;
TWN;Q865;Q35132;amis;national;;;
TWN;Q865;Q262828;mandarim taiwanês;national;;;
TWN;Q865;Q56278342;Kinmen dialect;national;;;
TWN;Q865;Q34019;língua de sinais de Taiwan;national;;;
TWN;Q865;Q716627;Língua kavalan;national;;;
TWN;Q865;Q11071864;Truku;national;;;
TWN;Q865;Q36778;Língua taiwanesa;national;;;
TWN;Q865;Q172244;língua kanakanavu;national;;;
TWN;Q865;Q19599280;Matsu dialect;national;;;
TWN;Q865;Q718269;Língua sakisaya;national;;;
TWN;Q865;Q61055662;O-ku-uā;national;;;
TWN;Q865;Q715755;Língua paiwan;national;;;
TWN;Q865;Q716599;Língua saaroa;national;;;
TWN;Q865;Q716690;Língua puyuma;national;;;
TWN;Q865;Q715766;Língua atayal;national;;;
TWN;Q865;Q716681;Língua tsou;national;;;
TWN;Q865;Q49232;Língua rukai;national;;;
TWN;Q865;Q715760;Língua yami;national;;;
TWN;Q865;Q716686;Língua seediq;national;;;
TWN;Q865;Q716695;Língua saisiyat;national;;;
TWN;Q865;Q2391532;Taiwanese Hakka;national;;;
TWN;Q865;Q56505;Língua bunun;national;;;
TZA;Q924;Q1860;inglês;national;;;
TZA;Q924;Q7838;Língua suaíli;national;;;
UGA;Q1036;Q7838;Língua suaíli;national;;;
UGA;Q1036;Q1860;inglês;national;;;
UKR;Q212;Q8798;ucraniano;national;;;
UMI;Q16645;Q1860;inglês;national;;;
URY;Q77;Q1321;espanhol;national;;;
USA;Q30;Q33569;havaiano;regional;Havaí;;
USA;Q30;Q1321;espanhol;regional;Porto Rico;;
USA;Q30;Q1860;inglês;national;;;
UZB;Q265;Q9264;língua uzbeque;national;;;
VAT;Q237;Q397;latim;national;;;
VAT;Q237;Q150;francês;national;;;
VAT;Q237;Q652;italiano;national;;;
VCT;Q757;Q1860;inglês;national;;;
VEN;Q717;Q3322064;Língua de Sinais Venezuelana;national;;;
VEN;Q717;Q1321;espanhol;national;;;
VGB;Q25305;Q1860;inglês;national;;;
VIR;Q11703;Q1860;inglês;national;;;
VNM;Q881;Q9199;vietnamita;national;;;
VUT;Q686;Q1860;inglês;national;;;
VUT;Q686;Q35452;Língua bislamá;national;;;
VUT;Q686;Q150;francês;national;;;
WLF;Q35555;Q150;francês;national;;;
WLF;Q35555;Q35334;Língua futunana;national;;;
WLF;Q35555;Q36979;Língua wallisiana;national;;;
WSM;Q683;Q34011;Língua samoana;national;;;
WSM;Q683;Q1860;inglês;national;;;
YEM;Q805;Q13955;árabe;national;;;
ZAF;Q258;Q32704;língua venda;national;;;
ZAF;Q258;Q13218;língua xhosa;national;;;
ZAF;Q258;Q34137;língua tswana;national;;;
ZAF;Q258;Q34340;língua soto do sul;national;;;
ZAF;Q258;Q36785;língua ndebele;national;;;
ZAF;Q258;Q34327;língua tsonga;national;;;
ZAF;Q258;Q10179;língua zulu;national;;;
ZAF;Q258;Q14196;língua africâner;national;;;
ZAF;Q258;Q33890;língua soto do norte;national;;;
ZAF;Q258;Q34014;língua suázi;national;;;
ZAF;Q258;Q3322093;Língua gestual sul-africana;national;;;
ZAF;Q258;Q1860;inglês;national;;;
ZMB;Q953;Q1860;inglês;national;;;
ZWE;Q954;Q33614;Línguas khoisan;national;;;
ZWE;Q954;Q13218;língua xhosa;national;;;
ZWE;Q954;Q8826802;Barwe;national;;;
ZWE;Q954;Q13311;Língua ndau;national;;;
ZWE;Q954;Q34101;Língua tonga;national;;;
ZWE;Q954;Q1860;inglês;national;;;
ZWE;Q954;Q34004;Língua chona;national;;;
ZWE;Q954;Q35613;língua ndebele do norte;national;;;
ZWE;Q954;Q34340;língua soto do sul;national;;;
ZWE;Q954;Q33273;língua nianja;national;;;
ZWE;Q954;Q34137;língua tswana;national;;;
ZWE;Q954;Q33672;Língua calanga;national;;;
