Iso3Start;Level;QID;Label;FormationYear;SourceFlag
CZE;1;Q1998866;República Federal Checa e Eslovaca;1990;seed_evidence
CZE;2;Q11177699;Czechoslovak Federative Republic;1990;seed_evidence
CZE;2;Q33946;Checoslováquia;1918;seed_evidence
SVK;0;Q214;Eslováquia;;seed
SVK;1;Q1998866;República Federal Checa e Eslovaca;1990;seed_evidence
SVK;2;Q11177699;Czechoslovak Federative Republic;1990;seed_evidence
SVK;2;Q33946;Checoslováquia;1918;seed_evidence
SVN;0;Q215;Eslovénia;;seed
SVN;1;Q83286;República Socialista Federativa da Jugoslávia;;seed_evidence
SVN;1;Q211092;República Socialista da Eslovénia;1945;seed_evidence
SVN;2;Q777147;Reino Albanês;1943;seed_evidence
SVN;2;Q1277557;Iugoslávia Federal Democrática;1945;seed_evidence
SVN;2;Q1290149;República Popular Federal da Iugoslávia;1945;seed_evidence
MDA;0;Q217;Moldávia;;seed
MDA;1;Q15180;União Soviética;1922;seed_evidence
MDA;2;Q2369784;Interwar Latvia;1918;seed_evidence
MDA;2;Q2305208;Rússia bolchevique;1917;seed_evidence
ROU;0;Q218;Roménia;;seed
ROU;1;Q842794;República Socialista da Romênia;1965;seed_evidence
ROU;1;Q958291;Principados Unidos;1859;seed_evidence
ROU;2;Q2685298;República Popular da Romênia;1947;seed_evidence
ROU;2;Q10957559;Principado da Moldávia;1346;seed_evidence
ROU;2;Q389004;Principado da Valáquia;1330;seed_evidence
BGR;0;Q219;Bulgária;;seed
BGR;1;Q121932;República Popular da Bulgária;1946;seed_evidence
BGR;2;Q147909;Czarado da Bulgária;1908;seed_evidence
MKD;0;Q221;Macedónia do Norte;;seed
MKD;1;Q83286;República Socialista Federativa da Jugoslávia;;seed_evidence
MKD;2;Q777147;Reino Albanês;1943;seed_evidence
MKD;2;Q1277557;Iugoslávia Federal Democrática;1945;seed_evidence
MKD;2;Q1290149;República Popular Federal da Iugoslávia;1945;seed_evidence
ALB;0;Q222;Albânia;;seed
ALB;1;Q467864;República Popular Socialista da Albânia;1946;seed_evidence
ALB;2;Q777147;Reino Albanês;1943;seed_evidence
ALB;2;Q19915237;People's Republic of Albania;1946;seed_evidence
GRL;0;Q223;Gronelândia;;seed
HRV;0;Q224;Croácia;;seed
HRV;1;Q83286;República Socialista Federativa da Jugoslávia;;seed_evidence
HRV;1;Q5330471;Eastern Slavonia, Baranja and Western Syrmia;1995;seed_evidence
HRV;2;Q777147;Reino Albanês;1943;seed_evidence
HRV;2;Q1277557;Iugoslávia Federal Democrática;1945;seed_evidence
HRV;2;Q1290149;República Popular Federal da Iugoslávia;1945;seed_evidence
HRV;2;Q211853;República Sérvia de Krajina;1991;seed_evidence
BIH;0;Q225;Bósnia e Herzegovina;;seed
BIH;1;Q1274468;República da Bósnia e Herzegovina;1992;seed_evidence
AZE;0;Q227;Azerbaijão;;seed
AZE;1;Q15180;União Soviética;1922;seed_evidence
AZE;1;Q131337;República Socialista Soviética Azeri;1920;seed_evidence
AZE;2;Q545205;República Socialista Federativa Soviética Transcaucasiana;1922;seed_evidence
AZE;2;Q2369784;Interwar Latvia;1918;seed_evidence
AZE;2;Q2305208;Rússia bolchevique;1917;seed_evidence
AZE;2;Q206411;República Democrática do Azerbaijão;1918;seed_evidence
AZE;2;Q545205;República Socialista Federativa Soviética Transcaucasiana;1922;seed_evidence
AND;0;Q228;Andorra;;seed
CYP;0;Q229;Chipre;;seed
CYP;1;Q15240466;Chipre britânico;1878;seed_evidence
GEO;0;Q230;Geórgia;;seed
GEO;1;Q154816;Tao-Klarjeti;888;seed_evidence
GEO;1;Q130229;República Socialista Soviética Geórgia;1921;seed_evidence
