cls_qid;cls_label;item_qid;item_label;iso3
Q3624078;sovereign state;Q2347656;Republic of Paulava;
Q3624078;sovereign state;Q2353425;Talossa;
Q3624078;sovereign state;Q2419932;Reino de Redonda;
Q3624078;sovereign state;Q2694497;Robland;
Q3624078;sovereign state;Q324812;Lundy;
Q3624078;sovereign state;Q292564;île d'Or;
Q3624078;sovereign state;Q2778233;Akhzivland;
Q3624078;sovereign state;Q539644;Operation Atlantis;
Q3624078;sovereign state;Q3202121;L'Anse-Saint-Jean;
Q3624078;sovereign state;Q3408505;Kingdom of Vikesland;
Q3624078;sovereign state;Q3408649;Other World Kingdom;
Q3624078;sovereign state;Q3456417;República de Saint-Malo;
Q3624078;sovereign state;Q3567337;Nutopia;
Q3624078;sovereign state;Q968430;Ladonia;
Q3624078;sovereign state;Q7012218;New Utopia;
Q3624078;sovereign state;Q3664234;Nation of Celestial Space;
Q3624078;sovereign state;Q454948;Free Republic of Schwarzenberg;
Q3624078;sovereign state;Q3743182;República Kalakuta;
Q3624078;sovereign state;Q3921981;Principality of Freedonia;
Q3624078;sovereign state;Q551375;Westarctica;
Q3624078;sovereign state;Q551798;Grand Duchy of Flandrensis;
Q3624078;sovereign state;Q551990;Wirtland;
Q3624078;sovereign state;Q587677;Republic of Minerva;
Q3624078;sovereign state;Q591309;Principado de Hutt River;
Q3624078;sovereign state;Q4822871;Austenasia;
Q3624078;sovereign state;Q4863018;Barony of Caux;
Q3624078;sovereign state;Q701337;Império do Vietnã;
Q3624078;sovereign state;Q5369713;Embassy of Heaven;
Q3624078;sovereign state;Q5503215;Frestonia;
Q3624078;sovereign state;Q5570212;Global Country of World Peace;
Q3624078;sovereign state;Q5594509;Grand Duchy of the Lagoan Isles;
Q3624078;sovereign state;Q71084;Primeiro Império Francês;
Q3624078;sovereign state;Q5639847;República Haiduque de Mijat Tomić;
Q3624078;sovereign state;Q5683653;HavenCo;
Q3624078;sovereign state;Q737089;Whangamōmona;
Q3624078;sovereign state;Q744042;Grand Duchy of Avram;
Q3624078;sovereign state;Q6017283;Independent State of Rainbow Creek;
Q3624078;sovereign state;Q6106052;Republic of La Boca;
Q3624078;sovereign state;Q6412675;Kingdom of Valtio;
Q3624078;sovereign state;Q6412678;Reino da Valáquia;
Q3624078;sovereign state;Q7380487;Reino do Ponto;
Q3624078;sovereign state;Q6532209;Republic of Zarechye;
Q3624078;sovereign state;Q6908713;Moosylvania;
Q3624078;sovereign state;Q840763;EnenKio;
Q3624078;sovereign state;Q7055162;North Dumpling Island;
Q3624078;sovereign state;Q7245111;Principality of Marlborough;
Q3624078;sovereign state;Q7245112;Principality of Outer Baldonia;
Q3624078;sovereign state;Q7252559;Province of Bumbunga;
Q3624078;sovereign state;Q861784;Sultanate of Mogadishu;
Q3624078;sovereign state;Q7314507;Republic of Peščenica;
Q3624078;sovereign state;Q7314504;Republic of Morac-Songhrati-Meads;
Q3624078;sovereign state;Q7382038;Império Romanov (micronação);
Q3624078;sovereign state;Q7571613;Aeterna Lucina;
Q3624078;sovereign state;Q7603795;State of Scott;
Q3624078;sovereign state;Q877579;Kugelmugel;
Q3624078;sovereign state;Q884213;Bunte Republik Neustadt;
Q3624078;sovereign state;Q7972610;Washitaw Nation;
Q3624078;sovereign state;Q93180;Império Selêucida;
Q3624078;sovereign state;Q910203;Seasteading;
Q3624078;sovereign state;Q923516;Império Tiwanaku-Wari;
Q3624078;sovereign state;Q945499;Užupis;
Q3624078;sovereign state;Q947153;Kingdom of Tavolara;
Q3624078;sovereign state;Q2145318;Republic of Whangamōmona;
Q3624078;sovereign state;Q2786301;EuroStaete;
Q3624078;sovereign state;Q17167;República Romana;
Q3624078;sovereign state;Q13706;Principado de Sealand;
Q3624078;sovereign state;Q123592914;Wiradjuri Central West Republic;
Q3624078;sovereign state;Q39;Suíça;CHE
Q3624078;sovereign state;Q86219516;Senatorial Republic of Timeria;
Q3624078;sovereign state;Q130337131;Tilandia Kingdom;
Q3624078;sovereign state;Q130340667;Estado Soberano da Ordem Bektashi;
Q3624078;sovereign state;Q11579614;Q11579614;
Q3624078;sovereign state;Q11597843;Q11597843;
Q3624078;sovereign state;Q11650081;Q11650081;
Q3624078;sovereign state;Q131682968;Snoravia;
Q3624078;sovereign state;Q12123447;Q12123447;
Q3624078;sovereign state;Q10651107;Republic of Åsen;
Q3624078;sovereign state;Q10684331;Svanamyran;
