QID;Iso3
Q267584;YEM
Q2685298;ROU
Q268970;ITA
Q26988;COK
Q27;IRL
Q27306;LUX
Q27561;BES
Q28;HUN
Q28172756;PAK
Q28179;KOR
Q28179;PRK
Q28179897;IND
Q2829270;VAT
Q2841472;PAK
Q28513;AUT
Q285658;MEX
Q2869051;IND
Q2871819;IND
Q2879034;IND
Q2884562;IND
Q28913445;IND
Q28913445;PAK
Q2895;BLR
Q29;ESP
Q2902467;IND
Q2963204;IND
Q2979717;HTI
Q298;CHL
Q2988765;IDN
Q2989469;PAK
Q2989491;PAK
Q2991433;ESP
Q30;USA
Q30059027;SLE
Q3016348;IND
Q3023340;CPV
Q3025690;IND
Q303836;POL
Q30623;CHN
Q30744169;CMR
Q3090194;MLI
Q30971;PYF
Q31;BEL
Q31057;NFK
Q31063;CXR
Q31747;IRL
Q3177715;IDN
Q3192661;IND
Q3195357;IND
Q319881;TWN
Q32;LUX
Q3200690;IND
Q3233989;IDN
Q3241025;IND
Q3243592;PAK
Q3246260;PAK
Q3246273;PAK
Q3249587;PAK
Q3258086;IND
Q3277580;IND
Q33;FIN
Q3315863;IND
Q33296;IND
Q333126;DJI
Q334;SGP
Q33788;NCL
Q33946;CZE
Q33946;SVK
Q3399982;ESP
Q34;SWE
Q34020;NIU
Q3403538;IDN
Q3446152;FRA
Q3454186;IND
Q3456382;ZAF
Q3456417;FRA
Q3456487;MLI
Q3456487;SEN
Q34617;SPM
Q347;LIE
Q3486676;TWN
Q3488924;IND
Q35;DNK
Q3503368;IND
Q3503548;IDN
Q3503555;IDN
Q35086;SGS
Q3530610;IND
Q3532158;IND
Q3535371;IND
Q35555;WLF
Q3559284;FRA
Q35672;PCN
Q3572054;ESP
Q3574782;TZA
Q3593530;TUV
Q36;POL
Q36004;CCK
Q36823;TKL
Q368986;USA
Q37;LTU
Q370173;EGY
Q37024;MNE
Q37024;SRB
Q37102;MAR
Q371334;MEX
Q372426;PAK
Q3769;GUF
Q38;ITA
Q389004;ROU
Q39;CHE
Q39074482;CIV
Q391189;TWN
Q3932042;BRA
Q3963975;IND
Q3968612;VAT
Q398;BHR
Q399;ARM
Q40;AUT
Q403;SRB
Q408;AUS
Q41;GRC
Q4118614;IDN
Q4120908;CHN
Q414;ARG
Q419;PER
Q4202331;THA
Q422065;IDN
Q423;PRK
Q424;KHM
Q43;TUR
Q430309;VNM
Q431731;TZA
Q4338046;TUR
Q43448;IOT
Q4393598;CPV
Q4393602;PNG
Q43982;BLM
Q45;PRT
Q4533605;RUS
Q4533605;UKR
Q45670;PRT
Q457242;MAR
Q4628;FRO
Q46370;FRA
Q467864;ALB
Q4726842;IND
Q4726858;IND
Q4837532;IND
Q4843701;LBY
Q484578;UZB
Q4857117;IND
Q4899891;TUN
Q4969562;IDN
Q497777;ESP
Q4997536;IND
Q503623;GHA
Q5062192;MEX
Q508014;MLI
Q509572;IND
Q51;ATA
Q5105376;IND
Q5148320;FJI
Q5148518;NZL
Q5154037;VAT
Q520403;IND
Q523435;IDN
Q5269129;IND
Q5291089;FJI
Q5301066;IND
Q5317276;IDN
Q532048;IND
Q5330471;HRV
Q536476;BEN
Q536476;BFA
Q536476;CIV
Q536476;GIN
Q536476;MLI
Q536476;MRT
Q536476;NER
Q536476;SEN
Q538677;FRA
Q541455;SDN
Q5431953;SGS
Q5440850;NGA
Q544630;LBR
Q545205;ARM
Q545205;AZE
Q545205;GEO
Q545205;RUS
Q548114;ITA
Q55;NLD
Q5501842;ATF
Q5501842;COM
Q5501842;MDG
Q5555325;GHA
Q5589708;MYS
Q5622720;GUY
Q568712;CIV
Q568712;GIN
Q568712;MLI
Q56885910;SAU
Q5689;ALA
Q574;TLS
Q575187;PSE
Q5785;CYM
Q5788450;MEX
Q580188;YEM
Q58053082;BFA
Q5915498;IND
Q60023785;CMR
Q6006584;ITA
Q6037274;COL
Q6037274;CRI
Q6037274;HND
Q6037274;NIC
Q6037274;PAN
Q60770428;PRK
Q6124144;IND
Q61291;UZB
Q61292;RUS
Q6156427;IND
Q615902;FIN
Q6164350;IND
Q617078;MOZ
Q61996551;VGB
Q6206774;IND
Q6207845;IND
Q6250;ESH
Q62567;ISL
Q62633;FIN
Q63021609;FRA
Q63158027;IRN
Q6368814;IND
Q6392538;KEN
Q63973349;BRB
Q63973349;TTO
Q6401617;IND
Q6416549;IND
Q642037;IND
Q6427080;IND
Q6427080;PAK
