iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year;country_label_pt;country_label_en;lang_label_pt;lang_label_en
GBR;Q145;Q33000;língua de sinais britânica;national;;;;Reino Unido;United Kingdom;língua de sinais britânica;British Sign Language
GBR;Q145;Q25289;córnico;national;;;;Reino Unido;United Kingdom;córnico;Cornish
GBR;Q145;Q9314;Língua gaélica escocesa;national;;;;Reino Unido;United Kingdom;Língua gaélica escocesa;Scottish Gaelic
GBR;Q145;Q1860;inglês;national;;;;Reino Unido;United Kingdom;inglês;English
GBR;Q145;Q14549;Scots;national;;;;Reino Unido;United Kingdom;Scots;Scots
GEO;Q230;Q8108;língua georgiana;national;;;;Geórgia;Georgia;língua georgiana;Georgian
GEO;Q230;Q5111;Língua abecásia;national;;;;Geórgia;Georgia;Língua abecásia;Abkhaz
GGY;Q25230;Q1860;inglês;national;;;;Guernsey;Guernsey;inglês;English
GGY;Q25230;Q150;francês;national;;;1948;Guernsey;Guernsey;francês;French
GHA;Q117;Q1860;inglês;national;;;;Gana;Ghana;inglês;English
GIB;Q1410;Q1860;inglês;national;;;;Gibraltar;Gibraltar;inglês;English
GIN;Q1006;Q150;francês;national;;;;Guiné;Guinea;francês;French
GIN;Q1006;Q1339026;languages of Guinea;national;;;;Guiné;Guinea;languages of Guinea;languages of Guinea
GMB;Q1005;Q1860;inglês;national;;;;Gâmbia;The Gambia;inglês;English
GNB;Q1007;Q5146;português;national;;;;Guiné-Bissau;Guinea-Bissau;português;Portuguese
GNQ;Q983;Q1321;espanhol;national;;;;Guiné Equatorial;Equatorial Guinea;espanhol;Spanish
GNQ;Q983;Q150;francês;national;;1997;;Guiné Equatorial;Equatorial Guinea;francês;French
GNQ;Q983;Q5146;português;national;;;;Guiné Equatorial;Equatorial Guinea;português;Portuguese
GRC;Q41;Q36510;grego moderno;national;;;;Grécia;Greece;grego moderno;Modern Greek
GRC;Q41;Q9129;grego;national;;;;Grécia;Greece;grego;Greek
GRC;Q41;Q35392;Grego demótico;national;;;;Grécia;Greece;Grego demótico;Demotic Greek
GRD;Q769;Q1860;inglês;national;;;;Granada;Grenada;inglês;English
GRD;Q769;Q4252500;Crioulo inglês de Granada;national;;;;Granada;Grenada;Crioulo inglês de Granada;Grenadian Creole English
