conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window
Q620735;Guerra Russo-Georgiana;Q230;Geórgia;2008-08-08T00:00:00Z;Q198;all
Q48249;Guerra das Malvinas;Q145;Reino Unido;1982-01-01T00:00:00Z;Q198;all
Q605977;Quarta Coligação;Q7729;Luís I da Holanda;1806-10-01T00:00:00Z;Q198;all
Q48249;Guerra das Malvinas;Q414;Argentina;1982-01-01T00:00:00Z;Q198;all
Q583223;Polish–Teutonic War of 1327–1332;Q42585;Reino da Boémia;1326-01-01T00:00:00Z;Q198;all
Q49101;Guerra do Suez;Q142;França;1957-03-01T00:00:00Z;Q198;all
Q617782;Quarta Guerra Anglo-Mysore;Q3277580;Carnatic state;1799-05-04T00:00:00Z;Q198;all
Q195378;Guerra Anglo-nepalesa;Q1381495;Garhwal Kingdom;1814-11-01T00:00:00Z;Q198;all
Q611071;Conflito entre Chade e Líbia;Q17435890;Era Muammar al-Gaddafi;1987-09-11T00:00:00Z;Q198;all
Q611071;Conflito entre Chade e Líbia;Q19878;Muammar al-Gaddafi;1987-09-11T00:00:00Z;Q198;all
Q742813;Guerra Espanhola-sul-americana;Q736;Equador;1864-01-01T00:00:00Z;Q198;all
Q605977;Quarta Coligação;Q151087;Jerónimo Bonaparte;1806-10-01T00:00:00Z;Q198;all
Q568387;Peasants' War;Q58296;Primeira República Francesa;1798-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q207913;Irgun;1940-01-01T00:00:00Z;Q198;all
Q49101;Guerra do Suez;Q145;Reino Unido;1957-03-01T00:00:00Z;Q198;all
Q49104;guerra do Líbano de 2006;Q41053;Hizbollah;2006-01-01T00:00:00Z;Q198;all
Q208694;Guerra sino-indiana;Q3595860;Vengalil Krishnan Krishna Menon;1962-01-01T00:00:00Z;Q198;all
Q68969;Guerra de Independência da Croácia;Q934644;República Federal da Sérvia;1995-11-12T00:00:00Z;Q198;all
Q233559;Segunda Guerra dos Cem Anos;Q70972;Reino da França;1689-01-01T00:00:00Z;Q198;all
Q742813;Guerra Espanhola-sul-americana;Q298;Chile;1864-01-01T00:00:00Z;Q198;all
Q195378;Guerra Anglo-nepalesa;Q83164;Companhia Britânica das Índias Orientais;1814-11-01T00:00:00Z;Q198;all
Q246863;Guerra da Livónia;Q172107;República das Duas Nações;1558-02-01T00:00:00Z;Q198;all
Q49101;Guerra do Suez;Q79;Egito;1957-03-01T00:00:00Z;Q198;all
Q233559;Segunda Guerra dos Cem Anos;Q71084;Primeiro Império Francês;1689-01-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q689339;Balli Kombëtar;1942-01-01T00:00:00Z;Q198;all
Q611071;Conflito entre Chade e Líbia;Q653414;Governo de Transição de Unidade Nacional;1987-09-11T00:00:00Z;Q198;all
Q722713;Portuguese-Turkish War;Q12560;Império Otomano;1509-01-01T00:00:00Z;Q198;all
Q12583;Guerra Hispano-Americana;Q30;Estados Unidos;1898-01-01T00:00:00Z;Q198;all
Q49092;Guerra árabe-israelense de 1948;Q623911;Exército de Liberação Árabe;1940-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q623911;Exército de Liberação Árabe;1940-01-01T00:00:00Z;Q198;all
Q583223;Polish–Teutonic War of 1327–1332;Q171150;Reino da Hungria;1326-01-01T00:00:00Z;Q198;all
Q208694;Guerra sino-indiana;Q17410;Zhou Enlai;1962-01-01T00:00:00Z;Q198;all
Q583223;Polish–Teutonic War of 1327–1332;Q643843;Mazóvia;1326-01-01T00:00:00Z;Q198;all
Q233559;Segunda Guerra dos Cem Anos;Q8680;Império Britânico;1689-01-01T00:00:00Z;Q198;all
