conflict,conflictLabel,participant,participantLabel
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q6300387,"João Manuel Peres de Gusmão, 8.º Duque de Medina Sidónia"
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q79972,Jaime I de Inglaterra
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q181878,Rani Lakshmibai
http://www.wikidata.org/entity/Q168442,Guerra Anglo-Espanhola de 1625–1630,http://www.wikidata.org/entity/Q81506,Carlos I de Inglaterra
http://www.wikidata.org/entity/Q123070,Guerra Russo-Turca,http://www.wikidata.org/entity/Q1069959,Reino de Imereti
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q1557792,Gwalior State
http://www.wikidata.org/entity/Q195378,Guerra Anglo-nepalesa,http://www.wikidata.org/entity/Q1381495,Garhwal Kingdom
http://www.wikidata.org/entity/Q1297380,Vlieter incident,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q242995,Jhansi
http://www.wikidata.org/entity/Q111088923,Battle of Gadan-Ola,http://www.wikidata.org/entity/Q8733,Dinastia Qing
http://www.wikidata.org/entity/Q58947,Guerra do Paraguai,http://www.wikidata.org/entity/Q217230,Império do Brasil
http://www.wikidata.org/entity/Q111089352,Battle of Oroi-Jalatu,http://www.wikidata.org/entity/Q8733,Dinastia Qing
http://www.wikidata.org/entity/Q111089368,Battle of Khurungui,http://www.wikidata.org/entity/Q8733,Dinastia Qing
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q951444,Nana Sahib
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q697185,Sipai
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q2355896,Jung Bahadur Rana
http://www.wikidata.org/entity/Q1510144,Wairau Affray,http://www.wikidata.org/entity/Q1396584,Te Rauparaha
http://www.wikidata.org/entity/Q58947,Guerra do Paraguai,http://www.wikidata.org/entity/Q15051546,Tríplice Aliança
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q3595882,Kunwar Singh
http://www.wikidata.org/entity/Q152218,Guerra dos Nove Anos,http://www.wikidata.org/entity/Q230791,Reino da Escócia
http://www.wikidata.org/entity/Q569485,Revolta dos Cavaleiros,http://www.wikidata.org/entity/Q62954,"Luís V, Eleitor Palatino"
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q18129046,Oudh State
http://www.wikidata.org/entity/Q166001,Guerra da Escânia,http://www.wikidata.org/entity/Q62651,Reino da Dinamarca e Noruega
http://www.wikidata.org/entity/Q123070,Guerra Russo-Turca,http://www.wikidata.org/entity/Q282475,Reino de Cártlia-Cachétia
http://www.wikidata.org/entity/Q124661880,Q124661880,http://www.wikidata.org/entity/Q12544,Império Bizantino
http://www.wikidata.org/entity/Q124214238,Q124214238,http://www.wikidata.org/entity/Q28428,Baekje
http://www.wikidata.org/entity/Q246863,Guerra da Livónia,http://www.wikidata.org/entity/Q172107,República das Duas Nações
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q4916371,Birjis Qadir
http://www.wikidata.org/entity/Q195378,Guerra Anglo-nepalesa,http://www.wikidata.org/entity/Q3960459,Reino de Siquim
http://www.wikidata.org/entity/Q246863,Guerra da Livónia,http://www.wikidata.org/entity/Q186096,Czarado da Rússia
http://www.wikidata.org/entity/Q233559,Segunda Guerra dos Cem Anos,http://www.wikidata.org/entity/Q58296,Primeira República Francesa
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q20096130,Dhir Shumsher Rana
http://www.wikidata.org/entity/Q165136,Guerra dos Suabos,http://www.wikidata.org/entity/Q672685,Três Ligas
http://www.wikidata.org/entity/Q165136,Guerra dos Suabos,http://www.wikidata.org/entity/Q687124,Liga da Suábia
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q5915498,Tulsipur State
http://www.wikidata.org/entity/Q127751,Guerra das Duas Rosas,http://www.wikidata.org/entity/Q101978,Casa de Tudor
http://www.wikidata.org/entity/Q111088923,Battle of Gadan-Ola,http://www.wikidata.org/entity/Q372192,Amursana
http://www.wikidata.org/entity/Q111089352,Battle of Oroi-Jalatu,http://www.wikidata.org/entity/Q372192,Amursana
http://www.wikidata.org/entity/Q127751,Guerra das Duas Rosas,http://www.wikidata.org/entity/Q105278,Casa de Lencastre
http://www.wikidata.org/entity/Q127751,Guerra das Duas Rosas,http://www.wikidata.org/entity/Q105285,Casa de Iorque
http://www.wikidata.org/entity/Q123070,Guerra Russo-Turca,http://www.wikidata.org/entity/Q491507,Egito Otomano
http://www.wikidata.org/entity/Q129864,Revolta dos Sipais,http://www.wikidata.org/entity/Q83164,Companhia Britânica das Índias Orientais
http://www.wikidata.org/entity/Q152218,Guerra dos Nove Anos,http://www.wikidata.org/entity/Q577559,Grande Aliança
http://www.wikidata.org/entity/Q1510144,Wairau Affray,http://www.wikidata.org/entity/Q16031156,John Barnicoat
http://www.wikidata.org/entity/Q151663,Guerra das Comunidades de Castela,http://www.wikidata.org/entity/Q2991502,Comunero
http://www.wikidata.org/entity/Q111088923,Battle of Gadan-Ola,http://www.wikidata.org/entity/Q1115408,Chingünjav
http://www.wikidata.org/entity/Q499468,Lin Shuangwen rebellion,http://www.wikidata.org/entity/Q6146970,Lin Shuangwen
http://www.wikidata.org/entity/Q195378,Guerra Anglo-nepalesa,http://www.wikidata.org/entity/Q83164,Companhia Britânica das Índias Orientais
http://www.wikidata.org/entity/Q233559,Segunda Guerra dos Cem Anos,http://www.wikidata.org/entity/Q8680,Império Britânico
http://www.wikidata.org/entity/Q152218,Guerra dos Nove Anos,http://www.wikidata.org/entity/Q70972,Reino da França
http://www.wikidata.org/entity/Q168556,Guerra de Esmalcalda,http://www.wikidata.org/entity/Q12548,Sacro Império Romano-Germânico
http://www.wikidata.org/entity/Q195378,Guerra Anglo-nepalesa,http://www.wikidata.org/entity/Q917553,Patiala State
http://www.wikidata.org/entity/Q1510144,Wairau Affray,http://www.wikidata.org/entity/Q711854,Arthur Wakefield
http://www.wikidata.org/entity/Q151663,Guerra das Comunidades de Castela,http://www.wikidata.org/entity/Q5157726,Comunero
http://www.wikidata.org/entity/Q127751,Guerra das Duas Rosas,http://www.wikidata.org/entity/Q133028,Ricardo III de Inglaterra
http://www.wikidata.org/entity/Q743768,A Anarquia,http://www.wikidata.org/entity/Q179876,Reino da Inglaterra
http://www.wikidata.org/entity/Q123070,Guerra Russo-Turca,http://www.wikidata.org/entity/Q871792,Grécia otomana
http://www.wikidata.org/entity/Q18482200,Revolta de Ibicaba,http://www.wikidata.org/entity/Q1818899,povoador
http://www.wikidata.org/entity/Q16417916,Tekeli Rebellion,http://www.wikidata.org/entity/Q18234383,Império Safávida
http://www.wikidata.org/entity/Q944506,Batalha do Dia de Santiago Maior,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q944506,Batalha do Dia de Santiago Maior,http://www.wikidata.org/entity/Q179876,Reino da Inglaterra
http://www.wikidata.org/entity/Q939845,Batalha de Agosta,http://www.wikidata.org/entity/Q316945,Michiel de Ruyter
http://www.wikidata.org/entity/Q1083872,Glorioso primeiro de junho,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q1054975,Batalha de Preveza,http://www.wikidata.org/entity/Q12560,Império Otomano
http://www.wikidata.org/entity/Q939845,Batalha de Agosta,http://www.wikidata.org/entity/Q329966,Abraham Duquesne
