conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window;mapped_country_qid;mapped_iso3
Q1413732;Conflito na Caxemira;Q843;Paquistão;1947-01-01T00:00:00Z;Q198;all;Q843;
Q404517;Guerra de Kargil;Q843;Paquistão;1999-01-01T00:00:00Z;Q198;all;Q843;
Q371394;Guerra de Independência de Bangladesh;Q843;Paquistão;1971-03-26T00:00:00Z;Q198;all;Q843;
Q233583;Guerra Indo-Paquistanesa de 1965;Q843;Paquistão;1965-08-01T00:00:00Z;Q198;all;Q843;
Q75756;Segunda Guerra do Congo;Q1030;Namíbia;1998-08-02T00:00:00Z;Q198;all;Q1030;
Q303801;Insurgência em Uganda;Q1036;Uganda;1987-01-01T00:00:00Z;Q198;all;Q1036;
Q202465;Guerra Uganda-Tanzânia;Q1036;Uganda;1978-10-09T00:00:00Z;Q198;all;Q1036;
Q75756;Segunda Guerra do Congo;Q1036;Uganda;1998-08-02T00:00:00Z;Q198;all;Q1036;
Q1367731;Saudi–Yemeni War;Q851;Arábia Saudita;1934-03-01T00:00:00Z;Q198;all;Q851;
Q1361929;confronto Indonésia-Malásia;Q833;Malásia;1963-01-20T00:00:00Z;Q198;all;Q833;
Q322607;Guerra de Desgaste;Q858;Síria;1969-03-01T00:00:00Z;Q198;all;Q858;
Q322607;Guerra de Desgaste;Q858;Síria;1967-07-01T00:00:00Z;Q198;all;Q858;
Q327237;Guerra do Quivu;Q916;Angola;2004-06-02T00:00:00Z;Q198;all;Q916;
Q75756;Segunda Guerra do Congo;Q916;Angola;1998-08-02T00:00:00Z;Q198;all;Q916;
Q75756;Segunda Guerra do Congo;Q1037;Ruanda;1998-08-02T00:00:00Z;Q198;all;Q1037;
Q208694;Guerra sino-indiana;Q1047;Jawaharlal Nehru;1962-01-01T00:00:00Z;Q198;all;Q668;
Q322607;Guerra de Desgaste;Q801;Israel;1969-03-01T00:00:00Z;Q198;all;Q801;
Q322607;Guerra de Desgaste;Q801;Israel;1967-07-01T00:00:00Z;Q198;all;Q801;
Q322607;Guerra de Desgaste;Q810;Jordânia;1969-03-01T00:00:00Z;Q198;all;Q810;
Q322607;Guerra de Desgaste;Q810;Jordânia;1967-07-01T00:00:00Z;Q198;all;Q810;
Q1434602;Guerra Líbia-Egito;Q1016;Líbia;1977-07-21T00:00:00Z;Q198;all;Q1016;
Q1354920;Conflito fronteiriço entre Djibouti e Eritreia;Q986;Eritreia;2008-01-01T00:00:00Z;Q198;all;Q986;
Q215112;Segunda Guerra dos Bôeres;Q408;Austrália;1899-10-23T00:00:00Z;Q198;all;Q408;
Q327237;Guerra do Quivu;Q104868190;Cooperativa para o Desenvolvimento do Congo;2004-06-02T00:00:00Z;Q198;all;Q974;
Q1354920;Conflito fronteiriço entre Djibouti e Eritreia;Q977;Djibouti;2008-01-01T00:00:00Z;Q198;all;Q977;
Q1262084;Guerra Civil do Djibouti;Q977;Djibouti;1994-12-26T00:00:00Z;Q198;all;Q977;
Q82664;Guerra Irã-Iraque;Q796;Iraque;1980-09-22T00:00:00Z;Q198;all;Q796;
Q381375;Primeira Guerra de Nagorno-Karabakh;Q399;Arménia;1988-02-20T00:00:00Z;Q198;all;Q399;
Q1249250;First Sacred War;Q56754242;Cirrha;-0594-01-01T00:00:00Z;Q198;all;Q41;
Q327237;Guerra do Quivu;Q974;República Democrática do Congo;2004-06-02T00:00:00Z;Q198;all;Q974;
Q303801;Insurgência em Uganda;Q974;República Democrática do Congo;1987-01-01T00:00:00Z;Q198;all;Q974;
Q75756;Segunda Guerra do Congo;Q974;República Democrática do Congo;1998-08-02T00:00:00Z;Q198;all;Q974;
Q1209169;Guerra na Abecásia;Q31354462;Abecásia;1992-08-14T00:00:00Z;Q198;all;Q230;
Q223085;Guerra do Futebol;Q792;El Salvador;1969-07-14T00:00:00Z;Q198;all;Q792;
Q233649;Segunda Guerra Margrave;Q13427044;Príncipe-Bispado de Würzburg;1552-01-01T00:00:00Z;Q198;all;Q183;
Q223085;Guerra do Futebol;Q783;Honduras;1969-07-14T00:00:00Z;Q198;all;Q783;
Q1143379;Guerra na Ossétia do Sul em 1991-1992;Q27628118;Internal Troops of Georgia;1991-01-05T00:00:00Z;Q198;all;Q230;
Q75756;Segunda Guerra do Congo;Q967;Burundi;1998-08-02T00:00:00Z;Q198;all;Q967;
Q82664;Guerra Irã-Iraque;Q794;Irão;1980-09-22T00:00:00Z;Q198;all;Q794;
Q190758;Conflito de Darfur;Q24911485;Sudanese Awakening Revolutionary Council;2003-02-26T00:00:00Z;Q198;all;Q1049;
Q1249270;Terceira Guerra Sacra;Q11225429;Thebes;-0355-01-01T00:00:00Z;Q198;all;Q41;
Q260684;Alexander's Balkan campaign;Q11225429;Thebes;-0334-01-01T00:00:00Z;Q198;all;Q41;
Q223126;Guerra do Chaco;Q750;Bolívia;1932-09-09T00:00:00Z;Q198;all;Q750;
Q327237;Guerra do Quivu;Q21476759;Forças Nacionais de Libertação;2004-06-02T00:00:00Z;Q198;all;Q967;
Q223126;Guerra do Chaco;Q733;Paraguai;1932-09-09T00:00:00Z;Q198;all;Q733;
Q1413732;Conflito na Caxemira;Q668;Índia;1947-01-01T00:00:00Z;Q198;all;Q668;
Q404517;Guerra de Kargil;Q668;Índia;1999-01-01T00:00:00Z;Q198;all;Q668;
Q371394;Guerra de Independência de Bangladesh;Q668;Índia;1971-03-26T00:00:00Z;Q198;all;Q668;
Q233583;Guerra Indo-Paquistanesa de 1965;Q668;Índia;1965-08-01T00:00:00Z;Q198;all;Q668;
Q75756;Segunda Guerra do Congo;Q5467563;Forces for Renewal;1998-08-02T00:00:00Z;Q198;all;Q974;
Q385676;Guerra de Ōnin;Q5366010;Ikkō-shū;1467-01-01T00:00:00Z;Q198;all;Q17;
Q75756;Segunda Guerra do Congo;Q657;Chade;1998-08-02T00:00:00Z;Q198;all;Q657;
Q1187411;Guerra Gosannen;Q5360232;Fujiwara no Kiyohira;1083-01-01T00:00:00Z;Q198;all;Q17;
Q202465;Guerra Uganda-Tanzânia;Q17435890;Era Muammar al-Gaddafi;1978-10-09T00:00:00Z;Q198;all;Q1016;
Q75756;Segunda Guerra do Congo;Q3550188;União dos Patriotas Congoleses;1998-08-02T00:00:00Z;Q198;all;Q974;
Q208694;Guerra sino-indiana;Q3595860;Vengalil Krishnan Krishna Menon;1962-01-01T00:00:00Z;Q198;all;Q668;
Q215112;Segunda Guerra dos Bôeres;Q5148518;Colony of New Zealand;1899-10-23T00:00:00Z;Q198;all;Q664;
Q1373706;Ayutthayan–Cambodian War;Q4919413;Idade das Trevas do Camboja;1591-01-01T00:00:00Z;Q198;all;Q424;
Q221941;Guerra da Quádrupla Aliança;Q3399982;Reino de Espanha;1718-08-02T00:00:00Z;Q198;all;Q29;
Q75626;Primeira Guerra Macedônica;Q6536845;Ancient Elis;-0213-01-01T00:00:00Z;Q198;all;Q41;
Q208694;Guerra sino-indiana;Q4967976;Brij Mohan Kaul;1962-01-01T00:00:00Z;Q198;all;Q668;
Q190758;Conflito de Darfur;Q3374306;Frente Revolucionária do Sudão;2003-02-26T00:00:00Z;Q198;all;Q1049;
Q1192398;Guerras dos Mosquetes;Q6122670;Maoris;1807-01-01T00:00:00Z;Q198;all;Q664;
Q1143379;Guerra na Ossétia do Sul em 1991-1992;Q2586527;Guarda Nacional da Geórgia;1991-01-05T00:00:00Z;Q198;all;Q230;
Q1187411;Guerra Gosannen;Q6418987;Kiyohara no Iehira;1083-01-01T00:00:00Z;Q198;all;Q17;
