"iso3";"status";"info";"ts"
"MWI";"ok";"fetched";"2025-10-15T00:18:56.134366"
"MYS";"ok";"fetched";"2025-10-15T00:19:00.200820"
"MYT";"ok";"fetched";"2025-10-15T00:19:05.595779"
"NAM";"ok";"fetched";"2025-10-15T00:19:33.279851"
"NCL";"ok";"fetched";"2025-10-15T00:19:42.419592"
"NER";"ok";"fetched";"2025-10-15T00:19:50.102086"
"NFK";"ok";"fetched";"2025-10-15T00:20:00.029623"
"NGA";"ok";"fetched";"2025-10-15T00:20:04.238987"
"NIC";"ok";"fetched";"2025-10-15T00:20:08.437632"
"NIU";"ok";"fetched";"2025-10-15T00:20:15.124707"
"NLD";"ok";"fetched";"2025-10-15T00:20:23.713151"
"NOR";"ok";"fetched";"2025-10-15T00:20:27.293574"
"NPL";"ok";"fetched";"2025-10-15T00:20:31.188041"
"NRU";"ok";"fetched";"2025-10-15T00:20:37.899780"
"NZL";"ok";"fetched";"2025-10-15T00:20:42.542382"
"OMN";"ok";"fetched";"2025-10-15T00:20:49.663073"
"PAK";"ok";"fetched";"2025-10-15T00:20:53.864422"
"PAN";"ok";"fetched";"2025-10-15T00:20:57.554254"
"PCN";"ok";"fetched";"2025-10-15T00:21:06.330713"
"PER";"ok";"fetched";"2025-10-15T00:21:10.296846"
"PHL";"ok";"fetched";"2025-10-15T00:21:14.806615"
"PLW";"ok";"fetched";"2025-10-15T00:21:17.809060"
"PNG";"ok";"fetched";"2025-10-15T00:21:23.823728"
"POL";"ok";"fetched";"2025-10-15T00:21:30.612775"
"PRI";"ok";"fetched";"2025-10-15T00:21:34.338834"
"PRK";"ok";"fetched";"2025-10-15T00:21:37.640972"
"PRT";"ok";"fetched";"2025-10-15T00:21:41.282183"
"PRY";"ok";"fetched";"2025-10-15T00:21:44.948451"
"PSE";"ok";"fetched";"2025-10-15T00:21:48.934535"
"PYF";"ok";"fetched";"2025-10-15T00:21:57.291649"
"QAT";"ok";"fetched";"2025-10-15T00:22:00.942377"
"REU";"ok";"fetched";"2025-10-15T00:22:03.870264"
"ROU";"ok";"fetched";"2025-10-15T00:22:08.167992"
"RUS";"ok";"fetched";"2025-10-15T00:22:12.285377"
"RWA";"ok";"fetched";"2025-10-15T00:22:19.015101"
"SAU";"ok";"fetched";"2025-10-15T00:22:22.594254"
"SDN";"ok";"fetched";"2025-10-15T00:22:31.739439"
"SEN";"ok";"fetched";"2025-10-15T00:22:35.595693"
"SGP";"ok";"fetched";"2025-10-15T00:22:40.200080"
"SGS";"ok";"fetched";"2025-10-15T00:22:49.195280"
"SHN";"ok";"fetched";"2025-10-15T00:22:57.338051"
"SJM";"ok";"fetched";"2025-10-15T00:23:05.581923"
"SLB";"ok";"fetched";"2025-10-15T00:23:09.404230"
"SLE";"ok";"fetched";"2025-10-15T00:23:13.840150"
"SLV";"ok";"fetched";"2025-10-15T00:23:17.250443"
"SMR";"ok";"fetched";"2025-10-15T00:23:22.821316"
"SOM";"ok";"fetched";"2025-10-15T00:23:31.282260"
"SPM";"ok";"fetched";"2025-10-15T00:23:39.441269"
"SRB";"ok";"fetched";"2025-10-15T00:23:45.910060"
"SSD";"ok";"fetched";"2025-10-15T00:23:48.919297"
"STP";"ok";"fetched";"2025-10-15T00:23:57.373578"
"SUR";"ok";"fetched";"2025-10-15T00:24:01.553344"
"SVK";"ok";"fetched";"2025-10-15T00:24:08.250066"
"SVN";"ok";"fetched";"2025-10-15T00:24:19.061479"
"SWE";"ok";"fetched";"2025-10-15T00:24:25.215100"
"SWZ";"ok";"fetched";"2025-10-15T00:24:29.747230"
"SXM";"ok";"fetched";"2025-10-15T00:24:34.769748"
"SYC";"ok";"fetched";"2025-10-15T00:24:48.023993"
"SYR";"ok";"fetched";"2025-10-15T00:24:51.854179"
"TCA";"ok";"fetched";"2025-10-15T00:25:00.325714"
"TCD";"ok";"fetched";"2025-10-15T00:25:09.011477"
"TGO";"ok";"fetched";"2025-10-15T00:25:13.343768"
"THA";"ok";"fetched";"2025-10-15T00:25:17.291633"
"TJK";"ok";"fetched";"2025-10-15T00:25:21.816784"
"TKL";"ok";"fetched";"2025-10-15T00:25:25.019737"
"TKM";"ok";"fetched";"2025-10-15T00:25:29.062568"
"TLS";"ok";"fetched";"2025-10-15T00:25:33.301225"
"TON";"ok";"fetched";"2025-10-15T00:25:39.110947"
"TTO";"ok";"fetched";"2025-10-15T00:25:45.648808"
"TUN";"ok";"fetched";"2025-10-15T00:25:50.631128"
"TUR";"ok";"fetched";"2025-10-15T00:25:55.355504"
"TUV";"ok";"fetched";"2025-10-15T00:26:04.359648"
"TWN";"ok";"fetched";"2025-10-15T00:26:11.160395"
"TZA";"ok";"fetched";"2025-10-15T00:26:19.633713"
"UGA";"ok";"fetched";"2025-10-15T00:26:25.709538"
"UKR";"ok";"fetched";"2025-10-15T00:26:45.866409"
"UMI";"ok";"fetched";"2025-10-15T00:26:58.800300"
"URY";"ok";"fetched";"2025-10-15T00:27:05.314451"
"USA";"ok";"fetched";"2025-10-15T00:27:11.266161"
"UZB";"ok";"fetched";"2025-10-15T00:27:15.633944"
"VAT";"ok";"fetched";"2025-10-15T00:27:20.425492"
"VCT";"ok";"fetched";"2025-10-15T00:27:26.587045"
"VEN";"ok";"fetched";"2025-10-15T00:27:31.008448"
"VGB";"ok";"fetched";"2025-10-15T00:27:38.529701"
"VIR";"ok";"fetched";"2025-10-15T00:27:48.334127"
"VNM";"ok";"fetched";"2025-10-15T00:27:52.918127"
"VUT";"ok";"fetched";"2025-10-15T00:28:00.216661"
"WLF";"ok";"fetched";"2025-10-15T00:28:08.147520"
"WSM";"ok";"fetched";"2025-10-15T00:28:11.240014"
"YEM";"ok";"fetched";"2025-10-15T00:28:17.636869"
"ZAF";"ok";"fetched";"2025-10-15T00:28:23.734461"
"ZMB";"ok";"fetched";"2025-10-15T00:28:28.683334"
"ZWE";"ok";"fetched";"2025-10-15T00:28:34.450174"
"ABW";"ok";"fetched";"2025-10-15T07:22:35.464608+00:00"
"AFG";"ok";"fetched";"2025-10-15T07:22:37.302464+00:00"
"AGO";"ok";"fetched";"2025-10-15T07:22:39.357116+00:00"
"AIA";"ok";"fetched";"2025-10-15T07:22:42.718036+00:00"
"ALA";"ok";"fetched";"2025-10-15T07:22:45.060263+00:00"
"ALB";"ok";"fetched";"2025-10-15T07:22:47.403678+00:00"
"AND";"ok";"fetched";"2025-10-15T07:22:49.431219+00:00"
"ARE";"ok";"fetched";"2025-10-15T07:22:56.159658+00:00"
"ARG";"ok";"fetched";"2025-10-15T07:22:59.372401+00:00"
"ARM";"ok";"fetched";"2025-10-15T07:23:01.398127+00:00"
"ASM";"ok";"fetched";"2025-10-15T07:23:06.395056+00:00"
"ATA";"ok";"fetched";"2025-10-15T07:23:09.921922+00:00"
"ATF";"ok";"fetched";"2025-10-15T07:23:17.874907+00:00"
"ATG";"ok";"fetched";"2025-10-15T07:23:21.241145+00:00"
"AUS";"ok";"fetched";"2025-10-15T07:23:24.996830+00:00"
"AUT";"ok";"fetched";"2025-10-15T07:23:58.817794+00:00"
"AZE";"ok";"fetched";"2025-10-15T07:24:01.982999+00:00"
"BDI";"ok";"fetched";"2025-10-15T07:24:09.691205+00:00"
"BEL";"ok";"fetched";"2025-10-15T07:24:13.322068+00:00"
"BEN";"ok";"fetched";"2025-10-15T07:24:16.084276+00:00"
"BES";"ok";"fetched";"2025-10-15T07:24:25.205309+00:00"
"BFA";"ok";"fetched";"2025-10-15T07:24:27.650980+00:00"
"BGD";"ok";"fetched";"2025-10-15T07:25:00.514061+00:00"
"BGR";"ok";"fetched";"2025-10-15T07:25:03.873782+00:00"
"BHR";"ok";"fetched";"2025-10-15T07:25:07.212897+00:00"
"BHS";"ok";"fetched";"2025-10-15T07:25:09.885943+00:00"
"BIH";"ok";"fetched";"2025-10-15T07:25:12.743442+00:00"
"BLM";"ok";"fetched";"2025-10-15T07:25:21.267470+00:00"
"BLR";"ok";"fetched";"2025-10-15T07:25:24.275722+00:00"
"BLZ";"ok";"fetched";"2025-10-15T07:25:27.008805+00:00"
"BMU";"ok";"fetched";"2025-10-15T07:25:36.008093+00:00"
"BOL";"ok";"fetched";"2025-10-15T07:25:38.385108+00:00"
"BRA";"ok";"fetched";"2025-10-15T07:25:41.529322+00:00"
"BRB";"ok";"fetched";"2025-10-15T07:25:43.707705+00:00"
"BRN";"ok";"fetched";"2025-10-15T07:25:45.721926+00:00"
"BTN";"ok";"fetched";"2025-10-15T07:25:50.696954+00:00"
"BVT";"ok";"fetched";"2025-10-15T07:25:57.145276+00:00"
"BWA";"ok";"fetched";"2025-10-15T07:26:29.913923+00:00"
"CAF";"ok";"fetched";"2025-10-15T07:26:32.439601+00:00"
"CAN";"ok";"fetched";"2025-10-15T07:26:35.927168+00:00"
"CCK";"ok";"fetched";"2025-10-15T07:26:41.705109+00:00"
"CHE";"ok";"fetched";"2025-10-15T07:27:14.081459+00:00"
"CHL";"ok";"fetched";"2025-10-15T07:27:26.161557+00:00"
"CHN";"ok";"fetched";"2025-10-15T07:27:29.094161+00:00"
