"iso3";"country_qid";"country_label_pt";"country_label_en";"inception_year";"earliest_year";"named_after_qid";"named_after_pt";"named_after_en";"predecessor_qids";"predecessors_pt";"predecessors_en";"wp_title_pt";"wp_title_en";"wp_origins_pt";"wp_origins_en";"wp_summary_pt";"wp_summary_en";"fetched_at"
"KEN";"Q114";"Quénia";"Kenya";"1963";"";"Q172070";"Monte Quénia";"Mount Kenya";"Q6392538";"Kenya (1963–1964)";"Kenya (1963–1964)";"Quénia";"Kenya";"A República do Quénia recebeu o nome do Monte Quénia . A versão mais antiga registrada do nome moderno foi escrita pelo explorador alemão Johann Ludwig Krapf no século XIX. Enquanto viajava com uma caravana Kamba liderada pelo comerciante de longa distância Chefe Quivoi, Crapfe avistou o pico da montanha e perguntou como ele era chamado. Quivoi disse-lhe "" ĩ-Nyaa "" ou "" Kĩlĩma-Kĩinyaa "", provavelmente porque o padrão de rocha negra e neve branca em seus picos o lembrava das penas do avestruz macho. [ 7 ] No quicuia arcaico, a palavra 'nyaga' ou mais comumente 'manyaganyaga' é usada para descrever um objeto extremamente brilhante. Os aquicuias, que habitam as encostas do Monte Quénia, o chamam de Kĩrĩma Kĩrĩnyaga (literalmente ""a montanha com brilho"") em quicui , enquanto os embus o chamam de ""Kirinyaa"". Todos os três nomes têm o mesmo significado. [ 8 ] Ludwig Krapf registrou o nome como Kenia e Kegnia . [ 9 ] [ 10 ] [ 11 ] Alguns disseram que esta era uma notação precisa da pronúncia africana [ ˈ k ɛ n j ə ] . [ 12 ] Um mapa de 1882 desenhado por Joseph Thompsons, um geólogo e naturalista escocês, indicou o Monte Quénia. [ 13 ] O nome da montanha foi aceito, pars pro toto , como o nome do país. Não entrou em uso oficial generalizado durante o início do período colonial, quando o país era chamado da África Oriental Britânica . O nome oficial foi mudado para Quénia Britânico em 1920.";"The Republic of Kenya is named after Mount Kenya . The earliest recorded version of the modern name was written by German explorer Johann Ludwig Krapf in the 19th century. While travelling with a Kamba caravan led by the long-distance trader Chief Kivoi , Krapf spotted the mountain peak and asked what it was called. Kivoi told him "" Kĩ-Nyaa "" or "" Kĩlĩma- Kĩinyaa "", probably because the pattern of black rock and white snow on its peaks reminded him of the feathers of the male ostrich. [ 26 ] In archaic Kikuyu , the word 'nyaga' or more commonly 'manyaganyaga' is used to describe an extremely bright object. The Agikuyu, who inhabit the slopes of Mt. Kenya, call it Kĩrĩma Kĩrĩnyaga (literally 'the mountain with brightness') in Kikuyu , while the Embu call it ""Ki-nyaga"". All three names have the same meaning. [ 27 ] Ludwig Krapf recorded the name as both Kenia and Kegnia . [ 28 ] [ 29 ] [ 30 ] Some have said that this was a precise notation of the African pronunciation / ˈ k ɛ n j ə / . [ 31 ] An 1882 map drawn by Joseph Thompsons, a Scottish geologist and naturalist, indicated Mt. Kenya as Mt. Kenia. [ 26 ] The mountain's name was accepted, pars pro toto , as the name of the country. It did not come into widespread official use during the early colonial period, when the country was referred to as the East African Protectorate . The official name was changed to the Colony of Kenya in 1920.";"Quénia (português europeu) ou Quênia (português brasileiro), oficialmente República do Quénia, é um país da África Oriental, limitado a norte pelo Sudão do Sul e pela Etiópia, a leste pela Somália e pelo oceano Índico, a sul pela Tanzânia e a oeste pelo Uganda. A capital e cidade mais populosa é Nairobi. O país situa-se na linha do equador. A área do Quênia abrange 581 309 km² e o país tem uma população de cerca de 45 milhões de habitantes, de acordo com estimativas para 2014. Seu nome origina-se do Monte Quênia, seu ponto geográfico mais elevado e a segunda montanha mais alta da África.";"Kenya, officially the Republic of Kenya, is a country located in East Africa. With an estimated population of more than 52.4 million as of mid-2024, Kenya is the 27th-most-populous country in the world and the 7th most populous in Africa. Kenya's capital and largest city is Nairobi. The second-largest and oldest city is Mombasa, a major port city located on Mombasa Island. Other major cities within the country include Kisumu, Nakuru and Eldoret. Going clockwise Kenya is bordered by South Sudan to the northwest, Ethiopia to the north, Somalia to the east, the Indian Ocean to the southeast, Tanzania to the southwest, and Lake Victoria and Uganda to the west.";"2025-10-15T07:32:53.836112+00:00"
"KGZ";"Q813";"Quirguistão";"Kyrgyzstan";"1991";"";"";"";"";"Q130276";"República Socialista Soviética Quirguiz";"Kirghiz Soviet Socialist Republic";"Quirguistão";"Kyrgyzstan";"Quirguistão (em quirguiz: Кыргызстан; romaniz.: Kirgistan; pronunciado: [qɯrʁɯsˈstɑn]; por vezes Quirguizistão ou ainda Quirguízia, oficialmente República Quirguiz, é um país da Ásia Central, ex-integrante da antiga União Soviética. Tem fronteira ao norte com o Cazaquistão, a oeste com o Uzbequistão, a sul com o Tajiquistão e a leste com a China. Sua capital é Bisqueque, a maior cidade do país.";"There are many theories about the origin of the word Kyrgyz . One proposed etymology is that it means ""forty tribes"", [ 23 ] which may refer to the forty clans of Manas , a legendary hero who united forty regional clans. The Persian suffix -Stan means ""place of"". [ 24 ] The 40-ray sun on the flag of Kyrgyzstan is a reference to those same forty tribes and the graphical element in the sun's center depicts the wooden crown, called tunduk, of a yurt —a portable dwelling traditionally used by nomads in the steppes of Central Asia . The country's official name is Kyrgyz Republic , used in international arenas and foreign relations. [ 25 ] [ 26 ] In the English-speaking world, the spelling Kyrgyzstan is commonly used, while its former name Kirghizia [ c ] is rarely used. [ 27 ]";"Quirguistão (em quirguiz: Кыргызстан; romaniz.: Kirgistan; pronunciado: [qɯrʁɯsˈstɑn]; por vezes Quirguizistão ou ainda Quirguízia, oficialmente República Quirguiz, é um país da Ásia Central, ex-integrante da antiga União Soviética. Tem fronteira ao norte com o Cazaquistão, a oeste com o Uzbequistão, a sul com o Tajiquistão e a leste com a China. Sua capital é Bisqueque, a maior cidade do país.";"Kyrgyzstan, officially the Kyrgyz Republic, is a landlocked country in Central Asia, lying in the Tian Shan and Pamir mountain ranges. It is bordered by Kazakhstan to the north, Uzbekistan to the west, Tajikistan to the south, and China to the east and southeast. Bishkek is the capital and largest city. Ethnic Kyrgyz make up the majority of the country's over 7 million people, followed by significant minorities of Uzbeks and Russians.";"2025-10-15T07:32:58.963039+00:00"
"KHM";"Q424";"Camboja";"Cambodia";"1953";"";"";"";"";"";"";"";"Camboja";"Cambodia";"O nome oficial do país em português é Reino do Camboja , traduzido do quemer Preăh Réachéanachâk Kampuchea , muitas vezes abreviado apenas para Kampuchea (em quemer: កម្ពុជា). Kampuchea deriva da palavra sânscrita Kambuja . Popularmente, os cambojanos na maioria das vezes referem-se a seu país como ""A Terra dos Quemeres"" (escrito em quemer da seguinte forma: ស្រុកខ្មែរ) ou usando a expressão mais formal ""O país do Camboja"" (em quemer: ប្រទេសកម្ពុជា). Em Língua inglesa , a forma ""Cambodia"" é derivada de ""Cambodge"" ou ""Kamboj"", a transcrição sânscrita de ""Kampuchea"". [ 11 ]";"The Kingdom of Cambodia is the official English name of the country. The English Cambodia is an anglicisation of the French Cambodge , which in turn is the French transliteration of the Khmer កម្ពុជា ( Kâmpŭchéa , pronounced [ kampuciə ] ). Kâmpŭchéa is the shortened alternative to the country's official name in Khmer ព្រះរាជាណាចក្រកម្ពុជា ( Preăh Réachéanachâkr Kâmpŭchéa , pronounced [ preah riəciənaːcak kampuciə ] . The Khmer endonym កម្ពុជា Kâmpŭchéa derives from the Sanskrit name कम्बोजदेश Kambojadeśa , composed of देश Deśa (""land of"" or ""country of"") and कम्बोज ( Kamboja ), referring to the descendants of Kambu (a legendary Indian sage from the ancient Indian kingdom of Kamboja ). [ 24 ] The term Cambodia was already in use in Europe as early as 1524, since Antonio Pigafetta cites it in his work Relazione del primo viaggio intorno al mondo (1524–1525) as Camogia . [ 25 ] Scholar George Coedes refers to a 10th-century inscription of a Cambodian dynastic legend in which the hermit Kambu Swayambhuva and the celestial nymph Mera unite and establish the Cambodian Solar royal dynasty (Kambu-Mera), that begins with the Chenla ruler Srutavarman and his son Sreshthavarman . Coedes suggests that the Kambu Swayambhuva legend has its origins in southern India, as a version of the Kanchi Pallava dynasty creation myth. [ 26 ] [ 27 ]";"Camboja ou Cambodja, oficialmente Reino do Camboja, é um Estado soberano localizado na porção sul da península da Indochina, no Sudeste Asiático. Sua área territorial é de 181 035 km², fazendo deste o 88.º maior do mundo em área. Faz fronteira com a Tailândia a noroeste, com o Laos a nordeste, com o Vietnã a leste e com o Golfo da Tailândia na porção sudoeste.";"Cambodia, officially the Kingdom of Cambodia, is a country in Mainland Southeast Asia. It is bordered by Thailand to the northwest, Laos to the north, and Vietnam to the east, and has a coastline along the Gulf of Thailand in the southwest. It spans an area of 181,035 square kilometres, dominated by a low-lying plain and the confluence of the Mekong river and Tonlé Sap, Southeast Asia's largest lake. It is dominated by a tropical climate. Cambodia has a population of about 17 million people, the majority of which are ethnically Khmer. Its capital and most populous city is Phnom Penh, followed by Siem Reap and Battambang.";"2025-10-15T07:33:00.885928+00:00"
"KIR";"Q710";"Kiribati";"Kiribati";"1979";"";"Q271876";"Ilhas Gilbert";"Gilbert Islands";"";"";"";"Kiribati";"Kiribati";"As Ilhas Gilbert, como eram antigamente conhecido Kiribati, eram habitadas há pelo menos 4000 ou 5000 anos por alguns habitantes da Ásia que falava uma das línguas oceânicas, antes de terem qualquer contacto com europeus, mais provavelmente os espanhóis, no século XVI. As ilhas foram ""batizadas"" em 1820 por um almirante da Estónia, Adam Johann von Krusenstern e pelo seu capitão francês, Louis Duperrey, em homenagem ao capitão britânico, Thomas Gilbert, que tinha ""descoberto"" o arquipélago em 1788.";"The name is pronounced / ˈ k ɪr ɪ b æ s / KIRR -i-bass , as -ti in the Gilbertese language represents an [ s ] sound. [ 21 ] Similarly, the name of its people, the I-Kiribati, is pronounced / iː ˈ k ɪr ɪ b æ s / ee- KIRR -i-bass . [ 22 ] The name Kiribati was adopted upon the country's independence in 1979. It is the Gilbertese rendition of Gilberts, the plural of the English name of the nation's main archipelago, the Gilbert Islands . [ 23 ] It was named îles Gilbert ( French for 'Gilbert Islands') in about 1820 by Russian admiral Adam von Krusenstern [ 24 ] and French captain Louis Duperrey , [ 25 ] after the British captain Thomas Gilbert . Gilbert and captain John Marshall sighted some of the islands in 1788, while crossing the ""outer passage"" route from Port Jackson to Canton . [ 26 ] [ 27 ] [ 28 ] Both von Krusenstern's and Duperrey's maps, published in 1824, were written in French. [ 29 ] In French, the Northern Islands were until then called îles Mulgrave and Byron Island was not part of them. In English, the archipelago, particularly the southern part, was often referred to as the Kingsmills in the 19th century, although the name Gilbert Islands was used increasingly, including in the Western Pacific Order in Council of 1877 and in the Pacific Order of 1893. [ 30 ] The name Gilbert , already in the name of the British protectorate since 1892, was incorporated into the name of the entire Gilbert and Ellice Islands Colony (GEIC) from 1916 and was retained after the Ellice Islands became the separate country of Tuvalu in 1976. The spelling of Gilberts in the Gilbertese language as Kiribati may be found in books in Gilbertese prepared by missionaries , but with the meaning of Gilbertese ( demonym and language) (see e.g., Hawaiian Board of Missionaries, 1895). [ 31 ] The first mention as a dictionary entry of the word Kiribati as the native name of the country was written down in 1952 by Ernest Sabatier in his comprehensive Dictionnaire gilbertin–français . [ 32 ]";"Quiribáti, Quiribati ou Kiribati, oficialmente República de Quiribáti, é um país soberano composto por 33 ilhas, com atóis e recifes espalhados por uma vasta área ao centro do oceano Pacífico, abrangendo da Micronésia à Polinésia. É o único país do mundo com territórios nos quatro hemisférios da Terra. Apesar disso, seu território terrestre total, somado, coloca-o entre os menores países do mundo. É o primeiro país do mundo a mudar de ano, na ilha de Quiritimati, devido ao fuso horário (UTC+14), de modo que a República de Quiribáti é o país mais adiantado em questão de horário.";"Kiribati, officially the Republic of Kiribati, is an island country in the Micronesia subregion of Oceania in the central Pacific Ocean. Its permanent population is over 119,000 as of the 2020 census, and more than half live on Tarawa. The state comprises 32 atolls and one remote raised coral island, Banaba. Its total land area is 811 km2 (313 sq mi) dispersed over 3,441,810 km2 (1,328,890 sq mi) of ocean.";"2025-10-15T07:33:04.588542+00:00"
"KNA";"Q763";"São Cristóvão e Neves";"Saint Kitts and Nevis";"1967";"";"";"";"";"";"";"";"São Cristóvão e Neves";"Saint Kitts and Nevis";"A ilha de São Cristóvão era chamada de ""Liamuiga"" pela tribo local, os Caraíbas e pode ser traduzido como ""terra fértil"". O nome atualmente continua usado no pico mais alto, Monte Liamuiga. Já o nome pré-Colombiano de Neves era ""Oualie"", significando ""terra das belas águas"". Cristóvão Colombo avistou em 1493 o que atualmente é Neves e lhe deu o nome de San Martín (São Martinho). O nome atual ""Neves"" é derivado do nome espanhol Nuestra Señora de las Nieves . Não se sabe quem deu esse nome à ilha, mas é uma referência a um milagre católico do século IV: Esse milagre seria um casal que morava em Roma pedia a Virgem Maria onde eles poderiam empregar bem sua fortuna. Em sonho a ela aparece e diz que gostaria de um templo exatamente no local que estivesse coberto por neve no monte Esquilino. No dia seguinte apenas uma pequena parte do morro tinha neve e lá foi construída a Basílica de Santa Maria Maior . Desde o século XVII o nome da ilha é documentado como ""San Cristóbal"". Os primeiros colonos ingleses mantiveram a tradução inglesa deste nome, e apelidaram de ""St. Christopher's Island"" (Ilha de São Cristóvão). No século XVII Christopher ganhou o apelido de Kitt. Esse é o modo que a ilha era referida informalmente: ""Saint Kitt's Island"", depois encurtado para ""Saint Kitts"". A constituição atual refere ambas as formas: ""Saint Kitts and Nevis"" and ""Saint Christopher and Nevis"".";"The Kalinago , the pre-European inhabitants of Saint Kitts, called the island Liamuiga , roughly translating as 'fertile land'. [ 12 ] It is thought that Christopher Columbus , the first European to see the islands in 1493, named the larger island San Cristóbal , after Saint Christopher , his patron saint and that of travellers. New studies suggest that Columbus named the island Sant Yago ( Saint James ), and that the name San Cristóbal was in fact given by Columbus to the island now known as Saba , 32 km (20 mi) northwest. Saint Kitts was well documented as San Cristóbal by the 17th century. [ 1 ] The first English colonists kept the English translation of this name, and dubbed it St. Christopher's Island . In the 17th century, a common nickname for Christopher was Kit(t) ; hence, the island came to be informally referred to as Saint Kitt's Island , later further shortened to Saint Kitts . [ 1 ] Columbus gave Nevis the name San Martín ( Saint Martin ). [ 12 ] The current name Nevis is derived from a Spanish name Nuestra Señora de las Nieves , meaning "" Our Lady of the Snows "", a reference to the 4th-century Catholic miracle of a summertime snowfall on the Esquiline Hill in Rome . [ 1 ] It is not known who chose this name for the island, but it is thought that white clouds which usually wreath the top of Nevis Peak reminded someone of the miracle. [ 13 ] [ 1 ] Today, the Constitution refers to the state as both Saint Kitts and Nevis and Saint Christopher and Nevis ; the former is the one most commonly used, but the latter is generally used for diplomatic relations. Passports list the nationality of citizens as St. Kitts and Nevis . [ 14 ]";"São Cristóvão e Neves, ou São Cristóvão e Névis, oficialmente Federação de São Cristóvão e Neves ou Névis ) é um país das Caraíbas, localizado entre as ilhas de Barlavento, é uma federação constituída por 14 paróquias, nove localizadas em São Cristóvão e cinco localizadas em Neves. É também o menor Estado soberano da América, tanto em extensão territorial quanto em número de habitantes.";"Saint Kitts and Nevis, officially the Federation of Saint Kitts and Nevis, is an island country located in the Caribbean consisting of the two islands of Saint Kitts and Nevis, in the Leeward Islands chain of the Lesser Antilles. With 261 square kilometres (101 sq mi) of territory, and roughly 48,000 inhabitants, it is the smallest sovereign state in the Western Hemisphere, in both area and population, as well as the world's smallest sovereign federation. The country is a Commonwealth realm, with Charles III as king and head of state.";"2025-10-15T07:33:06.368508+00:00"
"KOR";"Q884";"Coreia do Sul";"South Korea";"1948";"";"";"";"";"Q18097";"Coreia";"Korea";"Coreia do Sul";"South Korea";"No idioma coreano , a Coreia do Sul é chamada de Daehan Min-guk [ 19 ] (em coreano: 대한민국, hanja : 大 („grande“) 韓 (Han, nome em chinês ) 民國 (“povo”, „nação“), literalmente ""O grande povo de Han"" ou ""A grande nação de Han"") Hanguk em sua forma curta (한국, ""País de Han"", utilizado para referir-se à Coreia como um todo) o Namhan (남한;南韓, ""A nação do sul"", para se referir à Coreia do Sul especificamente). O nome Han é datado das antigas Confederações Samhan da era dos Três Reinos da Coreia . Em português , assim como na maioria das línguas ocidentais, a nação é muitas vezes referida como Coreia . Esta palavra deriva da Dinastia Goryeo , a qual adotou seu nome em referência ao mais antigo Reino de Koguryŏ . [ 20 ]";"The name Korea is an exonym derived from the historical Korean kingdom name Goryeo ( Korean : 고려 ; Hanja : 高麗 ; MR : Koryŏ ). Goryeo was the shortened name officially adopted by Goguryeo in the 5th century [ 10 ] [ 11 ] [ 12 ] and the name of its 10th-century successor state Goryeo. [ 13 ] [ 14 ] Visiting Arab and Persian merchants pronounced its name as ""Korea"". [ 15 ] The modern name of Korea appears in the first Portuguese maps of 1568 by João vaz Dourado as Conrai [ 16 ] and later in the late 16th century and early 17th century as Corea (Korea) in the maps of Teixeira Albernaz of 1630. [ 17 ] The Kingdom of Goryeo became first known to Westerners when Afonso de Albuquerque conquered Malacca in 1511 and described the people who traded in this part of the world as the Gores . [ 18 ] Despite the coexistence of the spellings Corea and Korea in 19th-century publications, some Koreans believe that Imperial Japan intentionally standardized the spelling of Korea in order to make Japan appear first alphabetically during occupation. [ 19 ] [ 20 ] After Goryeo was replaced by the Kingdom of Joseon ( 조선 ; 朝鮮 ; Chosŏn ) in 1392, Joseon became the official name for the entire territory, though it was not universally accepted. The new official name was derived from the ancient kingdom of Gojoseon . In 1897, King Gojong changed the country's official name from Joseon to the Korean Empire ( 대한제국 ; 大韓帝國 ; Daehan Jeguk ; Taehan Cheguk ; literal translation ""}]]}"">lit. Great Han Empire ). The latter half of the Korean Empire's name Daehan ( 대한 ; 大韓 ; literal translation ""}]]}"">lit. Great Han ) derives from Samhan (Three Han), referring to the Three Kingdoms of Korea , not the ancient confederacies in the southern Korean Peninsula. [ 21 ] [ 22 ] However, the name Joseon was still widely used by Koreans to refer to their country, even though it was no longer the official name. Under Japanese rule , the two names Han and Joseon coexisted.";"Coreia do Sul, oficialmente República da Coreia, também conhecida somente como Coreia, é um país da Ásia Oriental, localizado na parte sul da Península da Coreia. Sua única fronteira terrestre é com a Coreia do Norte, com a qual formou apenas um país até 1945. Faz fronteira a leste com o Mar do Japão, a sul com o Estreito da Coreia, que o separa do Japão, e a oeste com o Mar Amarelo. Seu território compreende a metade sul da península coreana, englobando cerca de três mil ilhas que a rodeiam, dentre as quais se destacam Jeju, Ulleungdo e os Rochedos de Liancourt (Dokdo). A capital e maior cidade do país é Seul, cuja área metropolitana é a segunda mais populosa do mundo.";"South Korea, officially the Republic of Korea (ROK), is a country in East Asia. It constitutes the southern half of the Korean Peninsula and borders North Korea along the Korean Demilitarized Zone, with the Yellow Sea to the west and the Sea of Japan to the east. Like North Korea, South Korea claims to be the sole legitimate government of the entire peninsula and adjacent islands. It has a population of about 52 million, of which half live in the Seoul Metropolitan Area, the ninth most populous metropolitan area in the world; other major cities include Busan, Daegu, and Incheon.";"2025-10-15T07:33:08.643974+00:00"
"KWT";"Q817";"Kuwait";"Kuwait";"1991";"";"";"";"";"Q21479969|Q868942";"protetorado britânico | República do Kuwait";"British protectorate | Republic of Kuwait";"Kuwait";"Kuwait";"O Kuwait é um estado soberano no Sudoeste Asiático, localizado na cabeça do Golfo Pérsico. A região geográfica do Kuwait tem sido ocupada por humanos desde a antiguidade, especialmente devido à sua localização estratégica na cabeça do Golfo Pérsico. Na era pré-petróleo, o Kuwait era um porto comercial regional.";"Kuwait is a sovereign state in Western Asia located at the head of the Arabian Gulf. The geographical region of Kuwait has been occupied by humans since antiquity, particularly due to its strategic location at the head of the Persian Gulf. In the pre-oil era, Kuwait was a regional trade port.";"Kuwait, oficialmente Estado do Kuwait, é um emirado árabe soberano situado no nordeste da península Arábica na Ásia Ocidental. Faz fronteira com a Arábia Saudita ao sul e ao norte com o Iraque. Encontra-se na costa noroeste do Golfo Pérsico. O nome Kuwait é derivado do árabe ""akwat"", o plural de ""Kout"", que significa ""fortaleza construída perto da água"". O emirado tem uma área de 17 820 km² e tem uma população de cerca de 2,7 milhões de habitantes.";"Kuwait, officially the State of Kuwait, is a country in West Asia and the geopolitical region known as the Middle East. It is situated in the northern edge of the Arabian Peninsula at the head of the Persian Gulf, bordering Iraq to the north and Saudi Arabia to the south. With a coastline of approximately 500 km (311 mi), Kuwait also shares a maritime border with Iran, across the Persian Gulf. Kuwait is a city-state, most of the country's population reside in the urban agglomeration of Kuwait City, the capital and largest city. As of 2024, Kuwait has a population of 4.82 million, of which 1.53 million are Kuwaiti citizens while the remaining 3.29 million are foreign nationals from over 100 countries. Kuwait has the world's third largest number of foreign nationals as a percentage of the population, where its citizens make up less than 30% of the overall population.";"2025-10-15T07:33:15.149946+00:00"
"LAO";"Q819";"Laos";"Laos";"1949";"";"";"";"";"";"";"";"Laos";"Laos";"País do Sudeste Asiático, localizado entre o Vietnã e a Tailândia, o Laos teve grande diversidade de habitantes, alguns consanguíneos dos quemeres, outros, os laocianos, grupo étnico predominante, dos tais. Os primeiros habitantes foram os kha, que já no século V moravam no país sob a soberania do Reino de Funan. Posteriormente, foram dominados pelo reino de Chenla e o primitivo Império Quemer, assim como o sucessor deste último, que estava baseado em Angkor.";"Evidence of modern human presence in the northern and central highlands of Indochina, which constitute the territories of what later is Laos, dates back to the Lower Paleolithic. These earliest human migrants are Australo-Melanesians—associated with the Hoabinhian culture—and have populated the highlands and the interior, less accessible regions of Laos and all of Southeast Asia. The subsequent Austroasiatic and Austronesian marine migration waves affected landlocked Laos, and direct Chinese and Indian cultural contact had a greater impact on the country.";"O Laos, oficialmente República Democrática Popular do Laos, é um país do Sudeste Asiático, localizado na Indochina e limitado a norte pela China, a leste pelo Vietnã, a sul pelo Camboja, a sul e oeste pela Tailândia e a noroeste por Myanmar. Sua população foi estimada em 6,5 milhões de habitantes em 2012.";"Laos, officially the Lao People's Democratic Republic (LPDR), is a country in Southeast Asia, being the only landlocked country in that region. Located on the Indochinese Peninsula, it is bordered by Myanmar and China to the northwest, Vietnam to the east, Cambodia to the southeast, and Thailand to the west and southwest. Having a population of approximately 8 million, its capital and most populous city is Vientiane. The country has Buddhist temples, including the UNESCO's World Heritage Site of Luang Prabang, and French colonial architecture.";"2025-10-15T07:33:20.056376+00:00"
"LBN";"Q822";"Líbano";"Lebanon";"1943";"";"";"";"";"";"";"";"Líbano";"Lebanon";"O nome Líbano origina-se do semítico lbn (لبن), que significa ""branco"", provavelmente uma referência à neve que cobre o monte Líbano . [ 18 ] Ocorrências do nome foram encontrados em diferentes textos da biblioteca de Ebla (que data do terceiro milênio a.C.), [ 19 ] cerca de 70 vezes na Bíblia hebraica e em três das doze tábuas da Epopeia de Gilgamesh (escrito em 2100 a.C.). [ 20 ] O nome é registrado no Antigo Egito como Rmnn . [ 21 ]";"The name of Mount Lebanon originates from the Phoenician root lbn ( 𐤋𐤁𐤍 ) meaning ""white"", apparently from its snow-capped peaks. [ 24 ] [ 25 ] Occurrences of the name have been found in different Middle Bronze Age texts from the library of Ebla , [ 26 ] and three of the twelve tablets of the Epic of Gilgamesh . The name is recorded in Egypt as rmnn ( Ancient Egyptian : 𓂋𓏠𓈖𓈖𓈉 ; it had no letter corresponding to l ). [ 27 ] The name occurs nearly 70 times in the Hebrew Bible as לְבָנוֹן Ləḇānon . [ 28 ] Lebanon as the name of an administrative unit (as opposed to the mountain range) that was introduced with the Ottoman reforms of 1861 as the Mount Lebanon Mutasarrifate ( Arabic : متصرفية جبل لبنان ; Turkish : Cebel-i Lübnan Mutasarrıflığı ), continued in the name of Greater Lebanon ( Arabic : دولة لبنان الكبير Dawlat Lubnān al-Kabīr ; French : État du Grand Liban ) in 1920, and eventually in the name of the sovereign Republic of Lebanon ( Arabic : الجمهورية اللبنانية al-Jumhūriyyah al-Lubnāniyyah ) upon its independence in 1943. [ citation needed ]";"Líbano, oficialmente República do Líbano é um país localizado na extremidade leste do mar Mediterrâneo, na Ásia Ocidental, numa região que faz ligação entre esse continente e a Europa. Faz fronteira com a Síria ao norte e a leste e com Israel ao sul e a oeste. No cruzamento da bacia do Mediterrâneo, o Líbano é uma das regiões de antigas civilizações, como fenícios, assírios, persas, gregos, romanos, bizantinos e turcos otomanos, sendo que sua rica história formou a identidade cultural única em diversidade étnica e religiosa do país.";"Lebanon, officially the Republic of Lebanon, is a country in the Levant region of West Asia. Situated at the crossroads of the Mediterranean Basin and the Arabian Peninsula, it is bordered by Syria to the north and east, Israel to the south, and the Mediterranean Sea to the west; Cyprus lies a short distance from the coastline. Lebanon has a population of more than five million and an area of 10,452 square kilometres (4,036 sq mi). Beirut is the country's capital and largest city.";"2025-10-15T07:33:22.040716+00:00"
"LBR";"Q1014";"Libéria";"Liberia";"1822";"";"";"";"";"Q104830524|Q544630";"Colony of Liberia | Republic of Maryland";"Colony of Liberia | Republic of Maryland";"Libéria";"Liberia";"O nome Libéria significa ""liberdade"". Os colonos recém-chegados formaram um novo grupo étnico chamado américo-liberianos. [ 6 ] No entanto, a introdução de uma nova mistura étnica resultou em tensões étnicas com as outras dezesseis principais etnias que já residiam na Libéria. [ 7 ] A partir do século XVI até 1822, exploradores e comerciantes europeus tinham vários nomes para a Libéria, variando pela linguagem. Durante o comércio de especiarias, a Libéria foi chamada de Costa da Pimenta Malagueta ou Costa da Pimenta . Ganhou seu nome de ""Pimenta Malagueta"" devido a esta especiaria encontrada na área rural do território, apelidada de ""grãos do paraíso"", já que era uma especiaria rara e em alta demanda em toda a Europa. No século XVIII , exploradores ingleses referiram-se ao país como a ""Costa do Barlavento"" por notoriamente inavegável, as águas agitadas ao largo da costa de Cabo Palmas, na ponta do sul da Libéria, que eram de difícil navegação para os navios europeus. [ 8 ]";"Liberia is a country in West Africa founded by free people of color from the United States. The emigration of African Americans, both freeborn and recently emancipated, was funded and organized by the American Colonization Society (ACS). The mortality rate of these settlers was the highest among settlements reported with modern recordkeeping.";"A Libéria, oficialmente República da Libéria, é uma república presidencialista localizada na África Ocidental. Faz fronteira ao norte com a Serra Leoa e Guiné, a leste com a Costa do Marfim e a sul e oeste com o Oceano Atlântico. Segundo o censo de 2008, a população do país é de 3 955 000 habitantes, divididos em uma área de 111 369 km2. A cidade de Monróvia é sua capital. A Libéria possui um clima quente equatorial, com chuvas intensas na estação chuvosa e ventos na estação seca. A vegetação é composta, na maior parte, por florestas de mangue, enquanto o interior é escassamente povoado de florestas, com predominância de pastagens secas.";"Liberia, officially the Republic of Liberia, is a country on the West African coast. It is bordered by Sierra Leone to its northwest, Guinea to its north, Ivory Coast to its east, and the Atlantic Ocean to its south and southwest. It has a population of around 5.5 million and covers an area of 43,000 square miles (111,369 km2). The official language is English. Over 20 indigenous languages are spoken, reflecting the country's ethnic and cultural diversity. The capital and largest city is Monrovia.";"2025-10-15T07:33:24.868594+00:00"
