iso3,country_qid,form_qid,start,end,is_monarchy,country_pt,country_en,form_pt,form_en,start_year,end_year
DEU,http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q5440547,,,0,Alemanha,Germany,república federal parlamentarista,federal parliamentary republic,,
DEU,http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q7270,,,0,Alemanha,Germany,república,republic,,
DNK,http://www.wikidata.org/entity/Q35,http://www.wikidata.org/entity/Q41614,1849-06-05T00:00:00Z,,0,Dinamarca,Denmark,monarquia constitucional,constitutional monarchy,1849,
ECU,http://www.wikidata.org/entity/Q736,http://www.wikidata.org/entity/Q7270,,,0,Equador,Ecuador,república,republic,,
ECU,http://www.wikidata.org/entity/Q736,http://www.wikidata.org/entity/Q49892,,,0,Equador,Ecuador,presidencialismo,presidential system,,
DZA,http://www.wikidata.org/entity/Q262,http://www.wikidata.org/entity/Q49890,,,0,Argélia,Algeria,semipresidencialismo,semi-presidential system,,
ESP,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q3330103,,,0,Espanha,Spain,monarquia parlamentarista,parliamentary monarchy,,
EST,http://www.wikidata.org/entity/Q191,http://www.wikidata.org/entity/Q7270,1918-01-01T00:00:00Z,1934-01-01T00:00:00Z,0,Estónia,Estonia,república,republic,1918,1934
EST,http://www.wikidata.org/entity/Q191,http://www.wikidata.org/entity/Q6229,1934-01-01T00:00:00Z,1940-01-01T00:00:00Z,0,Estónia,Estonia,autoritarismo,authoritarianism,1934,1940
EST,http://www.wikidata.org/entity/Q191,http://www.wikidata.org/entity/Q58473,1940-01-01T00:00:00Z,1991-01-01T00:00:00Z,0,Estónia,Estonia,Ocupação das Repúblicas Bálticas,Occupation of the Baltic states,1940,1991
EST,http://www.wikidata.org/entity/Q191,http://www.wikidata.org/entity/Q4198907,1991-01-01T00:00:00Z,,0,Estónia,Estonia,república parlamentarista,parliamentary republic,1991,
EGY,http://www.wikidata.org/entity/Q79,http://www.wikidata.org/entity/Q7270,,,0,Egito,Egypt,república,republic,,
ETH,http://www.wikidata.org/entity/Q115,http://www.wikidata.org/entity/Q512187,,,0,Etiópia,Ethiopia,república federal,federal republic,,
FIN,http://www.wikidata.org/entity/Q33,http://www.wikidata.org/entity/Q4198907,,,0,Finlândia,Finland,república parlamentarista,parliamentary republic,,
FRA,http://www.wikidata.org/entity/Q142,http://www.wikidata.org/entity/Q49890,,,0,França,France,semipresidencialismo,semi-presidential system,,
FRA,http://www.wikidata.org/entity/Q142,http://www.wikidata.org/entity/Q179164,,,0,França,France,Estado unitário,unitary state,,
FRA,http://www.wikidata.org/entity/Q142,http://www.wikidata.org/entity/Q188961,2003-03-29T00:00:00Z,,0,França,France,descentralização,decentralization,2003,
FSM,http://www.wikidata.org/entity/Q702,http://www.wikidata.org/entity/Q512187,,,0,Micronésia,Federated States of Micronesia,república federal,federal republic,,
GAB,http://www.wikidata.org/entity/Q1000,http://www.wikidata.org/entity/Q7270,,,0,Gabão,Gabon,república,republic,,
GEO,http://www.wikidata.org/entity/Q230,http://www.wikidata.org/entity/Q179164,,,0,Geórgia,Georgia,Estado unitário,unitary state,,
GEO,http://www.wikidata.org/entity/Q230,http://www.wikidata.org/entity/Q49890,,,0,Geórgia,Georgia,semipresidencialismo,semi-presidential system,,
GEO,http://www.wikidata.org/entity/Q230,http://www.wikidata.org/entity/Q7270,,,0,Geórgia,Georgia,república,republic,,
GEO,http://www.wikidata.org/entity/Q230,http://www.wikidata.org/entity/Q4198907,,,0,Geórgia,Georgia,república parlamentarista,parliamentary republic,,
GBR,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/entity/Q3330103,,,0,Reino Unido,United Kingdom,monarquia parlamentarista,parliamentary monarchy,,
GBR,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/entity/Q179164,,,0,Reino Unido,United Kingdom,Estado unitário,unitary state,,
GBR,http://www.wikidata.org/entity/Q145,http://www.wikidata.org/entity/Q41614,,,0,Reino Unido,United Kingdom,monarquia constitucional,constitutional monarchy,,
GHA,http://www.wikidata.org/entity/Q117,http://www.wikidata.org/entity/Q7174,,,0,Gana,Ghana,democracia,democracy,,
GIN,http://www.wikidata.org/entity/Q1006,http://www.wikidata.org/entity/Q7270,,,0,Guiné,Guinea,república,republic,,
GMB,http://www.wikidata.org/entity/Q1005,http://www.wikidata.org/entity/Q7270,,,0,Gâmbia,The Gambia,república,republic,,
GRC,http://www.wikidata.org/entity/Q41,http://www.wikidata.org/entity/Q4198907,,,0,Grécia,Greece,república parlamentarista,parliamentary republic,,
GTM,http://www.wikidata.org/entity/Q774,http://www.wikidata.org/entity/Q49892,,,0,Guatemala,Guatemala,presidencialismo,presidential system,,
GTM,http://www.wikidata.org/entity/Q774,http://www.wikidata.org/entity/Q188759,,,0,Guatemala,Guatemala,democracia representativa,representative democracy,,
GRL,http://www.wikidata.org/entity/Q223,http://www.wikidata.org/entity/Q3330103,,,0,Gronelândia,Greenland,monarquia parlamentarista,parliamentary monarchy,,
GUY,http://www.wikidata.org/entity/Q734,http://www.wikidata.org/entity/Q4198907,,,0,Guiana,Guyana,república parlamentarista,parliamentary republic,,
HRV,http://www.wikidata.org/entity/Q224,http://www.wikidata.org/entity/Q7270,,,0,Croácia,Croatia,república,republic,,
HND,http://www.wikidata.org/entity/Q783,http://www.wikidata.org/entity/Q7270,,,0,Honduras,Honduras,república,republic,,
IDN,http://www.wikidata.org/entity/Q252,http://www.wikidata.org/entity/Q7270,,,0,Indonésia,Indonesia,república,republic,,
HUN,http://www.wikidata.org/entity/Q28,http://www.wikidata.org/entity/Q4198907,,,0,Hungria,Hungary,república parlamentarista,parliamentary republic,,
IND,http://www.wikidata.org/entity/Q668,http://www.wikidata.org/entity/Q512187,,,0,Índia,India,república federal,federal republic,,
IND,http://www.wikidata.org/entity/Q668,http://www.wikidata.org/entity/Q3043547,,,0,Índia,India,democracia parlamentar,parliamentary democracy,,
IRL,http://www.wikidata.org/entity/Q27,http://www.wikidata.org/entity/Q7270,,,0,República da Irlanda,Ireland,república,republic,,
