iso3,country_qid,monarch_qid,position_qid,house_qid,start,end,country_pt,country_en,monarch_pt,monarch_en,position_pt,position_en,house_pt,house_en,start_year,end_year
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q463876,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q5312701,,,Albânia,Albania,Lekë Dukagjini,Lekë Dukagjini,,King of Albania,,Dukagjini family,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q559049,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q805920,,,Albânia,Albania,Balša II,Balša II,,King of Albania,,Balšić noble family,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q559060,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q2428807,,,Albânia,Albania,Carlos Thopia,Karl Topia,,King of Albania,,Thopia family,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q581918,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q939200,,,Albânia,Albania,,"Charles, Duke of Durazzo",,King of Albania,Casa capetiana de Anjou,Capetian House of Anjou,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q583465,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q1091736,,,Albânia,Albania,Luís de Navarra,"Louis, Duke of Durazzo",,King of Albania,Casa de Évreux,House of Évreux,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q658100,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q2841021,,,Albânia,Albania,Felipe II de Tarento,"Philip II, Prince of Taranto",,King of Albania,,House of Anjou-Taranto,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q712759,http://www.wikidata.org/entity/Q6412197,http://www.wikidata.org/entity/Q939200,,,Albânia,Albania,Felipe I de Tarento,"Philip I, Prince of Taranto",,King of Albania,Casa capetiana de Anjou,Capetian House of Anjou,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q3291632,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,Demétrio Progoni,Dimitri Progoni,,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q3291896,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,Gjin Progoni,Gjin Progoni,,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q3299840,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,Progon,"Progon, Lord of Kruja",,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q3302623,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,,Gregory Kamonas,,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q3302632,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,,Golem of Kruja,,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q5565997,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,Gjergj Thopia,"Gjergj, Lord of Durrës",,King of Albania,,,,
ALB,http://www.wikidata.org/entity/Q222,http://www.wikidata.org/entity/Q5566041,http://www.wikidata.org/entity/Q6412197,,,,Albânia,Albania,,Gjon Zenebishi,,King of Albania,,,,
ARE,http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q167846,,http://www.wikidata.org/entity/Q2615540,1971-12-02T00:00:00Z,2004-11-02T00:00:00Z,Emirados Árabes Unidos,United Arab Emirates,Zayed bin Sultan Al Nahayan,Zayed bin Sultan Al Nahyan,,,,House of Nahyan,1971,2004
ARE,http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q1059948,,http://www.wikidata.org/entity/Q2615540,2004-11-03T00:00:00Z,2022-05-13T00:00:00Z,Emirados Árabes Unidos,United Arab Emirates,Khalifa bin Zayid Al Nahyan,Khalifa bin Zayed Al Nahyan,,,,House of Nahyan,2004,2022
ARE,http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q1951896,,http://www.wikidata.org/entity/Q2615540,2022-05-14T00:00:00Z,,Emirados Árabes Unidos,United Arab Emirates,Maomé bin Zayed Al Nahyan,Mohammed Bin Zayed Al Nahyan,,,,House of Nahyan,2022,
ARE,http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q1380993,http://www.wikidata.org/entity/Q116,,,,Emirados Árabes Unidos,United Arab Emirates,Saqr bin Mohammad al-Qassimi,Saqr bin Mohammad al-Qassimi,monarca,monarch,,,,
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q2499961,http://www.wikidata.org/entity/Q49967564,,0527-01-01T00:00:00Z,0546-01-01T00:00:00Z,,,,,,,,,527,546
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9337086,http://www.wikidata.org/entity/Q49967564,,0589-01-01T00:00:00Z,0599-01-01T00:00:00Z,,,,Simplicius,,,,,589,599
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11273016,http://www.wikidata.org/entity/Q49967564,,0633-01-01T00:00:00Z,0633-01-01T00:00:00Z,,,,Renari,,,,,633,633
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11771715,http://www.wikidata.org/entity/Q49967564,,0653-01-01T00:00:00Z,0665-01-01T00:00:00Z,,,,,,,,,653,665
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11715734,http://www.wikidata.org/entity/Q49967564,,0672-01-01T00:00:00Z,0680-01-01T00:00:00Z,,,,,,,,,672,680
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11053410,http://www.wikidata.org/entity/Q49967564,,0680-01-01T00:00:00Z,0693-01-01T00:00:00Z,,,Leuberic d'Urgell,Leuberic,,,,,680,693
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4312745,http://www.wikidata.org/entity/Q49967564,,0721-01-01T00:00:00Z,0731-01-01T00:00:00Z,,,,,,,,,721,731
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11694908,http://www.wikidata.org/entity/Q49967564,,0765-01-01T00:00:00Z,0781-01-01T00:00:00Z,,,,,,,,,765,781
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q1355228,http://www.wikidata.org/entity/Q49967564,,0781-01-01T00:00:00Z,0799-01-01T00:00:00Z,,,,,,,,,781,799
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4373593,http://www.wikidata.org/entity/Q49967564,,0814-01-01T00:00:00Z,0823-01-01T00:00:00Z,,,,Possedoni,,,,,814,823
