# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
time,tas (°C),ΔT (°C),model,scenario,year
2048-07-01,16.564644,0.10635567,EC-Earth3,ssp245,2048
2049-07-01,18.528284,2.0699959,EC-Earth3,ssp245,2049
2050-07-01,19.089304,2.6310158,EC-Earth3,ssp245,2050
2051-07-01,17.827515,1.3692265,EC-Earth3,ssp245,2051
2052-07-01,17.566833,1.1085453,EC-Earth3,ssp245,2052
2053-07-01,17.326057,0.86776924,EC-Earth3,ssp245,2053
2054-07-01,17.213852,0.75556374,EC-Earth3,ssp245,2054
2055-07-01,16.46242,0.004131317,EC-Earth3,ssp245,2055
2056-07-01,17.376656,0.9183674,EC-Earth3,ssp245,2056
2057-07-01,17.74549,1.2872009,EC-Earth3,ssp245,2057
2058-07-01,17.70017,1.2418823,EC-Earth3,ssp245,2058
2059-07-01,17.235773,0.7774849,EC-Earth3,ssp245,2059
2060-07-01,17.68173,1.2234421,EC-Earth3,ssp245,2060
2061-07-01,18.023926,1.5656376,EC-Earth3,ssp245,2061
2062-07-01,17.99893,1.5406418,EC-Earth3,ssp245,2062
2063-07-01,18.09835,1.6400623,EC-Earth3,ssp245,2063
2064-07-01,17.877653,1.4193649,EC-Earth3,ssp245,2064
2065-07-01,17.901361,1.4430733,EC-Earth3,ssp245,2065
2066-07-01,17.556494,1.0982056,EC-Earth3,ssp245,2066
2067-07-01,17.444618,0.98633003,EC-Earth3,ssp245,2067
2068-07-01,17.09011,0.6318226,EC-Earth3,ssp245,2068
2069-07-01,16.917032,0.45874405,EC-Earth3,ssp245,2069
2070-07-01,17.741209,1.2829208,EC-Earth3,ssp245,2070
2071-07-01,18.832819,2.3745308,EC-Earth3,ssp245,2071
2072-07-01,17.87869,1.4204025,EC-Earth3,ssp245,2072
2073-07-01,18.002287,1.5439987,EC-Earth3,ssp245,2073
2074-07-01,18.561865,2.1035767,EC-Earth3,ssp245,2074
2075-07-01,17.936066,1.4777775,EC-Earth3,ssp245,2075
2076-07-01,18.626352,2.168064,EC-Earth3,ssp245,2076
2077-07-01,18.528868,2.0705795,EC-Earth3,ssp245,2077
2078-07-01,18.45614,1.9978523,EC-Earth3,ssp245,2078
2079-07-01,17.692871,1.2345829,EC-Earth3,ssp245,2079
2080-07-01,18.20414,1.7458515,EC-Earth3,ssp245,2080
2081-07-01,16.833504,0.37521553,EC-Earth3,ssp245,2081
2082-07-01,17.107756,0.64946747,EC-Earth3,ssp245,2082
2083-07-01,17.50566,1.0473709,EC-Earth3,ssp245,2083
2084-07-01,18.118334,1.6600456,EC-Earth3,ssp245,2084
2085-07-01,18.216362,1.7580738,EC-Earth3,ssp245,2085
2086-07-01,18.486069,2.0277805,EC-Earth3,ssp245,2086
2087-07-01,17.998026,1.5397377,EC-Earth3,ssp245,2087
2088-07-01,18.600471,2.1421833,EC-Earth3,ssp245,2088
2089-07-01,18.113146,1.6548576,EC-Earth3,ssp245,2089
2090-07-01,17.799871,1.3415833,EC-Earth3,ssp245,2090
2091-07-01,17.452585,0.994297,EC-Earth3,ssp245,2091
2092-07-01,17.524597,1.066309,EC-Earth3,ssp245,2092
2093-07-01,17.603767,1.1454792,EC-Earth3,ssp245,2093
2094-07-01,18.09934,1.6410522,EC-Earth3,ssp245,2094
2095-07-01,17.973984,1.5156956,EC-Earth3,ssp245,2095
2096-07-01,17.939405,1.4811172,EC-Earth3,ssp245,2096
2097-07-01,17.895655,1.4373665,EC-Earth3,ssp245,2097
2098-07-01,18.001131,1.5428429,EC-Earth3,ssp245,2098
2099-07-01,18.394814,1.9365253,EC-Earth3,ssp245,2099
2100-07-01,17.663355,1.2050667,EC-Earth3,ssp245,2100
2015-07-01,16.803125,-0.12295151,EC-Earth3,ssp370,2015
2016-07-01,17.561975,0.6358986,EC-Earth3,ssp370,2016
2017-07-01,16.572716,-0.35336113,EC-Earth3,ssp370,2017
2018-07-01,16.69908,-0.22699738,EC-Earth3,ssp370,2018
2019-07-01,17.273542,0.34746552,EC-Earth3,ssp370,2019
2020-07-01,16.64602,-0.280056,EC-Earth3,ssp370,2020
2021-07-01,17.342459,0.41638184,EC-Earth3,ssp370,2021
2022-07-01,16.576475,-0.34960175,EC-Earth3,ssp370,2022
2023-07-01,16.431686,-0.4943905,EC-Earth3,ssp370,2023
2024-07-01,16.563164,-0.36291313,EC-Earth3,ssp370,2024
